"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-14 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.119","-2.204","-1.683","9.213","8.126","7.117","7.19","6.476","0.608","-6.668","-0.075","7.067","12.837","21.02","18.869","6.954","-23.789","-22.108","-13.348","-6.791","-4.859","13.826","2.689","-1.542","1.636","13.557","12.719","20.73","166.852","123.793","140.807","75.721","73.254","71.244","48.087"
"B Annualized Returns","4.758","-0.056","-7.328","1.745","2.146","7.973","3.82","3.934","7.303","0.023","4.24","7.851","14.623","24.835","27.125","22.949","-11.703","-2.048","0.054","3.946","6.078","18.758","12.899","16.457","14.263","14.331","15.391","14.198","62.556","44.925","44.317","38.883","36.803","32.408","34.992"
"AR DIFF(P-B)","8.361","-2.148","5.645","7.468","5.98","-0.856","3.37","2.542","-6.695","-6.691","-4.315","-0.784","-1.786","-3.815","-8.256","-15.995","-12.086","-20.06","-13.402","-10.737","-10.937","-4.932","-10.21","-17.999","-12.627","-0.773999999999999","-2.672","6.532","104.296","78.868","96.49","36.838","36.451","38.836","13.095"
"P Volatility","10.96","10.58","14.04","15.55","16.67","17.6","16.39","16.57","24.25","24.92","25.52","26.09","28.21","26.81","21.02","20.63","23.29","31.35","34.99","37.14","38.56","45.87","45.17","47.35","46.43","43.6","44.65","39.74","37.87","32.97","32.38","32.14","35.14","35.54","23.37"
"B Volatility","12.27","12.22","13.83","16.14","16.06","16.07","16.54","17.78","18.09","17.94","18.09","16.17","16.21","12.16","10.28","10.17","15.24","20.19","23.99","23.82","23.86","24.03","25.03","25.7","25.66","27.21","27.32","24.34","16.76","13.29","13.65","14.06","13.91","12.6","10.47"
"V DIFF(P-B)","-1.31","-1.64","0.209999999999999","-0.59","0.610000000000003","1.53","-0.149999999999999","-1.21","6.16","6.98","7.43","9.92","12","14.65","10.74","10.46","8.05","11.16","11","13.32","14.7","21.84","20.14","21.65","20.77","16.39","17.33","15.4","21.11","19.68","18.73","18.08","21.23","22.94","12.9"
"P Tracking Error","5.9","6.5","6.82","7.57","6.91","5.9","6.9","6.31","8.52","9.73","10.26","11.41","14.24","16.3","12.46","13.02","12.57","14.09","14.55","17.05","18.35","25.36","23.27","25.08","23.84","19.49","20.19","17.38","27.02","26.38","26.6","26.87","29.12","30.26","18.85"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
