"","2016-12-28_to_2017-12-29_CorePortfolio_6QRank","2017-01-30_to_2018-01-29_CorePortfolio_6QRank","2017-02-28_to_2018-03-01_CorePortfolio_6QRank","2017-03-28_to_2018-03-29_CorePortfolio_6QRank","2017-04-28_to_2018-04-29_CorePortfolio_6QRank","2017-05-30_to_2018-05-29_CorePortfolio_6QRank","2017-06-28_to_2018-06-29_CorePortfolio_6QRank","2017-07-28_to_2018-07-29_CorePortfolio_6QRank","2017-08-28_to_2018-08-29_CorePortfolio_6QRank","2017-09-28_to_2018-09-29_CorePortfolio_6QRank","2017-10-30_to_2018-10-29_CorePortfolio_6QRank","2017-11-28_to_2018-11-29_CorePortfolio_6QRank","2017-12-28_to_2018-12-29_CorePortfolio_6QRank","2018-01-29_to_2019-01-29_CorePortfolio_6QRank","2018-02-28_to_2019-03-01_CorePortfolio_6QRank","2018-03-28_to_2019-03-29_CorePortfolio_6QRank","2018-04-30_to_2019-04-29_CorePortfolio_6QRank","2018-05-29_to_2019-05-29_CorePortfolio_6QRank","2018-06-28_to_2019-06-29_CorePortfolio_6QRank","2018-07-30_to_2019-07-29_CorePortfolio_6QRank","2018-08-28_to_2019-08-29_CorePortfolio_6QRank","2018-09-28_to_2019-09-29_CorePortfolio_6QRank","2018-10-29_to_2019-10-29_CorePortfolio_6QRank","2018-11-28_to_2019-11-29_CorePortfolio_6QRank","2018-12-28_to_2019-12-29_CorePortfolio_6QRank","2019-01-28_to_2020-01-29_CorePortfolio_6QRank","2019-02-28_to_2020-02-29_CorePortfolio_6QRank","2019-03-28_to_2020-03-29_CorePortfolio_6QRank","2019-04-29_to_2020-04-29_CorePortfolio_6QRank","2019-05-28_to_2020-05-29_CorePortfolio_6QRank","2019-06-28_to_2020-06-29_CorePortfolio_6QRank","2019-07-29_to_2020-07-29_CorePortfolio_6QRank","2019-08-28_to_2020-08-29_CorePortfolio_6QRank","2019-09-30_to_2020-09-29_CorePortfolio_6QRank","2019-10-28_to_2020-10-29_CorePortfolio_6QRank","2019-11-29_to_2020-11-29_CorePortfolio_6QRank","2019-12-30_to_2020-12-29_CorePortfolio_6QRank","2020-01-28_to_2021-01-29_CorePortfolio_6QRank","2020-02-28_to_2021-03-01_CorePortfolio_6QRank","2020-03-30_to_2021-03-29_CorePortfolio_6QRank","2020-04-28_to_2021-04-29_CorePortfolio_6QRank","2020-05-28_to_2021-05-29_CorePortfolio_6QRank","2020-06-29_to_2021-06-29_CorePortfolio_6QRank","2020-07-28_to_2021-07-29_CorePortfolio_6QRank","2020-08-28_to_2021-08-29_CorePortfolio_6QRank","2020-09-28_to_2021-09-29_CorePortfolio_6QRank","2020-10-28_to_2021-10-29_CorePortfolio_6QRank","2020-11-30_to_2021-11-29_CorePortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","19.783","24.652","11.101","13.665","13.464","11.489","10.259","12.972","18.427","14.443","1.042","2.784","-7.239","-5.237","7.366","7.507","9.949","2.888","9.039","8.456","2.201","5.11","17.225","15.224","31.353","21.266","4.466","-13.628","-6.747","1.406","-6.576","0.701","9.331","4.507","2.994","11.857","10.395","8.311","26.126","59.845","48.521","45.098","45.314","38.158","35.59","36.205","41.221","24.722"
"B Annualized Returns","18.866","25.182","11.758","11.848","12.018","11.511","12.343","14.066","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","0.917000000000002","-0.529999999999998","-0.656999999999998","1.817","1.446","-0.0219999999999985","-2.084","-1.094","-0.693000000000001","-1.649","-1.625","-1.471","0.27","2.246","2.66","0.178999999999999","-1.223","-0.575","0.738999999999999","0.641999999999999","1.839","3.465","2.246","0.497999999999999","0.914000000000001","-2.726","-1.63","-3.897","-6.532","-7.754","-9.584","-7.439","-10.618","-7.544","-5.649","-4.025","-5.305","-4.802","-0.218","8.489","5.25","6.336","4.749","2.536","6.956","5.505","2.09","-3.907"
"P Volatility","4.76","4.86","7.55","7.72","7.83","8.01","7.79","8.06","8.53","8.3","8.33","10.62","11.82","14.27","16.9","17.41","17.94","17.66","19.15","19.68","20.02","20.26","18.57","18.72","14.5","11.56","11.26","15.14","23.29","25.86","26.98","25.86","27.23","27.23","26.76","26.73","29.15","28.73","16.77","17.16","14.39","14.22","13.83","14.56","14.48","13.83","15.47","11.06"
"B Volatility","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","0.73","0.800000000000001","-0.350000000000001","-0.180000000000001","-1.11","-0.950000000000001","-1.25","-0.94","-0.82","-1.22","-1.17","-1.85","-0.73","-0.200000000000001","0.289999999999999","0.800000000000001","1.29","0.73","0.5","0.0300000000000011","0.550000000000001","0.650000000000002","0.73","0.869999999999997","0.93","-0.389999999999999","-0.73","-0.6","3.14","2.32","2.84","2.91","3.92","3.15","1.98","1.78","2.07","1.6","-1.33","-0.940000000000001","-0.57","-0.85","-1.42","-0.389999999999999","0.41","1.62","2.06","0.0700000000000003"
"P Tracking Error","1.58","1.89","2.01","2","3.04","3.05","3","3.16","3.19","2.96","2.99","2.78","2.97","2.93","2.45","2.28","3.02","2.66","3.14","2.76","2.63","2.53","2.27","2.11","2.33","1.98","2.01","2.1","5.09","4.17","4.81","4.64","5.28","4.55","5.14","5.4","5.61","6.19","5.09","5.37","5.99","6.34","5.81","7.06","6.08","6.23","5.68","5.29"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.58","-0.28","-0.33","0.91","0.48","-0.01","-0.69","-0.35","-0.22","-0.56","-0.54","-0.53","0.09","0.77","1.09","0.08","-0.4","-0.22","0.24","0.23","0.7","1.37","0.99","0.24","0.39","-1.38","-0.81","-1.86","-1.28","-1.86","-1.99","-1.6","-2.01","-1.66","-1.1","-0.75","-0.95","-0.78","-0.04","1.58","0.88","1","0.82","0.36","1.14","0.88","0.37","-0.74"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.06","-0.09","0.03","0.03","0.29","0.18","0","0.09","0.16","0.11","0","-0.2","0.04","0.05","0.08","0.05","-0.07","-0.05","0.04","0.06","0.14","0.23","0.25","0.07","0.01","-0.01","-0.02","-0.09","-0.45","-0.78","-0.83","-0.73","-0.76","-0.9","-0.58","-0.47","-0.37","-0.4","0.75","0.7","0.81","0.75","1.1","0.71","0.71","0.31","0.06","0.07"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.12","1.11","0.92","0.95","0.83","0.84","0.82","0.84","0.86","0.83","0.84","0.84","0.92","0.97","1.01","1.04","1.06","1.03","1.01","0.99","1.02","1.03","1.03","1.04","1.06","0.95","0.93","0.95","1.14","1.09","1.1","1.11","1.16","1.12","1.06","1.05","1.06","1.03","0.89","0.91","0.88","0.86","0.84","0.86","0.94","1.01","1.08","0.89"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","89.03","84.03","92.82","92.89","87.62","87.35","88.59","86.48","87.16","89.98","89.66","96.42","93.89","95.44","97.67","98.26","97.26","97.58","97.03","97.83","98.13","98.34","98.46","98.77","97.44","96.99","97.14","98.11","96.22","97.82","97.41","97.58","97.83","98.18","96.27","95.71","96.2","94.96","91.34","90.21","82.39","80.46","83.89","76.11","80.83","77.43","85.5","75.89"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
