"","2015-12-28_to_2016-12-29_GrowthPortfolio_2QRank","2016-01-28_to_2017-01-29_GrowthPortfolio_2QRank","2016-02-29_to_2017-03-01_GrowthPortfolio_2QRank","2016-03-28_to_2017-03-29_GrowthPortfolio_2QRank","2016-04-28_to_2017-04-29_GrowthPortfolio_2QRank","2016-05-31_to_2017-05-29_GrowthPortfolio_2QRank","2016-06-28_to_2017-06-29_GrowthPortfolio_2QRank","2016-07-28_to_2017-07-29_GrowthPortfolio_2QRank","2016-08-29_to_2017-08-29_GrowthPortfolio_2QRank","2016-09-28_to_2017-09-29_GrowthPortfolio_2QRank","2016-10-28_to_2017-10-29_GrowthPortfolio_2QRank","2016-11-28_to_2017-11-29_GrowthPortfolio_2QRank","2016-12-28_to_2017-12-29_GrowthPortfolio_2QRank","2017-01-30_to_2018-01-29_GrowthPortfolio_2QRank","2017-02-28_to_2018-03-01_GrowthPortfolio_2QRank","2017-03-28_to_2018-03-29_GrowthPortfolio_2QRank","2017-04-28_to_2018-04-29_GrowthPortfolio_2QRank","2017-05-30_to_2018-05-29_GrowthPortfolio_2QRank","2017-06-28_to_2018-06-29_GrowthPortfolio_2QRank","2017-07-28_to_2018-07-29_GrowthPortfolio_2QRank","2017-08-28_to_2018-08-29_GrowthPortfolio_2QRank","2017-09-28_to_2018-09-29_GrowthPortfolio_2QRank","2017-10-30_to_2018-10-29_GrowthPortfolio_2QRank","2017-11-28_to_2018-11-29_GrowthPortfolio_2QRank","2017-12-28_to_2018-12-29_GrowthPortfolio_2QRank","2018-01-29_to_2019-01-29_GrowthPortfolio_2QRank","2018-02-28_to_2019-03-01_GrowthPortfolio_2QRank","2018-03-28_to_2019-03-29_GrowthPortfolio_2QRank","2018-04-30_to_2019-04-29_GrowthPortfolio_2QRank","2018-05-29_to_2019-05-29_GrowthPortfolio_2QRank","2018-06-28_to_2019-06-29_GrowthPortfolio_2QRank","2018-07-30_to_2019-07-29_GrowthPortfolio_2QRank","2018-08-28_to_2019-08-29_GrowthPortfolio_2QRank","2018-09-28_to_2019-09-29_GrowthPortfolio_2QRank","2018-10-29_to_2019-10-29_GrowthPortfolio_2QRank","2018-11-28_to_2019-11-29_GrowthPortfolio_2QRank","2018-12-28_to_2019-12-29_GrowthPortfolio_2QRank","2019-01-28_to_2020-01-29_GrowthPortfolio_2QRank","2019-02-28_to_2020-02-29_GrowthPortfolio_2QRank","2019-03-28_to_2020-03-29_GrowthPortfolio_2QRank","2019-04-29_to_2020-04-29_GrowthPortfolio_2QRank","2019-05-28_to_2020-05-29_GrowthPortfolio_2QRank","2019-06-28_to_2020-06-29_GrowthPortfolio_2QRank","2019-07-29_to_2020-07-29_GrowthPortfolio_2QRank","2019-08-28_to_2020-08-29_GrowthPortfolio_2QRank","2019-09-30_to_2020-09-29_GrowthPortfolio_2QRank","2019-10-28_to_2020-10-29_GrowthPortfolio_2QRank","2019-11-29_to_2020-11-29_GrowthPortfolio_2QRank","2019-12-30_to_2020-12-29_GrowthPortfolio_2QRank","2020-01-28_to_2021-01-29_GrowthPortfolio_2QRank","2020-02-28_to_2021-03-01_GrowthPortfolio_2QRank","2020-03-30_to_2021-03-29_GrowthPortfolio_2QRank","2020-04-28_to_2021-04-29_GrowthPortfolio_2QRank","2020-05-28_to_2021-05-29_GrowthPortfolio_2QRank","2020-06-29_to_2021-06-29_GrowthPortfolio_2QRank","2020-07-28_to_2021-07-29_GrowthPortfolio_2QRank","2020-08-28_to_2021-08-29_GrowthPortfolio_2QRank","2020-09-28_to_2021-09-29_GrowthPortfolio_2QRank","2020-10-28_to_2021-10-29_GrowthPortfolio_2QRank","2020-11-30_to_2021-11-29_GrowthPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.984","23.331","24.783","22.01","20.99","19.991","12.535","21.833","18.387","27.334","39.161","25.037","23.707","33.716","19.84","23.377","21.364","26.567","26.544","26.556","29.347","28.317","6.667","6.091","-8.611","-2.103","9.733","13.466","14.443","2.648","10.869","12.09","0.942","-8.083","13.388","13.905","27.115","23.871","9.322","-7.593","5.553","15.542","5.652","18.724","19.341","15.95","18.621","35.348","40.492","38.196","59.277","54.471","44.152","41.497","47.074","37.432","42.407","58.309","60.223","40.58"
"B Annualized Returns","9.01","21.197","21.109","14.896","14.856","15.433","16.85","13.919","12.196","17.118","21.446","19.115","18.866","25.182","11.758","11.848","12.018","11.511","12.343","14.066","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","3.974","2.134","3.674","7.114","6.134","4.558","-4.315","7.914","6.191","10.216","17.715","5.922","4.841","8.534","8.082","11.529","9.346","15.056","14.201","12.49","10.227","12.225","4","1.836","-1.102","5.38","5.027","6.138","3.271","-0.815","2.569","4.276","0.58","-9.728","-1.591","-0.821000000000002","-3.324","-0.121000000000002","3.226","2.138","5.768","6.382","2.644","10.584","-0.608000000000001","3.899","9.978","19.466","24.792","25.083","32.933","3.11499999999999","0.881","2.735","6.509","1.81","13.773","27.609","21.092","11.951"
"P Volatility","10.93","10.27","8.76","8.34","9.24","8.96","8.04","9.78","9.62","10.13","7.07","6.19","6.96","6.54","8.45","8.15","10.42","11.52","10.16","11.17","10.17","10.26","9.81","16.43","15.67","17.68","21.9","21.48","21.5","22.64","23.64","23.65","23.01","23.7","15.15","15.01","9.31","8.04","8.25","10.76","23.97","25.97","29.19","25.38","24.96","24.62","25.99","28.72","32.91","31.68","20.62","18.09","14.61","15.14","15.01","11.69","12.25","14.39","16.24","13.51"
"B Volatility","10.65","8.34","6.3","6.3","6.37","6.37","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","0.279999999999999","1.93","2.46","2.04","2.87","2.59","1.8","4.08","4","4.56","2.82","2.4","2.93","2.48","0.549999999999999","0.25","1.48","2.56","1.12","2.17","0.82","0.74","0.31","3.96","3.12","3.21","5.29","4.87","4.85","5.71","4.99","4","3.54","4.09","-2.69","-2.84","-4.26","-3.91","-3.74","-4.98","3.82","2.43","5.05","2.43","1.65","0.540000000000003","1.21","3.77","5.83","4.55","2.52","-0.0100000000000016","-0.350000000000001","0.0700000000000003","-0.24","-3.26","-1.82","2.18","2.83","2.52"
"P Tracking Error","5.03","6.31","6.06","3.72","4.8","5.5","3.59","5.69","5.82","6.1","4.89","4.19","4.62","4.71","3.27","3.07","3.32","6.93","5.85","5.37","5.11","6.09","6.31","7.05","7.01","7.19","7.82","7.94","7.84","8.15","7.63","6.47","5.97","5.58","4.87","6.57","7.43","7.47","8.35","9.05","6.64","7.34","8.31","7.62","7.83","6.95","5.94","5.88","8.89","8.25","6.89","7.81","8.29","7.59","7.23","7.41","5.96","7.63","6.49","9.93"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
