"","1 Y 2016-06-27 to 2017-06-28","1 Y 2016-07-27 to 2017-07-28","1 Y 2016-08-29 to 2017-08-28","1 Y 2016-09-27 to 2017-09-28","1 Y 2016-10-27 to 2017-10-28","1 Y 2016-11-28 to 2017-11-28","1 Y 2016-12-27 to 2017-12-28","1 Y 2017-01-27 to 2018-01-28","1 Y 2017-02-27 to 2018-02-28","1 Y 2017-03-27 to 2018-03-28","1 Y 2017-04-27 to 2018-04-28","1 Y 2017-05-30 to 2018-05-28","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","29.787","21.22","15.83","20.369","29.088","23.833","24.63","25.863","17.64","15.553","16.029","21.93","19.622","19.902","26.222","17.337","5.771","6.602","-6.15","-3.614","8.339","11.07","10.062","3.845","6.69","6.113","0.396","2.321","19.035","17.002","31.369","20.417","3.202","-18.324","-6.872","5.353","-2.846","3.359","12.803","8.908","4.596","19.955","17.98","27.52","38.585","104.825","79.719","70.206","70.722","61.269","56.826","59.894","74.883","36.629"
"B Annualized Returns","19.871","13.919","12.137","15.598","21.004","19.318","19.45","25.274","14.816","10.448","11.769","12.971","11.293","13.872","18.545","16.092","3.016","4.444","-7.509","-7.368","2.604","8.078","10.141","4.195","8.3","7.366","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","56.58","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.364"
"AR DIFF(P-B)","9.916","7.301","3.693","4.771","8.084","4.515","5.18","0.588999999999999","2.824","5.105","4.26","8.959","8.329","6.03","7.677","1.245","2.755","2.158","1.359","3.754","5.735","2.992","-0.0790000000000006","-0.35","-1.61","-1.253","0.727","0.681","3.916","-0.576000000000001","1.187","-3.502","-2.894","-8.593","-4.166","-3.512","-5.722","-3.178","-7.146","-3.722","-3.114","4.63","1.974","11.818","10.641","48.245","33.627","31.444","30.064","24.537","27.416","30.027","34.364","10.265"
"P Volatility","9.03","8.25","7.55","7.71","6.1","3.7","5.1","5.25","6.39","8.27","8.76","8.58","9.17","9.13","9.14","9.28","9.89","13.88","13.95","15.93","19.99","20.08","19.57","18.46","20.72","22.01","21.75","22.84","21.45","21.79","17.71","14.25","13.57","17.12","25.49","30.24","30.24","30.19","31.48","31.02","32.21","33.76","35.52","37.28","35.78","25.83","20.18","20.01","20.1","20.77","21.44","19.77","21.6","10.19"
"B Volatility","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","2.79","2.55","1.93","2.14","1.85","-0.0899999999999999","1.07","1.19","0.85","0.369999999999999","-0.18","-0.380000000000001","0.130000000000001","0.130000000000001","-0.209999999999999","-0.24","0.390000000000001","1.41","1.4","1.46","3.31","3.47","2.92","1.53","2.07","2.36","2.28","3.23","3.61","3.94","4.14","2.3","1.58","1.38","5.34","6.7","7.32","7.24","8.17","6.94","7.43","8.81","8.44","10.15","10.94","7.73","5.22","4.94","4.85","5.82","7.37","7.56","8.19","-0.800000000000001"
"P Tracking Error","3.99","4.02","2.96","3.26","3.5","2.44","2.99","2.86","2.38","3.11","3.39","3.53","4.27","4.14","5.05","3.16","3.17","4.47","5.21","4.68","5.85","4.84","4.89","3.96","3.83","3.9","3.53","4.25","4.89","4.92","5.05","3.18","2.29","3.43","6.99","7.98","8.62","8.42","9.54","8.28","9.88","10.88","11.12","12.36","13.24","11.79","11.06","10.66","11.21","11.09","11.86","12.29","13.96","8.59"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
