"","2015-09-25_to_2016-09-26_GrowthPortfolio_1QRank","2015-10-26_to_2016-10-26_GrowthPortfolio_1QRank","2015-11-25_to_2016-11-26_GrowthPortfolio_1QRank","2015-12-28_to_2016-12-26_GrowthPortfolio_1QRank","2016-01-25_to_2017-01-26_GrowthPortfolio_1QRank","2016-02-25_to_2017-02-26_GrowthPortfolio_1QRank","2016-03-28_to_2017-03-26_GrowthPortfolio_1QRank","2016-04-25_to_2017-04-26_GrowthPortfolio_1QRank","2016-05-25_to_2017-05-26_GrowthPortfolio_1QRank","2016-06-27_to_2017-06-26_GrowthPortfolio_1QRank","2016-07-25_to_2017-07-26_GrowthPortfolio_1QRank","2016-08-25_to_2017-08-26_GrowthPortfolio_1QRank","2016-09-26_to_2017-09-26_GrowthPortfolio_1QRank","2016-10-25_to_2017-10-26_GrowthPortfolio_1QRank","2016-11-25_to_2017-11-26_GrowthPortfolio_1QRank","2016-12-27_to_2017-12-26_GrowthPortfolio_1QRank","2017-01-25_to_2018-01-26_GrowthPortfolio_1QRank","2017-02-27_to_2018-02-26_GrowthPortfolio_1QRank","2017-03-27_to_2018-03-26_GrowthPortfolio_1QRank","2017-04-25_to_2018-04-26_GrowthPortfolio_1QRank","2017-05-25_to_2018-05-26_GrowthPortfolio_1QRank","2017-06-26_to_2018-06-26_GrowthPortfolio_1QRank","2017-07-25_to_2018-07-26_GrowthPortfolio_1QRank","2017-08-25_to_2018-08-26_GrowthPortfolio_1QRank","2017-09-25_to_2018-09-26_GrowthPortfolio_1QRank","2017-10-25_to_2018-10-26_GrowthPortfolio_1QRank","2017-11-27_to_2018-11-26_GrowthPortfolio_1QRank","2017-12-26_to_2018-12-26_GrowthPortfolio_1QRank","2018-01-25_to_2019-01-26_GrowthPortfolio_1QRank","2018-02-26_to_2019-02-26_GrowthPortfolio_1QRank","2018-03-26_to_2019-03-26_GrowthPortfolio_1QRank","2018-04-25_to_2019-04-26_GrowthPortfolio_1QRank","2018-05-25_to_2019-05-26_GrowthPortfolio_1QRank","2018-06-25_to_2019-06-26_GrowthPortfolio_1QRank","2018-07-25_to_2019-07-26_GrowthPortfolio_1QRank","2018-08-27_to_2019-08-26_GrowthPortfolio_1QRank","2018-09-25_to_2019-09-26_GrowthPortfolio_1QRank","2018-10-25_to_2019-10-26_GrowthPortfolio_1QRank","2018-11-26_to_2019-11-26_GrowthPortfolio_1QRank","2018-12-26_to_2019-12-26_GrowthPortfolio_1QRank","2019-01-25_to_2020-01-26_GrowthPortfolio_1QRank","2019-02-25_to_2020-02-26_GrowthPortfolio_1QRank","2019-03-25_to_2020-03-26_GrowthPortfolio_1QRank","2019-04-25_to_2020-04-26_GrowthPortfolio_1QRank","2019-05-28_to_2020-05-26_GrowthPortfolio_1QRank","2019-06-25_to_2020-06-26_GrowthPortfolio_1QRank","2019-07-25_to_2020-07-26_GrowthPortfolio_1QRank","2019-08-26_to_2020-08-26_GrowthPortfolio_1QRank","2019-09-25_to_2020-09-26_GrowthPortfolio_1QRank","2019-10-25_to_2020-10-26_GrowthPortfolio_1QRank","2019-11-25_to_2020-11-26_GrowthPortfolio_1QRank","2019-12-26_to_2020-12-26_GrowthPortfolio_1QRank","2020-01-27_to_2021-01-26_GrowthPortfolio_1QRank","2020-02-25_to_2021-02-26_GrowthPortfolio_1QRank","2020-03-25_to_2021-03-26_GrowthPortfolio_1QRank","2020-04-27_to_2021-04-26_GrowthPortfolio_1QRank","2020-05-26_to_2021-05-26_GrowthPortfolio_1QRank","2020-06-25_to_2021-06-26_GrowthPortfolio_1QRank","2020-07-27_to_2021-07-26_GrowthPortfolio_1QRank","2020-08-25_to_2021-08-26_GrowthPortfolio_1QRank","2020-09-25_to_2021-09-26_GrowthPortfolio_1QRank","2020-10-26_to_2021-10-26_GrowthPortfolio_1QRank","2020-11-25_to_2021-11-26_GrowthPortfolio_1QRank"
"P Information Ratio","0.59","1.55","1.45","1.13","-0.58","-1.08","-0.49","1.02","1.38","0.11","1.38","0.35","2.3","2","1","0.01","0.29","3.03","3.11","1.63","1.98","2.64","3.33","2.14","1.66","0.23","-0.21","0.13","0.63","0.32","0.6","0.75","-0.01","-0.73","0.32","-0.09","-0.38","0.46","-0.18","-0.36","1.95","0.81","0.21","0.42","0.6","0.07","0.25","2.19","0.81","1.32","1.06","1.4","3.43","2.33","0.22","-0.51","0.59","3.39","4.77","3.48","2.69","2.18","0.83"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.47","0.54","0.34","0.21","-0.12","-0.37","-0.17","-0.07","0.1","-0.37","0.12","-0.26","0.14","-0.55","-0.04","-0.65","-0.21","0.35","0.96","0.76","0.75","0.87","1.08","0.94","0.85","0.7","-0.12","0.1","0.38","0.06","0.58","0.3","-0.25","-0.27","0.25","-0.11","-0.08","0.46","0.4","1.22","0.22","-0.22","0.45","0.28","0.09","0.18","0.02","0.89","0.15","0.55","0.09","1.04","1.32","1.32","0.52","0.45","0.74","1.33","2.39","1.96","1.15","0.92","2.02"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.74","0.98","1.36","1.31","0.97","0.82","0.97","1.55","1.67","1.26","1.17","1.37","1.64","2","1.24","1.35","1.3","1.13","0.97","1.03","1.02","0.98","1.04","0.85","0.84","0.87","1.18","1.04","1.15","1.2","1.23","1.12","1.27","1.15","1.13","0.99","1.13","0.75","0.73","0.33","1.07","1.27","1.04","1.17","0.97","1.08","1.02","0.99","1.02","1.05","1.27","1.39","1.17","1.03","0.92","0.81","0.82","1.05","0.99","1.02","0.91","1.11","0.59"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","76.24","88.64","95.81","92.93","60.14","36.99","43.17","62.08","61.92","84.66","73.37","74.32","80.18","65.35","47.46","34.07","33.95","83.82","62.11","67.91","62.46","79.8","84.45","66.91","67.22","69.64","79.22","80.16","82.77","96","88.2","93.16","93.69","94.29","94.54","95.43","96.1","91.14","82.34","29","95.37","94.19","91.13","95.57","90.24","90.55","88.82","93.61","94.17","94.19","93.4","93.01","96.48","92.08","80.11","66.23","72.69","78.35","78.91","69.62","80.81","72.03","8.94"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-9.6277","-11.3719","-17.2949","-15.9376","-7.8449","-9.1106","-8.0357","-9.1751","-9.8914","-8.1544","-6.4854","-7.2449","-6.0818","-4.7692","-6.2528","-6.9674","-7.581","-9.648","-10.0051","-10.2295","-9.4256","-9.8331","-9.8108","-9.6787","-10.8904","-14.1752","-16.2458","-23.0821","-24.5755","-23.8852","-22.7445","-20.4342","-24.4655","-23.654","-23.0226","-21.4338","-21.1808","-13.4791","-13.1477","-4.0606","-7.2356","-9.5142","-38.5788","-38.1146","-36.0022","-37.54","-37.2368","-33.6815","-35.1917","-36.5001","-41.7174","-40.0465","-36.3936","-30.3843","-11.3407","-10.7551","-10.8814","-9.314","-7.969","-7.4173","-6.3872","-6.5819","-10.5568"
"B Max Drawdown","-13.3051","-13.3051","-13.0099","-11.9941","-5.7292","-5.5957","-5.5957","-5.5957","-5.5957","-4.7927","-4.7928","-4.633","-3.9694","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-7.9666","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6044","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","3.6774","1.9332","-4.285","-3.9435","-2.1157","-3.5149","-2.44","-3.5794","-4.2957","-3.3617","-1.6926","-2.6119","-2.1124","-1.9724","-3.456","-4.1706","-4.7842","0.5115","0.154399999999999","-0.0700000000000003","0.7339","0.3264","0.348699999999999","0.4809","-0.7309","-4.0157","-6.0713","-3.3039","-4.7973","-4.107","-2.9663","-0.656000000000002","-4.6873","-3.8758","-3.2444","-1.6556","-1.5463","2.9675","2.5947","2.7755","-0.3995","-1.5476","-4.6538","-4.18960000000001","-2.0772","-3.615","-3.31180000000001","0.243499999999997","-1.2667","-2.57510000000001","-7.7924","-6.1215","-2.4686","-1.864","-1.7363","-1.1506","-1.2769","0.2905","1.6355","2.1872","1.09","-1.3694","-5.3443"
