"","2015-12-28_to_2017-12-29_ValuePortfolio_2QRank","2016-01-28_to_2018-01-29_ValuePortfolio_2QRank","2016-02-29_to_2018-03-01_ValuePortfolio_2QRank","2016-03-28_to_2018-03-29_ValuePortfolio_2QRank","2016-04-28_to_2018-04-29_ValuePortfolio_2QRank","2016-05-31_to_2018-05-29_ValuePortfolio_2QRank","2016-06-28_to_2018-06-29_ValuePortfolio_2QRank","2016-07-28_to_2018-07-29_ValuePortfolio_2QRank","2016-08-29_to_2018-08-29_ValuePortfolio_2QRank","2016-09-28_to_2018-09-29_ValuePortfolio_2QRank","2016-10-28_to_2018-10-29_ValuePortfolio_2QRank","2016-11-28_to_2018-11-29_ValuePortfolio_2QRank","2016-12-28_to_2018-12-29_ValuePortfolio_2QRank","2017-01-30_to_2019-01-29_ValuePortfolio_2QRank","2017-02-28_to_2019-03-01_ValuePortfolio_2QRank","2017-03-28_to_2019-03-29_ValuePortfolio_2QRank","2017-04-28_to_2019-04-29_ValuePortfolio_2QRank","2017-05-30_to_2019-05-29_ValuePortfolio_2QRank","2017-06-28_to_2019-06-29_ValuePortfolio_2QRank","2017-07-28_to_2019-07-29_ValuePortfolio_2QRank","2017-08-28_to_2019-08-29_ValuePortfolio_2QRank","2017-09-28_to_2019-09-29_ValuePortfolio_2QRank","2017-10-30_to_2019-10-29_ValuePortfolio_2QRank","2017-11-28_to_2019-11-29_ValuePortfolio_2QRank","2017-12-28_to_2019-12-29_ValuePortfolio_2QRank","2018-01-29_to_2020-01-29_ValuePortfolio_2QRank","2018-02-28_to_2020-02-29_ValuePortfolio_2QRank","2018-03-28_to_2020-03-29_ValuePortfolio_2QRank","2018-04-30_to_2020-04-29_ValuePortfolio_2QRank","2018-05-29_to_2020-05-29_ValuePortfolio_2QRank","2018-06-28_to_2020-06-29_ValuePortfolio_2QRank","2018-07-30_to_2020-07-29_ValuePortfolio_2QRank","2018-08-28_to_2020-08-29_ValuePortfolio_2QRank","2018-09-28_to_2020-09-29_ValuePortfolio_2QRank","2018-10-29_to_2020-10-29_ValuePortfolio_2QRank","2018-11-28_to_2020-11-29_ValuePortfolio_2QRank","2018-12-28_to_2020-12-29_ValuePortfolio_2QRank","2019-01-28_to_2021-01-29_ValuePortfolio_2QRank","2019-02-28_to_2021-03-01_ValuePortfolio_2QRank","2019-03-28_to_2021-03-29_ValuePortfolio_2QRank","2019-04-29_to_2021-04-29_ValuePortfolio_2QRank","2019-05-28_to_2021-05-29_ValuePortfolio_2QRank","2019-06-28_to_2021-06-29_ValuePortfolio_2QRank","2019-07-29_to_2021-07-29_ValuePortfolio_2QRank","2019-08-28_to_2021-08-29_ValuePortfolio_2QRank","2019-09-30_to_2021-09-29_ValuePortfolio_2QRank","2019-10-28_to_2021-10-29_ValuePortfolio_2QRank","2019-11-29_to_2021-11-29_ValuePortfolio_2QRank"
"P Information Ratio","0.6","1.61","1.45","1.55","1.44","1.31","1.86","0.86","-0.26","0.1","-0.14","0.81","0.21","0.11","-0.14","0.07","-0.72","0.42","0.44","0.5","0.87","-0.55","-0.09","-0.37","-0.35","0.14","0.05","-1.45","-0.74","-1.49","-1.12","-0.95","-0.7","-0.77","-0.44","-0.25","0.5","-0.04","-0.15","-0.23","0.2","0.43","0.51","0.6","1.07","1.09","0.64","0.52"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.11","0.34","0.55","0.56","0.68","0.46","0.74","0.49","0.16","0.39","0.26","0.31","0.35","-0.02","0","0.11","-0.27","0.02","0.2","0.32","0.68","-0.3","-0.05","-0.16","-0.08","0.11","0.23","-0.45","-0.39","-0.8","-0.82","-0.85","-0.45","-0.78","-0.82","-0.59","-0.35","-0.75","-0.57","-0.51","-0.06","-0.21","0.03","0","0.29","0.22","0.31","0.02"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.48","1.5","1.25","1.09","0.96","1.11","1.21","0.88","0.79","0.77","0.83","0.87","0.65","0.82","0.92","0.92","0.97","1.13","1.03","1.08","1.16","1.04","1.06","1","0.94","0.8","0.71","1.05","1.13","1.08","1.23","1.3","1.27","1.28","1.43","1.41","1.65","1.51","1.42","1.4","1.32","1.36","1.36","1.54","1.7","1.6","1.57","1.47"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","58.16","49.11","52.25","52.21","62.28","59.48","62.04","65.52","65.6","56.97","51.02","75.13","43.96","74.71","84.89","80.55","76.76","71.66","71.71","72.85","71.4","85.83","86.83","88.37","85.76","79.9","73.12","91.11","93.17","91.75","93.84","94.57","96.46","94.17","91.66","90.18","87.52","91.66","90.24","90.52","92.82","88.64","81.05","79.14","80.69","84.17","80.89","79.78"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-15.7259","-11.8728","-12.2964","-11.1223","-9.7397","-10.224","-9.8592","-9.3935","-9.3571","-9.7618","-11.7349","-10.1049","-13.7801","-16.0328","-18.4035","-18.562","-19.8954","-23.9705","-23.5167","-23.2676","-24.201","-21.511","-20.718","-20.2418","-19.325","-16.5116","-15.1302","-39.1458","-39.4498","-39.2614","-41.7003","-41.4051","-40.6368","-41.3418","-46.1168","-43.8659","-47.2188","-44.105","-43.8075","-42.8774","-39.2766","-40.7166","-39.1927","-43.5537","-47.7742","-45.5324","-46.9675","-46.4473"
"B Max Drawdown","-11.3543","-5.7292","-10.1596","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.3716","-6.1436","-2.1368","-0.9628","0.4198","-0.0645000000000007","0.3003","0.766","0.802399999999999","0.3977","-1.5754","0.0695999999999994","5.9981","3.7454","1.3747","1.2162","-0.1172","-4.1923","-3.7385","-3.4894","-4.4228","-1.7328","-0.939800000000002","-0.463600000000003","0.453199999999999","3.2666","4.648","-5.2208","-5.52480000000001","-5.3364","-7.7753","-7.4801","-6.7118","-7.4168","-12.1918","-9.94090000000001","-13.2938","-10.18","-9.8825","-8.9524","-5.3516","-6.7916","-5.2677","-9.6287","-13.8492","-11.6074","-13.0425","-12.5223"
