"","1 Y 2018-05-10 to 2019-05-11","1 Y 2018-06-11 to 2019-06-11","1 Y 2018-07-10 to 2019-07-11","1 Y 2018-08-10 to 2019-08-11","1 Y 2018-09-10 to 2019-09-11","1 Y 2018-10-10 to 2019-10-11","1 Y 2018-11-12 to 2019-11-11","1 Y 2018-12-10 to 2019-12-11","1 Y 2019-01-10 to 2020-01-11","1 Y 2019-02-11 to 2020-02-11","1 Y 2019-03-11 to 2020-03-11","1 Y 2019-04-10 to 2020-04-11","1 Y 2019-05-10 to 2020-05-11","1 Y 2019-06-10 to 2020-06-11","1 Y 2019-07-10 to 2020-07-11","1 Y 2019-08-12 to 2020-08-11","1 Y 2019-09-10 to 2020-09-11","1 Y 2019-10-10 to 2020-10-11","1 Y 2019-11-11 to 2020-11-11","1 Y 2019-12-10 to 2020-12-11","1 Y 2020-01-10 to 2021-01-11","1 Y 2020-02-10 to 2021-02-11","1 Y 2020-03-10 to 2021-03-11","1 Y 2020-04-10 to 2021-04-11","1 Y 2020-05-11 to 2021-05-11","1 Y 2020-06-10 to 2021-06-11","1 Y 2020-07-10 to 2021-07-11","1 Y 2020-08-10 to 2021-08-11","1 Y 2020-09-10 to 2021-09-11"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","5.6","1.591","4.728","1.152","2.315","7.82","12.023","16.534","23.422","16.662","-7.258","-10.659","-4.145","-2.698","-2.704","10.742","5.998","12.143","12.186","14.91","18.883","21.778","66.57","76.571","78.237","65.159","62.805","50.761","58.617"
"B Annualized Returns","5.437","3.775","7.131","4.175","3.554","5.473","13.362","18.759","26.193","23.775","3.554","-3.407","2.5","10.549","5.312","16.607","11.272","17.365","14.853","16.758","15.917","14.752","33.684","49.176","43.081","32.884","37.541","32.028","36.366"
"AR DIFF(P-B)","0.162999999999999","-2.184","-2.403","-3.023","-1.239","2.347","-1.339","-2.225","-2.771","-7.113","-10.812","-7.252","-6.645","-13.247","-8.016","-5.865","-5.274","-5.222","-2.667","-1.848","2.966","7.026","32.886","27.395","35.156","32.275","25.264","18.733","22.251"
"P Volatility","18.7","19.75","21.51","21.97","22.09","20.59","21.33","16.56","12.96","12.81","16.14","26.94","32.97","33.74","33.53","35.19","35.05","35.43","34.78","37.96","37.96","36.8","24.24","20.19","19.54","18.25","19.44","20.69","19.73"
"B Volatility","16.54","17.78","18.09","17.94","18.09","16.17","16.21","12.16","10.28","10.17","15.24","20.19","23.99","23.82","23.86","24.03","25.03","25.7","25.66","27.21","27.32","24.34","16.76","13.3","13.65","14.06","13.91","12.6","10.47"
"V DIFF(P-B)","2.16","1.97","3.42","4.03","4","4.42","5.12","4.4","2.68","2.64","0.9","6.75","8.98","9.92","9.67","11.16","10.02","9.73","9.12","10.75","10.64","12.46","7.48","6.89","5.89","4.19","5.53","8.09","9.26"
"P Tracking Error","4.95","4.84","5.43","5.98","6.15","6.52","7.39","7.26","6.04","6.18","6.75","9.97","11.45","12.91","12.6","13.87","13.13","13.58","12.64","14.18","13.9","14.42","12.28","12.46","12.69","11.56","12.98","14.48","15.3"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
