"","1 Y 2016-12-28 to 2017-12-29","1 Y 2017-01-30 to 2018-01-29","1 Y 2017-02-28 to 2018-03-01","1 Y 2017-03-28 to 2018-03-29","1 Y 2017-04-28 to 2018-04-29","1 Y 2017-05-30 to 2018-05-29","1 Y 2017-06-28 to 2018-06-29","1 Y 2017-07-28 to 2018-07-29","1 Y 2017-08-28 to 2018-08-29","1 Y 2017-09-28 to 2018-09-29","1 Y 2017-10-30 to 2018-10-29","1 Y 2017-11-28 to 2018-11-29","1 Y 2017-12-28 to 2018-12-29","1 Y 2018-01-29 to 2019-01-29","1 Y 2018-02-28 to 2019-03-01","1 Y 2018-03-28 to 2019-03-29","1 Y 2018-04-30 to 2019-04-29","1 Y 2018-05-29 to 2019-05-29","1 Y 2018-06-28 to 2019-06-29","1 Y 2018-07-30 to 2019-07-29","1 Y 2018-08-28 to 2019-08-29","1 Y 2018-09-28 to 2019-09-29","1 Y 2018-10-29 to 2019-10-29","1 Y 2018-11-28 to 2019-11-29","1 Y 2018-12-28 to 2019-12-29","1 Y 2019-01-28 to 2020-01-29","1 Y 2019-02-28 to 2020-02-29","1 Y 2019-03-28 to 2020-03-29","1 Y 2019-04-29 to 2020-04-29","1 Y 2019-05-28 to 2020-05-29","1 Y 2019-06-28 to 2020-06-29","1 Y 2019-07-29 to 2020-07-29","1 Y 2019-08-28 to 2020-08-29","1 Y 2019-09-30 to 2020-09-29","1 Y 2019-10-28 to 2020-10-29","1 Y 2019-11-29 to 2020-11-29","1 Y 2019-12-30 to 2020-12-29","1 Y 2020-01-28 to 2021-01-29","1 Y 2020-02-28 to 2021-03-01","1 Y 2020-03-30 to 2021-03-29","1 Y 2020-04-28 to 2021-04-29","1 Y 2020-05-28 to 2021-05-29","1 Y 2020-06-29 to 2021-06-29","1 Y 2020-07-28 to 2021-07-29","1 Y 2020-08-28 to 2021-08-29","1 Y 2020-09-28 to 2021-09-29","1 Y 2020-10-28 to 2021-10-29","1 Y 2020-11-30 to 2021-11-29"
"P Alpha Stat","0.68","0.32","0.35","0.33","0.5","0.66","0.95","0.94","0.98","0.72","0.8","0.17","0.1","0.22","0.07","0.05","0.04","-0.13","-0.14","-0.03","0.03","0.06","-0.03","-0.27","-0.46","-0.44","-0.8","-0.33","-0.35","-0.45","-0.22","-0.53","-0.59","-0.95","-0.73","-0.22","-0.13","0.04","1.43","2.01","1.79","1.63","1.64","1.66","1.23","1","1.12","1.42"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.88","0.95","0.99","0.95","0.9","0.86","0.94","0.92","0.78","0.8","0.82","1.11","1.02","1.1","1.23","1.18","1.13","1.13","1.11","1.15","1.14","1.13","1.17","1.15","1.21","1.17","1.2","1.1","1.2","1.3","1.32","1.32","1.32","1.29","1.28","1.26","1.28","1.34","1.09","1.27","1.14","1.11","1.1","1.19","1.29","1.31","1.27","0.74"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","73.71","74.92","92.74","87.07","85.88","81.81","76.01","80.26","71.04","80.57","80.04","88.51","88.7","93.33","95.75","96.61","95.02","95.52","96.72","97.51","97.58","97.58","97.32","96.46","95.17","94.94","97.1","95.28","95.51","97.01","96.21","96.4","96.53","96.03","94.8","92.38","93.51","94.81","90.02","82.6","70.11","71.81","70.3","72.75","72.25","63.23","61.81","50.31"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-3.1646","-3.6714","-10.4778","-10.3308","-10.2544","-10.6217","-10.3575","-10.0748","-9.8527","-10.228","-12.5391","-12.6898","-22.0322","-21.1677","-22.147","-21.7054","-21.0166","-21.1495","-21.6112","-21.807","-21.9621","-21.3218","-18.2166","-17.0367","-7.6441","-7.7822","-12.9654","-40.566","-38.1769","-39.6937","-39.3693","-40.2989","-41.3333","-40.5052","-40.5694","-40.6322","-40.4771","-41.3891","-35.5348","-15.984","-15.1227","-14.8849","-8.8453","-8.853","-9.1631","-7.5759","-7.1421","-5.9832"
"B Max Drawdown","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7423","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.3678","-0.8746","-0.318300000000001","-0.1713","-0.0949000000000009","-0.462200000000001","-0.198","0.0846999999999998","0.306799999999999","-0.0685000000000002","-2.3795","-2.5153","-2.254","-1.3895","-2.3688","-1.9272","-1.2384","-1.3713","-1.833","-2.0288","-2.1839","-1.6873","-1.77","-1.2944","-0.808","-0.946099999999999","-0.2096","-6.64100000000001","-4.25190000000001","-5.7687","-5.44430000000001","-6.37390000000001","-7.4083","-6.5802","-6.6444","-6.7072","-6.5521","-7.4641","-7.0145","-6.3795","-5.5182","-5.2804","0.7592","0.7514","0.4414","-0.0987","-1.9296","-0.7707"
