"","1 Y 2015-06-15 to 2018-06-16","1 Y 2015-07-15 to 2018-07-16","1 Y 2015-08-17 to 2018-08-16","1 Y 2015-09-15 to 2018-09-16","1 Y 2015-10-15 to 2018-10-16","1 Y 2015-11-16 to 2018-11-16","1 Y 2015-12-15 to 2018-12-16","1 Y 2016-01-15 to 2019-01-16","1 Y 2016-02-15 to 2019-02-16","1 Y 2016-03-15 to 2019-03-16","1 Y 2016-04-15 to 2019-04-16","1 Y 2016-05-16 to 2019-05-16","1 Y 2016-06-15 to 2019-06-16","1 Y 2016-07-15 to 2019-07-16","1 Y 2016-08-15 to 2019-08-16","1 Y 2016-09-15 to 2019-09-16","1 Y 2016-10-17 to 2019-10-16","1 Y 2016-11-15 to 2019-11-16","1 Y 2016-12-15 to 2019-12-16","1 Y 2017-01-16 to 2020-01-16","1 Y 2017-02-15 to 2020-02-16","1 Y 2017-03-15 to 2020-03-16","1 Y 2017-04-17 to 2020-04-16","1 Y 2017-05-15 to 2020-05-16","1 Y 2017-06-15 to 2020-06-16","1 Y 2017-07-17 to 2020-07-16","1 Y 2017-08-15 to 2020-08-16","1 Y 2017-09-15 to 2020-09-16","1 Y 2017-10-16 to 2020-10-16","1 Y 2017-11-15 to 2020-11-16","1 Y 2017-12-15 to 2020-12-16","1 Y 2018-01-15 to 2021-01-16","1 Y 2018-02-15 to 2021-02-16","1 Y 2018-03-15 to 2021-03-16","1 Y 2018-04-16 to 2021-04-16","1 Y 2018-05-15 to 2021-05-16","1 Y 2018-06-15 to 2021-06-16","1 Y 2018-07-16 to 2021-07-16","1 Y 2018-08-15 to 2021-08-16","1 Y 2018-09-17 to 2021-09-16","1 Y 2018-10-15 to 2021-10-16","2 Y 2015-06-15 to 2018-06-16","2 Y 2015-07-15 to 2018-07-16","2 Y 2015-08-17 to 2018-08-16","2 Y 2015-09-15 to 2018-09-16","2 Y 2015-10-15 to 2018-10-16","2 Y 2015-11-16 to 2018-11-16","2 Y 2015-12-15 to 2018-12-16","2 Y 2016-01-15 to 2019-01-16","2 Y 2016-02-15 to 2019-02-16","2 Y 2016-03-15 to 2019-03-16","2 Y 2016-04-15 to 2019-04-16","2 Y 2016-05-16 to 2019-05-16","2 Y 2016-06-15 to 2019-06-16","2 Y 2016-07-15 to 2019-07-16","2 Y 2016-08-15 to 2019-08-16","2 Y 2016-09-15 to 2019-09-16","2 Y 2016-10-17 to 2019-10-16","2 Y 2016-11-15 to 2019-11-16","2 Y 2016-12-15 to 2019-12-16","2 Y 2017-01-16 to 2020-01-16","2 Y 2017-02-15 to 2020-02-16","2 Y 2017-03-15 to 2020-03-16","2 Y 2017-04-17 to 2020-04-16","2 Y 2017-05-15 to 2020-05-16","2 Y 2017-06-15 to 2020-06-16","2 Y 2017-07-17 to 2020-07-16","2 Y 2017-08-15 to 2020-08-16","2 Y 2017-09-15 to 2020-09-16","2 Y 2017-10-16 to 2020-10-16","2 Y 2017-11-15 to 2020-11-16","2 Y 2017-12-15 to 2020-12-16","2 Y 2018-01-15 to 2021-01-16","2 Y 2018-02-15 to 2021-02-16","2 Y 2018-03-15 to 2021-03-16","2 Y 2018-04-16 to 2021-04-16","2 Y 2018-05-15 to 2021-05-16","2 Y 2018-06-15 to 2021-06-16","2 Y 2018-07-16 to 2021-07-16","2 Y 2018-08-15 to 2021-08-16","2 Y 2018-09-17 to 2021-09-16","2 Y 2018-10-15 to 2021-10-16","3 Y 2015-06-15 to 2018-06-16","3 Y 2015-07-15 to 2018-07-16","3 Y 2015-08-17 to 2018-08-16","3 Y 2015-09-15 to 2018-09-16","3 Y 2015-10-15 to 2018-10-16","3 Y 2015-11-16 to 2018-11-16","3 Y 2015-12-15 to 2018-12-16","3 Y 2016-01-15 to 2019-01-16","3 Y 2016-02-15 to 2019-02-16","3 Y 2016-03-15 to 2019-03-16","3 Y 2016-04-15 to 2019-04-16","3 Y 2016-05-16 to 2019-05-16","3 Y 2016-06-15 to 2019-06-16","3 Y 2016-07-15 to 2019-07-16","3 Y 2016-08-15 to 2019-08-16","3 Y 2016-09-15 to 2019-09-16","3 Y 2016-10-17 to 2019-10-16","3 Y 2016-11-15 to 2019-11-16","3 Y 2016-12-15 to 2019-12-16","3 Y 2017-01-16 to 2020-01-16","3 Y 2017-02-15 to 2020-02-16","3 Y 2017-03-15 to 2020-03-16","3 Y 2017-04-17 to 2020-04-16","3 Y 2017-05-15 to 2020-05-16","3 Y 2017-06-15 to 2020-06-16","3 Y 2017-07-17 to 2020-07-16","3 Y 2017-08-15 to 2020-08-16","3 Y 2017-09-15 to 2020-09-16","3 Y 2017-10-16 to 2020-10-16","3 Y 2017-11-15 to 2020-11-16","3 Y 2017-12-15 to 2020-12-16","3 Y 2018-01-15 to 2021-01-16","3 Y 2018-02-15 to 2021-02-16","3 Y 2018-03-15 to 2021-03-16","3 Y 2018-04-16 to 2021-04-16","3 Y 2018-05-15 to 2021-05-16","3 Y 2018-06-15 to 2021-06-16","3 Y 2018-07-16 to 2021-07-16","3 Y 2018-08-15 to 2021-08-16","3 Y 2018-09-17 to 2021-09-16","3 Y 2018-10-15 to 2021-10-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.513","16.319","20.21","24.892","11.983","5.673","-4.823","-11.088","0.543","-0.707","1.883","-3.368","-5.984","2.011","-1.327","3.934","8.255","14.914","25.492","29.843","28.518","-2.648","-0.893","34.638","28.718","33.777","40.636","19.719","49.512","1.512","2.027","0.568","3.469","47.648","46.377","55.245","40.438","41.892","40.961","38.932","47.468","14.929","16.357","16.514","22.984","18.233","9.454","1.895","2.949","4.35","6.194","9.598","8.704","8.091","10.219","9.538","10.574","9.554","12.296","14.254","12.544","16.893","2.248","4.18","20.813","17.9","23.122","29.586","13.391","29.629","0.734","6.231","7.064","5.547","8.253","10.354","9.482","9.324","8.52","16.585","14.06","21.99","8.884","11.325","14.19","18.373","15.514","13.026","12.265","19.299","20.003","15.307","12.591","14.348","13.449","12.958","10.665","13.173","12.901","13.383","15.823","15.069","15.185","6.577","7.227","19.812","20.71","22.54","26.755","14.798","23.356","3.735","2.182","4","5.756","7.122","8.7","6.616","5.185","5.494","6.891","6.486","13.899"
"B Annualized Returns","14.134","14.531","14.354","16.243","7.573","6.456","-0.462","-6.315","1.745","2.146","8.529","5.145","4.18","7.736","1.037","4.176","8.903","14.623","19.52","26.012","22.554","-11.75","-4.255","0.054","6.14","7.407","18.758","13.45","16.512","14.317","15.766","15.391","14.032","61.691","49.834","45.833","38.479","35.129","31.964","26.302","26.302","15.791","14.028","13.439","16.849","13.535","11.9","8.016","7.135","8.379","8.963","11.662","8.938","8.854","10.938","7.489","9.796","8.237","9.58","9.058","8.653","12.561","-5.287","1.951","2.568","4.967","7.377","8.988","8.519","11.34","13.988","20.496","20.585","18.406","17.079","19.774","20.454","21.258","20.474","23.466","24.747","24.747","10.107","9.932","10.272","13.669","10.761","9.965","9.067","11.576","13.765","11.697","11.564","11.331","11.783","11.664","9.144","11.946","12.125","12.417","11.924","13.095","12.849","1.318","5.824","5.892","8.02","9.485","11.041","10.77","10.846","11.333","11.177","10.854","12.143","11.923","15.913","14.91","15.284","15.929","16.572","16.341","18.809"
"AR DIFF(P-B)","1.379","1.788","5.856","8.649","4.41","-0.783","-4.361","-4.773","-1.202","-2.853","-6.646","-8.513","-10.164","-5.725","-2.364","-0.242","-0.648","0.291","5.972","3.831","5.964","9.102","3.362","34.584","22.578","26.37","21.878","6.269","33","-12.805","-13.739","-14.823","-10.563","-14.043","-3.457","9.412","1.959","6.76300000000001","8.997","12.63","21.166","-0.862","2.329","3.075","6.135","4.698","-2.446","-6.121","-4.186","-4.029","-2.769","-2.064","-0.234","-0.763","-0.719000000000001","2.049","0.778","1.317","2.716","5.196","3.891","4.332","7.535","2.229","18.245","12.933","15.745","20.598","4.872","18.289","-13.254","-14.265","-13.521","-12.859","-8.826","-9.42","-10.972","-11.934","-11.954","-6.881","-10.687","-2.757","-1.223","1.393","3.918","4.704","4.753","3.061","3.198","7.723","6.238","3.61","1.027","3.017","1.666","1.294","1.521","1.227","0.776","0.965999999999999","3.899","1.974","2.336","5.259","1.403","13.92","12.69","13.055","15.714","4.028","12.51","-7.598","-8.995","-6.854","-6.387","-4.801","-7.213","-8.294","-10.099","-10.435","-9.681","-9.855","-4.91"
"P Volatility","10.7","11.84","12.75","11.71","12.12","16.55","16.25","20.3","26.36","26.49","23.23","22.53","24.05","27.01","27.8","27.83","26.67","25.45","20.84","16.28","14.53","15.68","35.69","48.07","48.81","46.44","47.8","42.66","43.75","33.48","36.2","32.03","33.41","19.33","15.25","15.5","16.7","17.23","18.09","14.94","18.24","10.7","12.39","12.77","12.77","12.25","12.48","12.53","16.18","19.59","19.59","17.55","17.18","18.33","19.73","20.5","20.23","20.24","19.08","19.2","17.43","16.4","17.52","28.16","35.55","36.3","34.7","35.84","32.59","33.4","26.06","26.05","22.16","24.17","24.45","25.23","25.27","27.16","27.8","27.38","27.02","28.91","13.3","15.16","14.96","14.51","13.37","14.89","15.01","17.35","19.03","18.97","16.58","16.21","17.33","17.72","18.13","17.87","17.42","15.63","15.78","14.5","14.06","14.84","23.25","29.24","29.91","28.67","29.43","26.82","27.66","21.73","22.85","20.16","21.57","21.61","22.34","22.79","24.72","25.33","25.88","25.04","26.74"
"B Volatility","8.72","8.73","9.12","9.31","9.24","12.27","12.22","13.83","16.14","16.06","16.07","16.54","17.78","18.09","17.94","18.09","16.17","16.21","12.16","10.28","10.17","15.24","20.19","23.99","23.82","23.86","24.03","25.03","25.7","25.66","27.21","27.32","24.34","16.76","13.29","13.65","14.06","13.91","12.6","10.47","10.47","7.15","6.95","7.17","7.12","6.9","8.99","8.93","11.17","12.19","12.3","12.3","12.61","13.39","13.73","13.74","13.88","13.83","13.78","13.95","13.64","13.21","14.93","17.98","20.14","20.3","20.21","20.36","21","20.49","20.58","20.15","19.68","19.67","19.7","19.6","19.16","19.09","19.09","18.91","18.91","18.91","10.84","10.81","10.21","9.91","8.79","9.91","9.79","10.13","10.91","10.45","10.45","10.68","11.3","11.45","11.45","11.52","11.46","11.39","11.48","11.51","11.41","12.89","15.27","16.89","17.01","17.03","17.18","17.65","17.86","17.88","18.58","18.49","18.28","18.15","18.17","18.38","18.39","18.35","18.34","18.34","17.9"
"V DIFF(P-B)","1.98","3.11","3.63","2.4","2.88","4.28","4.03","6.47","10.22","10.43","7.16","5.99","6.27","8.92","9.86","9.74","10.5","9.24","8.68","6","4.36","0.44","15.5","24.08","24.99","22.58","23.77","17.63","18.05","7.82","8.99","4.71","9.07","2.57","1.96","1.85","2.64","3.32","5.49","4.47","7.77","3.55","5.44","5.6","5.65","5.35","3.49","3.6","5.01","7.4","7.29","5.25","4.57","4.94","6","6.76","6.35","6.41","5.3","5.25","3.79","3.19","2.59","10.18","15.41","16","14.49","15.48","11.59","12.91","5.48","5.9","2.48","4.5","4.75","5.63","6.11","8.07","8.71","8.47","8.11","10","2.46","4.35","4.75","4.6","4.58","4.98","5.22","7.22","8.12","8.52","6.13","5.53","6.03","6.27","6.68","6.35","5.96","4.24","4.3","2.99","2.65","1.95","7.98","12.35","12.9","11.64","12.25","9.17","9.8","3.85","4.27","1.67","3.29","3.46","4.17","4.41","6.33","6.98","7.54","6.7","8.84"
"P Tracking Error","5.74","6.58","7.59","6.07","6.59","8.06","8.1","9.53","12.72","11.9","9.82","8.61","8.23","10.63","11.64","11.47","13.56","13.26","12.66","9.7","8.8","16.44","24.47","34.39","34.79","34.28","35.27","25.56","26.91","12.11","13.1","10.45","11.88","8.75","9.21","10.71","12.43","12.78","14.37","13.34","12.59","6.45","8.33","8.75","8.51","8.44","7.05","6.97","8.21","10.04","9.42","8.24","7.91","7.69","8.83","9.7","9.1","10.52","10.46","10.15","8.16","8.01","12.51","17.38","24.11","24.61","24.35","25.09","18.44","20.08","9.7","10.22","8.8","9.78","10.15","10.12","11.33","13.4","13.65","14.19","13.93","13.99","7.3","8.04","8.43","8.57","8.33","9.14","9.41","11.04","11.38","11.42","9.46","9.07","9.2","9.35","9.7","9.13","9.76","8.77","8.58","6.9","7.04","10.81","14.59","20.07","20.52","20.65","21.23","15.82","16.89","9.23","9.66","8.92","9.27","9.1","9.41","10.13","11.6","11.92","12.61","12.19","12.39"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
