"","2015-12-28_to_2018-12-29_VGPortfolio_2QRank","2016-01-28_to_2019-01-29_VGPortfolio_2QRank","2016-02-29_to_2019-03-01_VGPortfolio_2QRank","2016-03-28_to_2019-03-29_VGPortfolio_2QRank","2016-04-28_to_2019-04-29_VGPortfolio_2QRank","2016-05-31_to_2019-05-29_VGPortfolio_2QRank","2016-06-28_to_2019-06-29_VGPortfolio_2QRank","2016-07-28_to_2019-07-29_VGPortfolio_2QRank","2016-08-29_to_2019-08-29_VGPortfolio_2QRank","2016-09-28_to_2019-09-29_VGPortfolio_2QRank","2016-10-28_to_2019-10-29_VGPortfolio_2QRank","2016-11-28_to_2019-11-29_VGPortfolio_2QRank","2016-12-28_to_2019-12-29_VGPortfolio_2QRank","2017-01-30_to_2020-01-29_VGPortfolio_2QRank","2017-02-28_to_2020-02-29_VGPortfolio_2QRank","2017-03-28_to_2020-03-29_VGPortfolio_2QRank","2017-04-28_to_2020-04-29_VGPortfolio_2QRank","2017-05-30_to_2020-05-29_VGPortfolio_2QRank","2017-06-28_to_2020-06-29_VGPortfolio_2QRank","2017-07-28_to_2020-07-29_VGPortfolio_2QRank","2017-08-28_to_2020-08-29_VGPortfolio_2QRank","2017-09-28_to_2020-09-29_VGPortfolio_2QRank","2017-10-30_to_2020-10-29_VGPortfolio_2QRank","2017-11-28_to_2020-11-29_VGPortfolio_2QRank","2017-12-28_to_2020-12-29_VGPortfolio_2QRank","2018-01-29_to_2021-01-29_VGPortfolio_2QRank","2018-02-28_to_2021-03-01_VGPortfolio_2QRank","2018-03-28_to_2021-03-29_VGPortfolio_2QRank","2018-04-30_to_2021-04-29_VGPortfolio_2QRank","2018-05-29_to_2021-05-29_VGPortfolio_2QRank","2018-06-28_to_2021-06-29_VGPortfolio_2QRank","2018-07-30_to_2021-07-29_VGPortfolio_2QRank","2018-08-28_to_2021-08-29_VGPortfolio_2QRank","2018-09-28_to_2021-09-29_VGPortfolio_2QRank","2018-10-29_to_2021-10-29_VGPortfolio_2QRank","2018-11-28_to_2021-11-29_VGPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","10.565","18.337","19.315","18.581","16.853","12.294","15.701","16.18","13.227","14.735","18.67","16.618","15.627","13.67","6.338","0.481","5.657","18.449","15.585","19.159","22.562","19.206","20.031","17.538","20.979","21.91","20.136","20.779","23.228","18.023","21.306","21.962","21.945","15.181","23.746","21.956"
"B Annualized Returns","6.517","11.696","13.199","11.629","12.328","9.914","13.05","11.647","10.283","10.913","12.602","12.561","12.938","12.809","7.718","2.521","7.215","8.056","7.735","9.625","12.787","9.921","8.762","11.467","11.494","9.176","12.841","15.06","16.726","16.051","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","4.048","6.641","6.116","6.952","4.525","2.38","2.651","4.533","2.944","3.822","6.068","4.057","2.689","0.861000000000001","-1.38","-2.04","-1.558","10.393","7.85","9.534","9.775","9.285","11.269","6.071","9.485","12.734","7.295","5.719","6.502","1.972","4.867","5.569","6.059","0.837999999999999","3.405","2.724"
"P Volatility","11.84","12.99","14.36","13.96","13.45","13.22","14.68","15","14.62","15","15.52","14.28","13.62","14.4","14.3","14.76","18.9","23.06","23.03","22.98","24.39","22.47","22.84","20.92","23.9","23.22","21.22","22.74","23.1","22.43","22.98","23.6","24.19","23.29","22.53","21.71"
"B Volatility","9.36","10.52","11.18","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.44","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","2.48","2.47","3.18","3.12","2.6","2.24","2.84","2.73","2.37","2.66","3.29","2.12","1.39","2.13","2.11","1.4","3.46","6.01","5.83","5.79","6.98","4.71","4.85","2.85","4.9","4.35","2.78","4.17","4.45","3.65","4.2","4.86","5.47","4.55","4.09","3"
"P Tracking Error","4.47","4.41","4.92","4.63","4.13","4.27","4.66","4.82","4.38","4.86","5.52","4.55","4.72","4.28","3.71","3.47","4.83","10.54","10.25","9.94","11.12","8.33","8.6","6.26","8.25","8.72","6.8","6.53","7.38","6.35","6.35","7.1","7.93","6.46","6.15","5.26"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
