"","1 Y 2016-09-27 to 2017-09-28","1 Y 2016-10-27 to 2017-10-28","1 Y 2016-11-28 to 2017-11-28","1 Y 2016-12-27 to 2017-12-28","1 Y 2017-01-27 to 2018-01-28","1 Y 2017-02-27 to 2018-02-28","1 Y 2017-03-27 to 2018-03-28","1 Y 2017-04-27 to 2018-04-28","1 Y 2017-05-30 to 2018-05-28","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.764","24.185","21.216","20.709","26.061","14.063","11.233","14.582","11.864","10.128","12.865","17.466","16.092","0.331","4.249","-6.613","-5.824","3.901","6.122","8.662","3.821","9.533","8.07","0.048","4.326","16.673","17.927","29.967","21.657","2.778","-12.932","-8.552","2.107","-5.078","-0.796","9.853","2.051","0.865","11.926","9.364","11.797","25.468","65.587","52.368","43.497","45.26","39.855","37.431","35.306","39.559","21.91"
"B Annualized Returns","15.598","21.004","19.318","19.45","25.274","14.816","10.448","11.769","12.971","11.293","13.872","18.545","16.092","3.016","4.444","-7.509","-7.368","2.604","8.078","10.141","4.195","8.3","7.366","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","56.58","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.364"
"AR DIFF(P-B)","3.166","3.181","1.898","1.259","0.786999999999999","-0.753","0.785","2.813","-1.107","-1.165","-1.007","-1.079","0","-2.685","-0.195","0.896","1.544","1.297","-1.956","-1.479","-0.374","1.233","0.704000000000001","0.379","2.686","1.554","0.349","-0.215","-2.262","-3.318","-3.201","-5.846","-6.758","-7.954","-7.333","-10.096","-10.579","-6.845","-3.399","-6.642","-3.905","-2.476","9.00700000000001","6.276","4.735","4.602","3.123","8.021","5.439","-0.960000000000001","-4.454"
"P Volatility","6.56","5.43","4.14","4.41","4.43","5.25","7.67","8.08","8.08","7.96","7.83","8.18","8.28","8.17","10.76","12.34","14.4","16.75","17.17","17.4","17.49","19.11","20.06","20.45","20.99","18.96","18.35","13.92","11.78","11.28","15.46","23.3","26.35","25.07","25.3","26.63","27.34","27.39","26.64","28.91","28.51","26.69","16.86","14.71","14.06","13.71","14.69","14.35","13.21","15.22","11.64"
"B Volatility","5.57","4.25","3.79","4.03","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","0.989999999999999","1.18","0.35","0.38","0.37","-0.29","-0.23","-0.859999999999999","-0.880000000000001","-1.08","-1.17","-1.17","-1.24","-1.33","-1.71","-0.210000000000001","-0.0700000000000003","0.0700000000000003","0.560000000000002","0.75","0.559999999999999","0.460000000000001","0.41","0.98","1.38","1.12","0.5","0.35","-0.17","-0.710000000000001","-0.279999999999999","3.15","2.81","2.15","2.35","3.32","3.26","2.61","1.69","1.83","1.38","1.85","-1.24","-0.25","-1.01","-1.54","-0.26","0.279999999999999","1","1.81","0.65"
"P Tracking Error","2.19","2.48","1.41","1.25","1.74","2.12","2.18","2.87","3.39","3.06","2.99","2.9","2.68","3.02","2.97","3.12","2.73","3.2","2.91","2.99","2.73","2.9","2.86","2.59","2.7","2.33","1.96","2.07","2.22","2.4","2.01","4.9","4.16","4.2","4.32","4.93","5.25","5.35","5.11","5.94","6.03","6.62","5.97","6.2","6.38","6.05","7.37","6.03","5.61","5.35","5.66"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.45","1.28","1.35","1.01","0.45","-0.36","0.36","0.98","-0.33","-0.38","-0.34","-0.37","0","-0.89","-0.07","0.29","0.57","0.41","-0.67","-0.49","-0.14","0.43","0.25","0.15","0.99","0.67","0.18","-0.1","-1.02","-1.38","-1.59","-1.19","-1.62","-1.89","-1.7","-2.05","-2.02","-1.28","-0.67","-1.12","-0.65","-0.37","1.51","1.01","0.74","0.76","0.42","1.33","0.97","-0.18","-0.79"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.01","-0.08","0.07","0.09","0.12","0.13","-0.03","0.39","0.12","0.08","0.12","0.15","0.23","0.02","-0.15","0.1","0","0.04","-0.05","-0.05","-0.02","0.06","0.06","0.06","0.15","0.2","0.1","0.03","-0.04","-0.15","-0.09","-0.49","-0.74","-0.62","-0.7","-0.7","-1.21","-0.68","-0.42","-0.5","-0.29","-0.41","0.87","0.88","0.68","1.13","0.75","0.78","0.4","-0.15","-0.07"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.12","1.14","1.03","1.05","1","0.88","0.93","0.86","0.83","0.83","0.82","0.83","0.84","0.82","0.84","0.95","0.98","0.99","1.02","1.03","1.02","1.01","1.01","1.04","1.06","1.06","1.02","1.01","0.97","0.92","0.97","1.14","1.11","1.08","1.09","1.13","1.12","1.09","1.05","1.05","1.03","1.04","0.88","0.9","0.85","0.83","0.86","0.93","0.98","1.06","0.93"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
