"","2017-04-18_to_2020-04-19_CorePortfolio_12QRank","2017-05-18_to_2020-05-19_CorePortfolio_12QRank","2017-06-19_to_2020-06-19_CorePortfolio_12QRank","2017-07-18_to_2020-07-19_CorePortfolio_12QRank","2017-08-18_to_2020-08-19_CorePortfolio_12QRank","2017-09-18_to_2020-09-19_CorePortfolio_12QRank","2017-10-18_to_2020-10-19_CorePortfolio_12QRank","2017-11-20_to_2020-11-19_CorePortfolio_12QRank","2017-12-18_to_2020-12-19_CorePortfolio_12QRank","2018-01-18_to_2021-01-19_CorePortfolio_12QRank","2018-02-20_to_2021-02-19_CorePortfolio_12QRank","2018-03-19_to_2021-03-19_CorePortfolio_12QRank","2018-04-18_to_2021-04-19_CorePortfolio_12QRank","2018-05-18_to_2021-05-19_CorePortfolio_12QRank","2018-06-18_to_2021-06-19_CorePortfolio_12QRank","2018-07-18_to_2021-07-19_CorePortfolio_12QRank","2018-08-20_to_2021-08-19_CorePortfolio_12QRank","2018-09-18_to_2021-09-19_CorePortfolio_12QRank","2018-10-18_to_2021-10-19_CorePortfolio_12QRank","2018-11-19_to_2021-11-19_CorePortfolio_12QRank","2018-12-18_to_2021-12-19_CorePortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.56","-0.66","-0.61","-0.63","-0.59","-0.31","-0.18","-0.25","-0.11","0.07","-0.29","-0.08","0.13","0.31","-0.12","0.4","0.35","-0.32","-0.08","-0.33","-0.25"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.15","-0.17","-0.13","-0.17","-0.13","-0.17","-0.06","-0.1","-0.05","-0.03","-0.07","-0.09","0.05","0.07","0.02","0.11","0.15","-0.09","-0.09","-0.13","-0.24"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.04","1","1","0.99","1","0.99","0.98","0.98","1","1.01","1","1.01","1.02","1.02","1.02","1.03","1.04","1.03","1.05","1.06","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","95.09","95.4","96.16","95.92","96.23","95.69","95.41","95.2","95.42","95.74","95.34","95.82","95.5","95.59","95.17","94.48","94.33","95.4","95.46","96.12","94.53"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-37.575","-37.6135","-36.9974","-37.1517","-37.1122","-37.2559","-37.2644","-37.4382","-37.622","-37.5628","-37.8759","-38.2184","-38.1889","-38.2062","-38.2698","-38.5725","-38.6538","-38.4272","-38.3324","-38.1625","-38.9849"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.65000000000001","-3.6885","-3.0724","-3.2267","-3.1872","-3.3309","-3.3394","-3.5132","-3.697","-3.63780000000001","-3.9509","-4.29340000000001","-4.2639","-4.28120000000001","-4.3448","-4.6475","-4.7288","-4.5022","-4.4074","-4.2375","-5.05990000000001"
