"","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","1.224","8.525","18.074","14.115","15.214","26.069","27.51","22.651","34.786","66.074","55.577","54.276","54.914","44.693","47.577","46.007","51.17","36.432","3.167","6.907","8.099","6.722","14.232","19.272","29.901","20.969","17.083","19.435","21.079","26.445","23.53","21.478","30.289","26.92","25.789","26.46"
"B Annualized Returns","5.834","6.537","20.659","12.63","7.71","16.012","16.006","15.702","22.877","57.925","46.092","38.363","40.658","36.732","28.495","29.867","40.519","31.113","6.568","7.172","9.663","7.072","11.285","15.174","22.124","19.775","17.322","17.892","19.222","22.435","20.37","20.694","24.449","20.954","23.026","23.014"
"AR DIFF(P-B)","-4.61","1.988","-2.585","1.485","7.504","10.057","11.504","6.949","11.909","8.149","9.485","15.913","14.256","7.961","19.082","16.14","10.651","5.319","-3.401","-0.265","-1.564","-0.35","2.947","4.098","7.777","1.194","-0.239000000000001","1.543","1.857","4.01","3.16","0.784000000000002","5.84","5.966","2.763","3.446"
"P Volatility","32.67","32.97","34.15","34.76","35.02","35.2","38.35","37.5","34.86","21.25","17.43","17.54","17.32","15.85","17.35","15.34","15.07","9.11","26.7","26.86","27.7","28.04","27.83","28.01","27.99","26.93","26.27","26.28","26.56","26.87","26.92","26.06","27.29","26.55","26.37","27.12"
"B Volatility","23.79","23.82","24","24.99","25.67","25.68","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65","20.6","20.52","20.66","20.92","20.79","20.88","20.06","19.63","19.6","19.6","19.54","19.1","19.48","19.03","18.85","18.85","19.47","20.23"
"V DIFF(P-B)","8.88","9.15","10.15","9.77","9.35","9.52","11.13","10.23","10.52","4.59","4.28","4.04","3.38","2.06","4.89","5.04","2.81","-1.54","6.1","6.34","7.04","7.12","7.04","7.13","7.93","7.3","6.67","6.68","7.02","7.77","7.44","7.03","8.44","7.7","6.9","6.89"
"P Tracking Error","12.4","12.8","13.79","13.69","13.73","13.33","14.81","13.63","12.83","9.04","8.99","7.81","7.74","8.03","8.94","8.41","8.48","7.62","9.24","9.41","10.1","10.38","10.49","10.27","11.17","10.46","9.9","10.31","10.2","10.66","10.5","10.54","11.66","10.87","10.9","11.3"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
