"","2017-06-27_to_2020-06-28_CorePortfolio_8QRank","2017-07-27_to_2020-07-28_CorePortfolio_8QRank","2017-08-28_to_2020-08-28_CorePortfolio_8QRank","2017-09-27_to_2020-09-28_CorePortfolio_8QRank","2017-10-27_to_2020-10-28_CorePortfolio_8QRank","2017-11-27_to_2020-11-28_CorePortfolio_8QRank","2017-12-27_to_2020-12-28_CorePortfolio_8QRank","2018-01-29_to_2021-01-28_CorePortfolio_8QRank","2018-02-27_to_2021-02-28_CorePortfolio_8QRank","2018-03-27_to_2021-03-28_CorePortfolio_8QRank","2018-04-27_to_2021-04-28_CorePortfolio_8QRank","2018-05-29_to_2021-05-28_CorePortfolio_8QRank","2018-06-27_to_2021-06-28_CorePortfolio_8QRank","2018-07-27_to_2021-07-28_CorePortfolio_8QRank","2018-08-27_to_2021-08-28_CorePortfolio_8QRank","2018-09-27_to_2021-09-28_CorePortfolio_8QRank","2018-10-29_to_2021-10-28_CorePortfolio_8QRank","2018-11-27_to_2021-11-28_CorePortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","5.113","6.914","10.524","8.276","7.104","11.127","10.876","9.429","16.527","15.153","19.262","16.368","16.612","15.893","16.436","15.738","19.612","16.996"
"B Annualized Returns","7.541","9.126","12.787","10.142","8.201","11.82","11.644","9.897","11.569","15.01","16.114","16.051","16.667","15.975","15.88","14.283","20.283","19.652"
"AR DIFF(P-B)","-2.428","-2.212","-2.263","-1.866","-1.097","-0.693","-0.768000000000001","-0.468","4.958","0.143000000000001","3.148","0.317","-0.0550000000000033","-0.081999999999999","0.555999999999999","1.455","-0.671000000000003","-2.656"
"P Volatility","18.58","18.31","18.79","18.55","18.4","18.47","19.52","19.51","20.18","19.77","20.26","19.85","20.29","19.81","19.7","20.09","19.67","20.05"
"B Volatility","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","1.38","1.12","1.38","0.789999999999999","0.41","0.399999999999999","0.52","0.640000000000001","1.49","1.2","1.61","1.07","1.51","1.07","0.98","1.35","1.23","1.34"
"P Tracking Error","3.75","3.73","3.71","3.74","3.86","3.75","3.65","3.43","5.28","3.38","4.8","3.79","3.95","3.95","3.94","4.16","4.9","5.12"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.65","-0.59","-0.61","-0.5","-0.28","-0.18","-0.21","-0.14","0.94","0.04","0.66","0.08","-0.01","-0.02","0.14","0.35","-0.14","-0.52"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.18","-0.22","-0.16","-0.22","-0.12","-0.09","-0.05","-0.03","0.34","-0.06","0.22","-0.02","-0.01","-0.03","0.03","0.05","-0.04","-0.19"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.06","1.04","1.06","1.02","1","1","1.01","1.02","1.04","1.05","1.06","1.04","1.06","1.04","1.03","1.05","1.03","1.04"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","96.12","95.9","96.3","95.87","95.47","95.77","96.41","96.84","93.11","97.22","94.51","96.39","96.43","96.03","95.96","95.8","93.7","93.41"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-38.8466","-38.7862","-38.3503","-38.211","-37.5956","-37.7744","-37.502","-37.3281","-37.8947","-38.1071","-38.5073","-38.1297","-38.6021","-37.9711","-37.7696","-38.0765","-38.0945","-38.6654"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.92160000000001","-4.8612","-4.4253","-4.286","-3.6706","-3.8494","-3.57700000000001","-3.4031","-3.9697","-4.18210000000001","-4.5823","-4.2047","-4.6771","-4.0461","-3.8446","-4.15150000000001","-4.1695","-4.7404"
