"","1 Y 2015-09-25 to 2016-09-26","1 Y 2015-10-26 to 2016-10-26","1 Y 2015-11-25 to 2016-11-26","1 Y 2015-12-28 to 2016-12-26","1 Y 2016-01-25 to 2017-01-26","1 Y 2016-02-25 to 2017-02-26","1 Y 2016-03-28 to 2017-03-26","1 Y 2016-04-25 to 2017-04-26","1 Y 2016-05-25 to 2017-05-26","1 Y 2016-06-27 to 2017-06-26","1 Y 2016-07-25 to 2017-07-26","1 Y 2016-08-25 to 2017-08-26","1 Y 2016-09-26 to 2017-09-26","1 Y 2016-10-25 to 2017-10-26","1 Y 2016-11-25 to 2017-11-26","1 Y 2016-12-27 to 2017-12-26","1 Y 2017-01-25 to 2018-01-26","1 Y 2017-02-27 to 2018-02-26","1 Y 2017-03-27 to 2018-03-26","1 Y 2017-04-25 to 2018-04-26","1 Y 2017-05-25 to 2018-05-26","1 Y 2017-06-26 to 2018-06-26","1 Y 2017-07-25 to 2018-07-26","1 Y 2017-08-25 to 2018-08-26","1 Y 2017-09-25 to 2018-09-26","1 Y 2017-10-25 to 2018-10-26","1 Y 2017-11-27 to 2018-11-26","1 Y 2017-12-26 to 2018-12-26","1 Y 2018-01-25 to 2019-01-26","1 Y 2018-02-26 to 2019-02-26","1 Y 2018-03-26 to 2019-03-26","1 Y 2018-04-25 to 2019-04-26","1 Y 2018-05-25 to 2019-05-26","1 Y 2018-06-25 to 2019-06-26","1 Y 2018-07-25 to 2019-07-26","1 Y 2018-08-27 to 2019-08-26","1 Y 2018-09-25 to 2019-09-26","1 Y 2018-10-25 to 2019-10-26","1 Y 2018-11-26 to 2019-11-26","1 Y 2018-12-26 to 2019-12-26","1 Y 2019-01-25 to 2020-01-26","1 Y 2019-02-25 to 2020-02-26","1 Y 2019-03-25 to 2020-03-26","1 Y 2019-04-25 to 2020-04-26","1 Y 2019-05-28 to 2020-05-26","1 Y 2019-06-25 to 2020-06-26","1 Y 2019-07-25 to 2020-07-26","1 Y 2019-08-26 to 2020-08-26","1 Y 2019-09-25 to 2020-09-26","1 Y 2019-10-25 to 2020-10-26","1 Y 2019-11-25 to 2020-11-26","1 Y 2019-12-26 to 2020-12-26","1 Y 2020-01-27 to 2021-01-26","1 Y 2020-02-25 to 2021-02-26","1 Y 2020-03-25 to 2021-03-26","1 Y 2020-04-27 to 2021-04-26","1 Y 2020-05-26 to 2021-05-26","1 Y 2020-06-25 to 2021-06-26","1 Y 2020-07-27 to 2021-07-26","1 Y 2020-08-25 to 2021-08-26","1 Y 2020-09-25 to 2021-09-26","1 Y 2020-10-26 to 2021-10-26","1 Y 2020-11-25 to 2021-11-26"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.08","3.455","14.076","23.108","58.664","55.212","30.024","14.916","14.395","40.05","25.063","17.783","11.62","14.948","21.013","21.856","20.823","7.695","8.014","10.176","19.807","24.524","22.468","23.319","14.696","5.542","6.819","-6.619","-1.319","7.8","4.373","5.829","-2.395","6.182","1.663","-0.094","5.959","19.858","14.585","28.922","17.319","2.522","-11.677","-11.431","-2.554","-4.166","-0.709","6.337","1.804","5.687","19.702","8.832","13.251","38.66","123.403","119.419","93.735","56.589","36.8","43.379","66.846","64.668","22.569"
"B Annualized Returns","14.088","3.56","5.942","10.197","21.972","21.296","15.246","14.139","15.584","21.987","14.229","12.455","16.343","19.677","17.631","18.196","25.088","17.346","13.576","11.707","12.681","11.643","14.513","17.721","16.386","3.839","2.777","-7.939","-6.146","0.514","6.015","10.234","3.859","7.004","6.64","-0.636","2.466","11.716","17.471","31.293","23.741","11.543","-6.249","-3.056","6.777","2.876","7.057","21.246","10.775","11.93","15.575","14.337","18.682","27.944","51.119","45.63","40.251","38.814","36.632","28.495","35.189","34.514","26.504"
"AR DIFF(P-B)","3.992","-0.105","8.134","12.911","36.692","33.916","14.778","0.777000000000001","-1.189","18.063","10.834","5.328","-4.723","-4.729","3.382","3.66","-4.265","-9.651","-5.562","-1.531","7.126","12.881","7.955","5.598","-1.69","1.703","4.042","1.32","4.827","7.286","-1.642","-4.405","-6.254","-0.821999999999999","-4.977","0.542","3.493","8.142","-2.886","-2.371","-6.422","-9.021","-5.428","-8.375","-9.331","-7.042","-7.766","-14.909","-8.971","-6.243","4.127","-5.505","-5.431","10.716","72.284","73.789","53.484","17.775","0.167999999999999","14.884","31.657","30.154","-3.935"
"P Volatility","20.56","17.02","14.21","15.88","17.92","16.68","11.84","6.76","6.74","10.3","10.93","9.45","6.94","6.41","5.57","6.13","4.65","8.07","12.49","12.67","12.44","12.52","12.71","10.18","8.82","8.91","11.78","10.81","14.04","15.06","17.4","19.3","20.45","24.03","24.96","26.02","24.47","25.12","27.42","26.25","18.35","15.08","17.48","24.99","37.65","38.9","42.18","44.38","35.69","37.7","25.62","28.38","39.43","40.43","36.49","31.47","29.53","18.12","16.87","22.57","25.46","23.28","9.42"
"B Volatility","13.01","10.14","10.44","10.65","8.34","8.1","6.3","6.37","6.37","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","7.55","6.88","3.77","5.23","9.58","8.58","5.54","0.39","0.37","4.06","5.23","3.83","1.37","2.16","1.78","2.1","0.590000000000001","2.53","4.59","3.73","3.48","3.48","3.71","0.83","-0.699999999999999","-0.59","-0.690000000000001","-1.74","-0.430000000000001","-1.62","0.789999999999999","2.65","3.52","5.38","5.31","6.55","4.86","7.28","9.57","12.68","6.4","3.09","1.74","4.84","14.11","15.98","19.23","21.07","11.61","12.92","0.670000000000002","1.3","12.3","15.59","18.39","16.51","14.46","2.87","1.92","8.5","13.25","9.87","-1.57"
"P Tracking Error","10.41","8.34","5.82","7.33","12.78","11.62","7.97","3.2","3.89","6.71","8.76","6.51","3.11","3.06","4.01","4.99","3.03","6.09","8.99","10.29","9.75","9.96","10.51","7.05","6.41","6.04","5.2","4.84","6.43","6.47","5.18","4.29","6.32","7.42","7.89","7.61","6.3","8.31","10.61","13.53","7.21","4.85","3.96","7.3","16.17","17.74","20.95","23.02","13.26","14.59","6.85","7.69","16.04","19.33","24.55","23.86","21.94","9.5","8.32","11.7","18.26","16.98","6.34"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
