"","2016-06-27_to_2017-06-28_ValuePortfolio_4QRank","2016-07-27_to_2017-07-28_ValuePortfolio_4QRank","2016-08-29_to_2017-08-28_ValuePortfolio_4QRank","2016-09-27_to_2017-09-28_ValuePortfolio_4QRank","2016-10-27_to_2017-10-28_ValuePortfolio_4QRank","2016-11-28_to_2017-11-28_ValuePortfolio_4QRank","2016-12-27_to_2017-12-28_ValuePortfolio_4QRank","2017-01-27_to_2018-01-28_ValuePortfolio_4QRank","2017-02-27_to_2018-02-28_ValuePortfolio_4QRank","2017-03-27_to_2018-03-28_ValuePortfolio_4QRank","2017-04-27_to_2018-04-28_ValuePortfolio_4QRank","2017-05-30_to_2018-05-28_ValuePortfolio_4QRank","2017-06-27_to_2018-06-28_ValuePortfolio_4QRank","2017-07-27_to_2018-07-28_ValuePortfolio_4QRank","2017-08-28_to_2018-08-28_ValuePortfolio_4QRank","2017-09-27_to_2018-09-28_ValuePortfolio_4QRank","2017-10-27_to_2018-10-28_ValuePortfolio_4QRank","2017-11-27_to_2018-11-28_ValuePortfolio_4QRank","2017-12-27_to_2018-12-28_ValuePortfolio_4QRank","2018-01-29_to_2019-01-28_ValuePortfolio_4QRank","2018-02-27_to_2019-02-28_ValuePortfolio_4QRank","2018-03-27_to_2019-03-28_ValuePortfolio_4QRank","2018-04-27_to_2019-04-28_ValuePortfolio_4QRank","2018-05-29_to_2019-05-28_ValuePortfolio_4QRank","2018-06-27_to_2019-06-28_ValuePortfolio_4QRank","2018-07-27_to_2019-07-28_ValuePortfolio_4QRank","2018-08-27_to_2019-08-28_ValuePortfolio_4QRank","2018-09-27_to_2019-09-28_ValuePortfolio_4QRank","2018-10-29_to_2019-10-28_ValuePortfolio_4QRank","2018-11-27_to_2019-11-28_ValuePortfolio_4QRank","2018-12-27_to_2019-12-28_ValuePortfolio_4QRank","2019-01-28_to_2020-01-28_ValuePortfolio_4QRank","2019-02-27_to_2020-02-28_ValuePortfolio_4QRank","2019-03-27_to_2020-03-28_ValuePortfolio_4QRank","2019-04-29_to_2020-04-28_ValuePortfolio_4QRank","2019-05-28_to_2020-05-28_ValuePortfolio_4QRank","2019-06-27_to_2020-06-28_ValuePortfolio_4QRank","2019-07-29_to_2020-07-28_ValuePortfolio_4QRank","2019-08-27_to_2020-08-28_ValuePortfolio_4QRank","2019-09-27_to_2020-09-28_ValuePortfolio_4QRank","2019-10-28_to_2020-10-28_ValuePortfolio_4QRank","2019-11-27_to_2020-11-28_ValuePortfolio_4QRank","2019-12-27_to_2020-12-28_ValuePortfolio_4QRank","2020-01-27_to_2021-01-28_ValuePortfolio_4QRank","2020-02-27_to_2021-02-28_ValuePortfolio_4QRank","2020-03-27_to_2021-03-28_ValuePortfolio_4QRank","2020-04-27_to_2021-04-28_ValuePortfolio_4QRank","2020-05-27_to_2021-05-28_ValuePortfolio_4QRank","2020-06-29_to_2021-06-28_ValuePortfolio_4QRank","2020-07-27_to_2021-07-28_ValuePortfolio_4QRank","2020-08-27_to_2021-08-28_ValuePortfolio_4QRank","2020-09-28_to_2021-09-28_ValuePortfolio_4QRank","2020-10-27_to_2021-10-28_ValuePortfolio_4QRank","2020-11-27_to_2021-11-28_ValuePortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","39.697","24.615","12.078","16.414","19.876","18.21","22.125","20.869","6.878","5.374","7.799","14.933","18.558","14.887","25.51","12.767","9.151","7.286","-9.882","-4.984","6.402","9.043","6.584","4.505","7.356","2.934","-1.996","3.372","17.941","13.891","27.259","10.904","-6.224","-28.849","-21.465","-6.641","-14.505","-7.716","12.266","7.051","-11.421","8.908","1.672","12.66","40.274","147.989","112.32","95.686","92.122","80.719","61.456","79.209","97.303","33.116"
"B Annualized Returns","19.871","13.919","12.137","15.598","21.004","19.318","19.45","25.274","14.816","10.448","11.769","12.971","11.293","13.872","18.545","16.092","3.016","4.444","-7.509","-7.368","2.604","8.078","10.141","4.195","8.3","7.366","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","56.58","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.364"
"AR DIFF(P-B)","19.826","10.696","-0.0590000000000011","0.816000000000001","-1.128","-1.108","2.675","-4.405","-7.938","-5.074","-3.97","1.962","7.265","1.015","6.965","-3.325","6.135","2.842","-2.373","2.384","3.798","0.965","-3.557","0.31","-0.944000000000001","-4.432","-1.665","1.732","2.822","-3.687","-2.923","-13.015","-12.32","-19.118","-18.759","-15.506","-17.381","-14.253","-7.683","-5.579","-19.131","-6.417","-14.334","-3.042","12.33","91.409","66.228","56.924","51.464","43.987","32.046","49.342","56.784","6.752"
"P Volatility","15.08","12.52","9.99","10.85","9.03","4.23","6.12","6.6","7.01","10.1","11.31","10.8","11.52","12.44","12.29","10.63","10.89","13.25","12.92","16.1","19.24","19.08","18.5","17.17","18.97","20.7","19.94","22.83","26.88","27.32","25.4","22.46","21.21","25.73","34","41.59","39.49","40.76","41.73","39.91","38.56","41.54","40.4","46.54","48.3","37.2","30.64","29.58","30.41","31.86","31.95","31.51","33.29","15.68"
"B Volatility","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","8.84","6.82","4.37","5.28","4.78","0.44","2.09","2.54","1.47","2.2","2.37","1.84","2.48","3.44","2.94","1.11","1.39","0.779999999999999","0.369999999999999","1.63","2.56","2.47","1.85","0.240000000000002","0.32","1.05","0.470000000000002","3.22","9.04","9.47","11.83","10.51","9.22","9.99","13.85","18.05","16.57","17.81","18.42","15.83","13.78","16.59","13.32","19.41","23.46","19.1","15.68","14.51","15.16","16.91","17.88","19.3","19.88","4.69"
"P Tracking Error","11.53","10.08","7.09","7.93","6.49","3.04","4.78","4.8","5.71","7.28","8.99","9.07","9.96","10.83","11.75","8.92","7.59","6.88","6.88","7.35","6.1","6.08","6.27","6.6","5.92","5.64","4.89","5.58","10.76","10.84","12.71","11.55","10.37","12.29","15.76","20.07","18.83","20.28","20.86","17.72","16.61","19.14","16.74","22.55","27.1","24.73","23.09","21.91","22.95","22.39","22.83","24.71","26.68","16.6"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
