"","2016-12-28_to_2018-12-29_ValuePortfolio_6QRank","2017-01-30_to_2019-01-29_ValuePortfolio_6QRank","2017-02-28_to_2019-03-01_ValuePortfolio_6QRank","2017-03-28_to_2019-03-29_ValuePortfolio_6QRank","2017-04-28_to_2019-04-29_ValuePortfolio_6QRank","2017-05-30_to_2019-05-29_ValuePortfolio_6QRank","2017-06-28_to_2019-06-29_ValuePortfolio_6QRank","2017-07-28_to_2019-07-29_ValuePortfolio_6QRank","2017-08-28_to_2019-08-29_ValuePortfolio_6QRank","2017-09-28_to_2019-09-29_ValuePortfolio_6QRank","2017-10-30_to_2019-10-29_ValuePortfolio_6QRank","2017-11-28_to_2019-11-29_ValuePortfolio_6QRank","2017-12-28_to_2019-12-29_ValuePortfolio_6QRank","2018-01-29_to_2020-01-29_ValuePortfolio_6QRank","2018-02-28_to_2020-02-29_ValuePortfolio_6QRank","2018-03-28_to_2020-03-29_ValuePortfolio_6QRank","2018-04-30_to_2020-04-29_ValuePortfolio_6QRank","2018-05-29_to_2020-05-29_ValuePortfolio_6QRank","2018-06-28_to_2020-06-29_ValuePortfolio_6QRank","2018-07-30_to_2020-07-29_ValuePortfolio_6QRank","2018-08-28_to_2020-08-29_ValuePortfolio_6QRank","2018-09-28_to_2020-09-29_ValuePortfolio_6QRank","2018-10-29_to_2020-10-29_ValuePortfolio_6QRank","2018-11-28_to_2020-11-29_ValuePortfolio_6QRank","2018-12-28_to_2020-12-29_ValuePortfolio_6QRank","2019-01-28_to_2021-01-29_ValuePortfolio_6QRank","2019-02-28_to_2021-03-01_ValuePortfolio_6QRank","2019-03-28_to_2021-03-29_ValuePortfolio_6QRank","2019-04-29_to_2021-04-29_ValuePortfolio_6QRank","2019-05-28_to_2021-05-29_ValuePortfolio_6QRank","2019-06-28_to_2021-06-29_ValuePortfolio_6QRank","2019-07-29_to_2021-07-29_ValuePortfolio_6QRank","2019-08-28_to_2021-08-29_ValuePortfolio_6QRank","2019-09-30_to_2021-09-29_ValuePortfolio_6QRank","2019-10-28_to_2021-10-29_ValuePortfolio_6QRank","2019-11-29_to_2021-11-29_ValuePortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.08","9.97","11.022","11.233","10.391","11.786","14.393","15.555","20.678","11.47","12.654","3.878","4.454","5.197","0.341","-9.688","-2.738","-7.098","-9.069","-7.425","-5.383","-1.818","1.262","4.088","10.879","10.672","10.185","18.74","22.116","32.551","26.231","24.159","37.445","23.683","20.178","22.035"
"B Annualized Returns","5.11","7.595","8.899","9.61","11.087","7.406","9.786","10.53","9.372","8.639","8.657","9.332","9.813","7.105","4.335","-1.227","5.36","6.376","6.004","7.826","10.017","6.968","11.931","15.153","22.381","18.472","18.321","18.707","19.595","22.448","20.724","20.916","24.958","21.017","23.024","21.709"
"AR DIFF(P-B)","1.97","2.375","2.123","1.623","-0.696","4.38","4.607","5.025","11.306","2.831","3.997","-5.454","-5.359","-1.908","-3.994","-8.461","-8.098","-13.474","-15.073","-15.251","-15.4","-8.786","-10.669","-11.065","-11.502","-7.8","-8.136","0.0329999999999977","2.521","10.103","5.507","3.243","12.487","2.666","-2.846","0.326000000000001"
"P Volatility","9.96","13.11","14.72","15.42","15.71","16.28","15.84","15.18","16.64","15.92","16.74","15.92","13.76","13.28","13.9","15.02","18.9","23.65","24.41","25.11","25.42","26.32","29.13","26.87","29.39","26.04","25.81","32.63","29.39","31.21","31.07","32.91","33.05","31.36","34.32","34.66"
"B Volatility","9.12","11.66","12.46","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","19.67","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","0.840000000000002","1.45","2.26","2.69","2.96","3.33","1.8","0.449999999999999","1.92","1.09","1.93","1.16","-1.13","-1.25","-0.23","-0.43","0.779999999999998","3.38","3.93","4.73","4.8","5.21","8.53","6.09","8.9","6.01","6.14","12.52","9.26","11.86","12.06","13.9","14.23","12.53","14.87","14.88"
"P Tracking Error","5.63","5.35","5.84","7.31","7.84","8.72","8.49","8.82","9.81","8.5","8.65","6.97","7.67","7.21","6.59","5.74","6.39","7.57","7.15","8.29","7.7","7.83","10.84","8.84","11.63","8.88","9.31","15.09","11.74","14.58","14.99","16.93","17.7","16.91","19.73","19.77"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.35","0.44","0.36","0.22","-0.09","0.5","0.54","0.57","1.15","0.33","0.46","-0.78","-0.7","-0.26","-0.61","-1.47","-1.27","-1.78","-2.11","-1.84","-2","-1.12","-0.98","-1.25","-0.99","-0.88","-0.87","0","0.21","0.69","0.37","0.19","0.71","0.16","-0.14","0.02"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
