"","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","10.139","8.735","1.883","5.641","18.309","18.785","31.397","23.743","8.168","-13.835","-2.947","4.042","-4.092","2.24","10.675","6.456","0.4","9.255","11.721","14.104","28.103","64.492","51.914","46.32","47.102","41.09","40.65","37.83","46.052","27.037","10.01","10.355","9.377","9.535","9.066","10.683","10.324","7.822","7.042","-3.531","3.994","3.998","2.308","5.671","7.088","6.586","9.179","12.52","20.544","17.657","15.528","20.574","17.413","21.541","17.761","17.639","22.969","18.429","20.812","18.389"
"B Annualized Returns","8.3","6.64","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","9.786","10.576","8.698","8.692","8.504","10.103","9.899","7.161","4.335","-1.227","3.992","6.13","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703"
"AR DIFF(P-B)","1.839","2.095","2.214","4.001","3.19","1.207","1.215","-0.176000000000002","2.072","-4.104","-0.241","-4.823","-6.968","-4.297","-9.274","-6.174","-7.31","-6.07","-4.285","-1.598","0.159000000000002","13.373","5.822","7.558","6.444","4.358","11.24","7.963","5.533","0.532999999999998","0.224","-0.221","0.679","0.843","0.562000000000001","0.58","0.425000000000001","0.661","2.707","-2.304","0.00200000000000022","-2.132","-3.267","-1.501","-2.631","-0.649999999999999","-2.106","-2.633","-2.007","-2.118","-1.298","1.546","-1.809","-1.367","-2.977","-3.055","-1.989","-2.525","-2.214","-2.314"
"P Volatility","19.15","19.7","20.01","19.52","17.65","17.81","13.52","11.34","10.97","15.63","22.42","26.02","26.13","25.57","26.04","26.82","26.48","26.97","29.75","29.95","27.88","17.27","14.2","13.69","13.51","13.88","14.44","13.42","15.16","11.05","13.98","14.45","14.61","14.29","14.28","14.4","14.59","14.31","14.1","15.82","19.62","21.6","22.53","21.95","22.11","22.76","21.81","22.15","22.45","21.77","21.8","22.2","22.07","21.56","20.93","21.01","21.03","20.93","21.33","21.2"
"B Volatility","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","0.5","0.0500000000000007","0.540000000000003","-0.0899999999999999","-0.190000000000001","-0.0400000000000027","-0.0500000000000007","-0.609999999999999","-1.02","-0.109999999999999","2.27","2.48","3.21","2.62","2.73","2.74","1.7","2.02","2.67","2.82","3.04","-0.830000000000002","-0.760000000000002","-1.38","-1.74","-1.07","0.369999999999999","1.21","1.75","0.0600000000000005","-0.0599999999999987","-0.280000000000001","-0.110000000000001","-0.540000000000001","-0.530000000000001","-0.359999999999999","-0.300000000000001","-0.219999999999999","-0.0300000000000011","0.370000000000001","1.5","1.33","2.05","1.57","1.49","1.65","1.21","1.37","1.96","1.74","1.71","2.09","1.94","2.21","1.92","2","2.21","2.1","1.88","1.42"
"P Tracking Error","3.33","2.76","2.58","2.44","2.56","2.16","2.31","2.43","2.91","1.62","5.12","3.9","4.6","4.27","4.32","4.88","6.35","7.38","7.41","6.5","6.6","4.65","6.22","5.72","5.8","6.7","5.33","5.24","4.47","3.81","3.04","2.77","2.71","2.76","2.86","2.69","2.61","2.46","3.06","2.09","4.07","3.33","3.76","3.62","3.62","4.09","4.93","5.37","5.36","4.68","4.75","5.07","5.82","5.74","5.76","6.18","6.23","5.76","5.26","4.97"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.55","0.76","0.86","1.64","1.25","0.56","0.53","-0.07","0.71","-2.53","-0.05","-1.24","-1.51","-1.01","-2.15","-1.27","-1.15","-0.82","-0.58","-0.25","0.02","2.88","0.94","1.32","1.11","0.65","2.11","1.52","1.24","0.14","0.07","-0.08","0.25","0.31","0.2","0.22","0.16","0.27","0.88","-1.1","0","-0.64","-0.87","-0.41","-0.73","-0.16","-0.43","-0.49","-0.37","-0.45","-0.27","0.3","-0.31","-0.24","-0.52","-0.49","-0.32","-0.44","-0.42","-0.47"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
