"","1 Y 2018-05-10 to 2019-05-11","1 Y 2018-06-11 to 2019-06-11","1 Y 2018-07-10 to 2019-07-11","1 Y 2018-08-10 to 2019-08-11","1 Y 2018-09-10 to 2019-09-11","1 Y 2018-10-10 to 2019-10-11","1 Y 2018-11-12 to 2019-11-11","1 Y 2018-12-10 to 2019-12-11","1 Y 2019-01-10 to 2020-01-11","1 Y 2019-02-11 to 2020-02-11","1 Y 2019-03-11 to 2020-03-11","1 Y 2019-04-10 to 2020-04-11","1 Y 2019-05-10 to 2020-05-11","1 Y 2019-06-10 to 2020-06-11","1 Y 2019-07-10 to 2020-07-11","1 Y 2019-08-12 to 2020-08-11","1 Y 2019-09-10 to 2020-09-11","1 Y 2019-10-10 to 2020-10-11","1 Y 2019-11-11 to 2020-11-11","1 Y 2019-12-10 to 2020-12-11","1 Y 2020-01-10 to 2021-01-11","1 Y 2020-02-10 to 2021-02-11","1 Y 2020-03-10 to 2021-03-11","1 Y 2020-04-10 to 2021-04-11","1 Y 2020-05-11 to 2021-05-11","1 Y 2020-06-10 to 2021-06-11","1 Y 2020-07-10 to 2021-07-11","1 Y 2020-08-10 to 2021-08-11","1 Y 2020-09-10 to 2021-09-11"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","6.224","5.406","9.48","6.096","6.728","13.739","14.657","20.708","23.392","21.385","-5.257","-8.206","-3.41","-1.869","-1.315","6.134","1.423","12.013","9.561","11.024","13.495","10.751","46.443","52.167","56.087","48.863","46.799","37.897","40.275"
"B Annualized Returns","5.814","3.728","8.143","3.022","3.914","8.866","13.273","19.146","25.753","23.911","-1.796","-3.41","4.22","4.245","6.171","15.629","11.012","18.345","15.551","15.619","15.601","14.015","40.552","48.155","41.701","41.482","37.309","33.417","35.898"
"AR DIFF(P-B)","0.41","1.678","1.337","3.074","2.814","4.873","1.384","1.562","-2.361","-2.526","-3.461","-4.796","-7.63","-6.114","-7.486","-9.495","-9.589","-6.332","-5.99","-4.595","-2.106","-3.264","5.891","4.012","14.386","7.381","9.49","4.48","4.377"
"P Volatility","17.75","18.89","19.72","19.33","19.57","18.15","18.15","13.94","11.62","11.26","15.24","23.18","26.05","26.28","26.4","26.85","27.18","28.26","27.88","30.81","30.34","27.63","16.6","14.34","14.38","13.68","14.88","14.31","13.21"
"B Volatility","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","0.82","0.240000000000002","0.0700000000000003","-0.140000000000001","-0.0399999999999991","0.309999999999999","0.299999999999997","0.369999999999999","-0.33","-0.73","-0.5","3.03","2.51","3.36","3.45","3.54","3.1","3.48","2.93","3.73","3.21","3.1","-1.18","-0.23","-0.309999999999999","-1.19","0.31","0.65","1.48"
"P Tracking Error","3.65","3.56","3.43","3.22","2.94","2.9","2.7","2.98","2.8","2.51","2.33","5.35","4.52","5.08","5.12","5.37","5.27","5.98","7.09","7.21","7.01","8.16","8.58","9.08","9.95","9.31","10.61","9.46","9.26"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.11","0.47","0.39","0.95","0.96","1.68","0.51","0.52","-0.84","-1.01","-1.49","-0.9","-1.69","-1.2","-1.46","-1.77","-1.82","-1.06","-0.84","-0.64","-0.3","-0.4","0.69","0.44","1.45","0.79","0.89","0.47","0.47"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.01","0.13","0.13","0.25","0.33","0.4","0.11","0.12","-0.02","-0.07","-0.14","-0.39","-0.63","-0.48","-0.67","-0.95","-1.25","-0.69","-0.52","-0.4","-0.45","-0.87","1","1.24","1.23","1.48","1.11","1.02","0.81"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.03","0.99","0.99","0.98","0.99","1","1.01","1","0.95","0.92","0.96","1.13","1.09","1.13","1.14","1.14","1.11","1.12","1.08","1.11","1.09","1.08","0.82","0.79","0.75","0.73","0.76","0.81","0.82"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","95.38","96.07","96.65","96.97","97.51","97.16","97.55","94.92","93.9","95.29","97.62","95.43","97.46","97.34","97.4","97.12","96.93","96.27","93.44","94.99","94.83","90.85","74.49","60.49","54.08","58.32","49.85","55.17","48.18"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-18.2882","-18.0077","-17.9895","-17.6094","-17.8631","-14.8886","-14.7955","-10.4596","-6.2095","-6.1705","-20.3672","-38.774","-38.2632","-38.5405","-38.7765","-38.5972","-38.6406","-39.0997","-39.2848","-38.9092","-38.9057","-39.0409","-22.7387","-10.9564","-11.3953","-6.886","-6.7532","-6.9968","-6.3577"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-11.3151","-6.8361","-6.8361","-19.0414","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-18.3842","-9.6045","-9.6044","-9.6045","-9.6045","-9.6044","-7.4772"
"MD DIFF(P-B)","1.49","1.7705","1.7887","2.1688","1.9151","1.558","0.946899999999999","0.855499999999999","0.6266","0.6656","-1.3258","-4.849","-4.3382","-4.6155","-4.8515","-4.6722","-4.7156","-5.1747","-5.3598","-4.9842","-4.98070000000001","-5.1159","-4.3545","-1.3519","-1.7909","2.7185","2.8513","2.6076","1.1195"
