"","2015-12-28_to_2017-12-29_VGPortfolio_2QRank","2016-01-28_to_2018-01-29_VGPortfolio_2QRank","2016-02-29_to_2018-03-01_VGPortfolio_2QRank","2016-03-28_to_2018-03-29_VGPortfolio_2QRank","2016-04-28_to_2018-04-29_VGPortfolio_2QRank","2016-05-31_to_2018-05-29_VGPortfolio_2QRank","2016-06-28_to_2018-06-29_VGPortfolio_2QRank","2016-07-28_to_2018-07-29_VGPortfolio_2QRank","2016-08-29_to_2018-08-29_VGPortfolio_2QRank","2016-09-28_to_2018-09-29_VGPortfolio_2QRank","2016-10-28_to_2018-10-29_VGPortfolio_2QRank","2016-11-28_to_2018-11-29_VGPortfolio_2QRank","2016-12-28_to_2018-12-29_VGPortfolio_2QRank","2017-01-30_to_2019-01-29_VGPortfolio_2QRank","2017-02-28_to_2019-03-01_VGPortfolio_2QRank","2017-03-28_to_2019-03-29_VGPortfolio_2QRank","2017-04-28_to_2019-04-29_VGPortfolio_2QRank","2017-05-30_to_2019-05-29_VGPortfolio_2QRank","2017-06-28_to_2019-06-29_VGPortfolio_2QRank","2017-07-28_to_2019-07-29_VGPortfolio_2QRank","2017-08-28_to_2019-08-29_VGPortfolio_2QRank","2017-09-28_to_2019-09-29_VGPortfolio_2QRank","2017-10-30_to_2019-10-29_VGPortfolio_2QRank","2017-11-28_to_2019-11-29_VGPortfolio_2QRank","2017-12-28_to_2019-12-29_VGPortfolio_2QRank","2018-01-29_to_2020-01-29_VGPortfolio_2QRank","2018-02-28_to_2020-02-29_VGPortfolio_2QRank","2018-03-28_to_2020-03-29_VGPortfolio_2QRank","2018-04-30_to_2020-04-29_VGPortfolio_2QRank","2018-05-29_to_2020-05-29_VGPortfolio_2QRank","2018-06-28_to_2020-06-29_VGPortfolio_2QRank","2018-07-30_to_2020-07-29_VGPortfolio_2QRank","2018-08-28_to_2020-08-29_VGPortfolio_2QRank","2018-09-28_to_2020-09-29_VGPortfolio_2QRank","2018-10-29_to_2020-10-29_VGPortfolio_2QRank","2018-11-28_to_2020-11-29_VGPortfolio_2QRank","2018-12-28_to_2020-12-29_VGPortfolio_2QRank","2019-01-28_to_2021-01-29_VGPortfolio_2QRank","2019-02-28_to_2021-03-01_VGPortfolio_2QRank","2019-03-28_to_2021-03-29_VGPortfolio_2QRank","2019-04-29_to_2021-04-29_VGPortfolio_2QRank","2019-05-28_to_2021-05-29_VGPortfolio_2QRank","2019-06-28_to_2021-06-29_VGPortfolio_2QRank","2019-07-29_to_2021-07-29_VGPortfolio_2QRank","2019-08-28_to_2021-08-29_VGPortfolio_2QRank","2019-09-30_to_2021-09-29_VGPortfolio_2QRank","2019-10-28_to_2021-10-29_VGPortfolio_2QRank","2019-11-29_to_2021-11-29_VGPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","19.384","31.212","24.979","23.384","19.535","19.839","22.149","20.354","19.899","22.34","14.807","14.988","5.406","8.312","9.787","10.739","11.215","13.422","16.191","16.872","16.441","11.969","14.221","10.436","10.975","11.599","7.811","-1.97","5.054","4.818","5.47","8.576","10.362","3.433","11.643","15.917","26.603","22.478","20.103","19.809","27.832","27.813","28.925","31.427","36.806","32.1","34.181","33.898"
"B Annualized Returns","13.98","22.696","17.693","13.84","13.43","13.297","15.523","13.992","15.606","15.845","11.434","11.495","5.11","7.595","8.899","9.61","11.087","7.406","9.786","10.53","9.372","8.639","8.657","9.332","9.813","7.105","4.335","-1.227","5.36","6.376","6.004","7.826","10.017","6.968","11.931","15.153","22.381","18.472","18.321","18.707","19.595","22.448","20.724","20.916","24.958","21.017","23.024","21.709"
"AR DIFF(P-B)","5.404","8.516","7.286","9.544","6.105","6.542","6.626","6.362","4.293","6.495","3.373","3.493","0.295999999999999","0.717","0.888000000000002","1.129","0.128","6.016","6.405","6.342","7.069","3.33","5.564","1.104","1.162","4.494","3.476","-0.743","-0.306","-1.558","-0.534","0.750000000000001","0.345000000000001","-3.535","-0.287999999999998","0.763999999999999","4.222","4.006","1.782","1.102","8.237","5.365","8.201","10.511","11.848","11.083","11.157","12.189"
"P Volatility","10.09","8.7","9.21","8.12","7.95","8.16","8.8","8.01","7.53","8.14","7.6","10.53","9.72","13.07","14.4","14.56","15.18","16.17","16.09","17.74","18.18","17.2","17.38","16.45","16.22","14.86","14.19","16.57","21.52","24.25","25.49","25.73","26.73","26.55","25.23","24.3","25.79","24.99","22.94","23.57","25.65","23.62","24.18","25.29","26.17","24.82","26.1","27.02"
"B Volatility","7.83","6.27","7.73","6.88","7.42","7.43","7.44","7.22","7.4","7.45","7.08","9.13","9.12","11.66","12.46","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","19.67","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","2.26","2.43","1.48","1.24","0.53","0.73","1.36","0.79","0.13","0.69","0.52","1.4","0.600000000000001","1.41","1.94","1.83","2.43","3.22","2.05","3.01","3.46","2.37","2.57","1.69","1.33","0.33","0.0599999999999987","1.12","3.4","3.98","5.01","5.35","6.11","5.44","4.63","3.52","5.3","4.96","3.27","3.46","5.52","4.27","5.17","6.28","7.35","5.99","6.65","7.24"
"P Tracking Error","3.76","3.94","3.46","3.11","2.91","3.55","3.77","3.8","3.3","3.92","3.69","3.66","3.65","3.68","3.38","3.47","3.81","5.51","5.03","5.52","6.33","4.95","5.44","4.15","4.59","4.79","4.05","4.18","5.97","5.91","6.41","6.87","7.5","6.55","6.2","5.63","8.24","7.7","6.44","6.62","7.17","6.25","7.86","8.87","9.93","8.79","9.37","9.92"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
