"","1 Y 2015-06-15 to 2018-06-16","1 Y 2015-07-15 to 2018-07-16","1 Y 2015-08-17 to 2018-08-16","1 Y 2015-09-15 to 2018-09-16","1 Y 2015-10-15 to 2018-10-16","1 Y 2015-11-16 to 2018-11-16","1 Y 2015-12-15 to 2018-12-16","1 Y 2016-01-15 to 2019-01-16","1 Y 2016-02-15 to 2019-02-16","1 Y 2016-03-15 to 2019-03-16","1 Y 2016-04-15 to 2019-04-16","1 Y 2016-05-16 to 2019-05-16","1 Y 2016-06-15 to 2019-06-16","1 Y 2016-07-15 to 2019-07-16","1 Y 2016-08-15 to 2019-08-16","1 Y 2016-09-15 to 2019-09-16","1 Y 2016-10-17 to 2019-10-16","1 Y 2016-11-15 to 2019-11-16","1 Y 2016-12-15 to 2019-12-16","1 Y 2017-01-16 to 2020-01-16","1 Y 2017-02-15 to 2020-02-16","1 Y 2017-03-15 to 2020-03-16","1 Y 2017-04-17 to 2020-04-16","1 Y 2017-05-15 to 2020-05-16","1 Y 2017-06-15 to 2020-06-16","1 Y 2017-07-17 to 2020-07-16","1 Y 2017-08-15 to 2020-08-16","1 Y 2017-09-15 to 2020-09-16","1 Y 2017-10-16 to 2020-10-16","1 Y 2017-11-15 to 2020-11-16","1 Y 2017-12-15 to 2020-12-16","1 Y 2018-01-15 to 2021-01-16","1 Y 2018-02-15 to 2021-02-16","1 Y 2018-03-15 to 2021-03-16","1 Y 2018-04-16 to 2021-04-16","1 Y 2018-05-15 to 2021-05-16","1 Y 2018-06-15 to 2021-06-16","1 Y 2018-07-16 to 2021-07-16","1 Y 2018-08-15 to 2021-08-16","1 Y 2018-09-17 to 2021-09-16","1 Y 2018-10-15 to 2021-10-16","2 Y 2015-06-15 to 2018-06-16","2 Y 2015-07-15 to 2018-07-16","2 Y 2015-08-17 to 2018-08-16","2 Y 2015-09-15 to 2018-09-16","2 Y 2015-10-15 to 2018-10-16","2 Y 2015-11-16 to 2018-11-16","2 Y 2015-12-15 to 2018-12-16","2 Y 2016-01-15 to 2019-01-16","2 Y 2016-02-15 to 2019-02-16","2 Y 2016-03-15 to 2019-03-16","2 Y 2016-04-15 to 2019-04-16","2 Y 2016-05-16 to 2019-05-16","2 Y 2016-06-15 to 2019-06-16","2 Y 2016-07-15 to 2019-07-16","2 Y 2016-08-15 to 2019-08-16","2 Y 2016-09-15 to 2019-09-16","2 Y 2016-10-17 to 2019-10-16","2 Y 2016-11-15 to 2019-11-16","2 Y 2016-12-15 to 2019-12-16","2 Y 2017-01-16 to 2020-01-16","2 Y 2017-02-15 to 2020-02-16","2 Y 2017-03-15 to 2020-03-16","2 Y 2017-04-17 to 2020-04-16","2 Y 2017-05-15 to 2020-05-16","2 Y 2017-06-15 to 2020-06-16","2 Y 2017-07-17 to 2020-07-16","2 Y 2017-08-15 to 2020-08-16","2 Y 2017-09-15 to 2020-09-16","2 Y 2017-10-16 to 2020-10-16","2 Y 2017-11-15 to 2020-11-16","2 Y 2017-12-15 to 2020-12-16","2 Y 2018-01-15 to 2021-01-16","2 Y 2018-02-15 to 2021-02-16","2 Y 2018-03-15 to 2021-03-16","2 Y 2018-04-16 to 2021-04-16","2 Y 2018-05-15 to 2021-05-16","2 Y 2018-06-15 to 2021-06-16","2 Y 2018-07-16 to 2021-07-16","2 Y 2018-08-15 to 2021-08-16","2 Y 2018-09-17 to 2021-09-16","2 Y 2018-10-15 to 2021-10-16","3 Y 2015-06-15 to 2018-06-16","3 Y 2015-07-15 to 2018-07-16","3 Y 2015-08-17 to 2018-08-16","3 Y 2015-09-15 to 2018-09-16","3 Y 2015-10-15 to 2018-10-16","3 Y 2015-11-16 to 2018-11-16","3 Y 2015-12-15 to 2018-12-16","3 Y 2016-01-15 to 2019-01-16","3 Y 2016-02-15 to 2019-02-16","3 Y 2016-03-15 to 2019-03-16","3 Y 2016-04-15 to 2019-04-16","3 Y 2016-05-16 to 2019-05-16","3 Y 2016-06-15 to 2019-06-16","3 Y 2016-07-15 to 2019-07-16","3 Y 2016-08-15 to 2019-08-16","3 Y 2016-09-15 to 2019-09-16","3 Y 2016-10-17 to 2019-10-16","3 Y 2016-11-15 to 2019-11-16","3 Y 2016-12-15 to 2019-12-16","3 Y 2017-01-16 to 2020-01-16","3 Y 2017-02-15 to 2020-02-16","3 Y 2017-03-15 to 2020-03-16","3 Y 2017-04-17 to 2020-04-16","3 Y 2017-05-15 to 2020-05-16","3 Y 2017-06-15 to 2020-06-16","3 Y 2017-07-17 to 2020-07-16","3 Y 2017-08-15 to 2020-08-16","3 Y 2017-09-15 to 2020-09-16","3 Y 2017-10-16 to 2020-10-16","3 Y 2017-11-15 to 2020-11-16","3 Y 2017-12-15 to 2020-12-16","3 Y 2018-01-15 to 2021-01-16","3 Y 2018-02-15 to 2021-02-16","3 Y 2018-03-15 to 2021-03-16","3 Y 2018-04-16 to 2021-04-16","3 Y 2018-05-15 to 2021-05-16","3 Y 2018-06-15 to 2021-06-16","3 Y 2018-07-16 to 2021-07-16","3 Y 2018-08-15 to 2021-08-16","3 Y 2018-09-17 to 2021-09-16","3 Y 2018-10-15 to 2021-10-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","23.301","21.588","21.405","23.298","19.777","8.577","3.52","-0.944","9.606","7.163","11.674","13.89","8.12","12.534","8.84","4.23","11.629","21.542","34.783","36.516","31.083","-15.29","1.258","7.543","17.804","15.925","39.971","28.946","34.923","36.853","41.476","39.934","37.779","145.346","100.018","63.419","54.518","50.671","48.338","60.659","58.373","23.852","20.195","19.978","22.873","23.777","19.773","16.265","15.231","16.568","15.427","19.09","17.08","17.127","19.428","16.734","15.671","14.96","14.812","14.708","14.548","17.045","-6.833","5.145","6.564","8.963","10.088","16.18","14.315","19.444","28.339","39.128","37","33.05","46.298","42.156","40.438","41.599","37.152","43.701","46.505","44.495","15.498","13.567","13.939","16.594","17.736","15.344","13.127","17.135","19.259","17.317","18.741","18.963","19.956","19.872","17.829","18.853","20.314","21.323","19.404","20.345","20.057","4.439","13.767","13.09","15.717","15.411","19.458","19.21","19.056","21.031","22.271","21.897","22.17","30.713","30.083","29.518","29.026","27.722","31.663","33.676","35.817"
"B Annualized Returns","14.274","13.838","15.096","16.403","9.864","5.826","-1.963","-5.774","1.626","2.735","8.56","5.652","3.755","7.347","1.689","3.789","6.398","14.294","25.432","26.785","23.106","-15.812","-3.479","-0.439","8.135","7.745","18.445","12.636","16.206","16.219","15.933","13.611","13.991","61.478","49.505","46.323","35.17","34.569","32.559","32.074","32.074","15.839","13.757","14.201","16.9","14.973","12.113","7.417","7.243","8.696","8.78","11.262","9.459","8.821","10.54","8.185","9.489","8.117","10.306","9.198","9.299","11.917","-6.875","1.707","2.561","6.147","6.982","9.396","8.256","11.362","15.108","20.572","20.017","17.848","16.648","20.127","20.997","20.899","20.412","24.492","23.186","23.186","9.862","9.582","10.552","13.666","11.379","10.096","8.36","11.648","13.555","11.871","11.781","11.649","11.711","11.581","9.868","11.908","12.038","12.692","12.223","13.397","12.906","0.11","6.023","6.055","8.688","9.352","11.024","10.588","10.826","12.039","11.232","10.718","12.129","11.86","15.643","15.464","15.062","15.484","16.268","16.276","18.732"
"AR DIFF(P-B)","9.027","7.75","6.309","6.895","9.913","2.751","5.483","4.83","7.98","4.428","3.114","8.238","4.365","5.187","7.151","0.441","5.231","7.248","9.351","9.731","7.977","0.522","4.737","7.982","9.669","8.18","21.526","16.31","18.717","20.634","25.543","26.323","23.788","83.868","50.513","17.096","19.348","16.102","15.779","28.585","26.299","8.013","6.438","5.777","5.973","8.804","7.66","8.848","7.988","7.872","6.647","7.828","7.621","8.306","8.888","8.549","6.182","6.843","4.506","5.51","5.249","5.128","0.0419999999999998","3.438","4.003","2.816","3.106","6.784","6.059","8.082","13.231","18.556","16.983","15.202","29.65","22.029","19.441","20.7","16.74","19.209","23.319","21.309","5.636","3.985","3.387","2.928","6.357","5.248","4.767","5.487","5.704","5.446","6.96","7.314","8.245","8.291","7.961","6.945","8.276","8.631","7.181","6.948","7.151","4.329","7.744","7.035","7.029","6.059","8.434","8.622","8.23","8.992","11.039","11.179","10.041","18.853","14.44","14.054","13.964","12.238","15.395","17.4","17.085"
"P Volatility","9.25","9.37","9.75","10.19","11.57","17.46","16.92","18.11","19.07","20.3","22.37","22.21","22.77","23.59","22.5","23.3","18.94","19.97","15.06","12.8","15.09","17.6","22.11","27.17","27.66","30.98","31.37","30.13","30.79","30.94","34.33","35.03","31.14","25.41","21.33","21.89","20.62","19.11","19.27","19.75","18.6","8.22","8.13","8.39","8.54","8.75","12.75","12.39","14.48","14.23","15.13","16.67","16.62","16.81","17.27","17.03","17.51","17.75","17.73","17.44","17.84","19.44","19.65","22.63","25.33","26.09","28.63","29.08","28.48","26.98","27","27.01","26.75","25.36","28.11","27.26","25.03","24.25","23.24","23.48","24.61","23.69","10.57","10.32","9.71","9.71","10.23","12.5","12.38","12.87","12.55","12.96","14.18","14.09","14.29","14.5","14.27","14.73","14.79","14.81","14.49","15.09","16.47","16.86","19.25","21.34","21.79","23.81","24.19","23.74","24.1","24.08","25.57","25.79","24.56","26.72","25.85","24.39","23.8","23.25","23.33","24.28","22.51"
"B Volatility","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","11.73","7.44","7.22","7.4","7.45","7.08","9.13","9.12","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7","18.7","10.39","10.37","9.79","9.47","8.29","9.47","9.36","10.52","11.28","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.66","18.53","18.56","18.69","18.69","18.65","18.63","18.65","18.23"
"V DIFF(P-B)","0.210000000000001","0.369999999999999","0.4","0.67","2.07","4.99","4.37","3.64","2.39","3.69","5.72","5.28","4.12","3.94","3.03","3.69","1.1","2.12","1.49","0.850000000000001","3.1","1.86","1.96","3.63","4.74","8.03","8.06","6.05","6.01","5.99","7.25","7.9","6.61","7.63","6.76","7.2","5.75","4.54","5.61","8.02","6.87","0.78","0.910000000000001","0.99","1.09","1.67","3.62","3.27","2.82","1.6","2.4","3.92","3.67","2.77","2.54","2.31","2.68","2.94","2.97","2.55","3.31","5.31","4.2","4.51","5.06","5.61","8.25","8.46","7.37","6.38","6.22","6.52","6.72","5.35","8.06","7.26","5.82","5.38","4.37","4.8","5.91","4.99","0.18","-0.0499999999999989","-0.0799999999999983","0.24","1.94","3.03","3.02","2.35","1.27","2.12","3.33","3.11","2.45","2.23","2.02","2.39","2.56","2.65","2.26","2.82","4.28","3.5","3.81","4.29","4.59","6.62","6.78","5.98","6.11","6.01","6.57","6.92","5.9","8.19","7.29","5.7","5.11","4.6","4.7","5.63","4.28"
"P Tracking Error","4.13","3.61","5.01","5.08","6.43","8.41","7.48","7.66","7.05","7.24","8.74","8.19","8.28","7.74","6.64","7.23","4.5","4.24","4.18","3.02","4.2","3.49","3.77","5.44","6.45","9.49","9.15","7.42","8.1","8.37","8.7","9.33","9.77","11.32","13.8","12.76","11.73","12.45","13.49","15.08","13.15","3.95","3.78","4.54","4.93","5.98","6.74","6.27","6.09","5.51","5.93","6.9","6.35","6.49","6.34","6.04","6.39","6.58","5.68","5.14","5.52","6.61","5.82","6.58","7.07","7.37","9.55","9.85","9.2","8.36","8.45","8.22","8.52","7.71","11.39","12.23","10.9","10.85","10.47","11.57","12.85","11.08","4.47","4.38","4.36","4.53","5.29","5.9","5.79","5.48","5.38","5.58","6.16","5.81","5.95","5.72","5.52","5.96","6.1","5.11","4.77","4.93","5.85","5.5","6.07","6.5","6.54","8.26","8.61","8.1","8.33","8.41","8.51","8.8","8.11","11.24","11.39","10.03","9.83","9.36","10.11","11.59","9.85"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
