"","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.167","26.504","38.187","29.824","40.319","-0.426","56.394","67.727","12.043","51.443","42.48","37.454","31.35","34.246","31.881","31.771","42.865","29.387","10.819","18.043","22.117","16.144","26.782","-0.246","40.009","43.273","4.877","7.562","8.88","12.857","8.546","9.104","12.45","7.091","11.523","13.238","15.4","19.741","24.77","17.047","21.259","1.964","21.719","26.977","5.355","7.312","6.838","8.123","6.523","5.683","5.545","4.334","9.811","9.313"
"B Annualized Returns","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703","7.541","9.184","12.767","9.982","8.34","11.467","11.792","9.897","11.569","15.01","16.481","16.051","16.431","16.246","15.886","14.297","20.283","19.652"
"AR DIFF(P-B)","15.291","19.967","18.238","17.194","32.609","-15.751","40.388","52.025","-15.901","0.323999999999998","-3.612","-1.308","-9.308","-2.486","2.471","1.904","2.346","2.883","5.244","10.871","12.398","8.908","15.497","-15.399","17.458","23.498","-11.949","-11.466","-10.342","-10.051","-12.192","-11.59","-12.508","-13.863","-11.503","-7.465","7.859","10.557","12.003","7.065","12.919","-9.503","9.927","17.08","-6.214","-7.698","-9.643","-7.928","-9.908","-10.563","-10.341","-9.963","-10.472","-10.339"
"P Volatility","43.79","42.61","43.8","38.73","39.45","31.21","38.61","39.05","27.19","15.69","14.73","14.54","13.36","15.16","14.39","12.89","16.07","13.06","33.78","33","34.19","30.74","30.86","25.56","27.87","27.78","20.26","21.34","22.85","21.48","19.11","21.73","22.05","21.38","24.95","27.4","28.01","27.39","28.23","25.41","25.86","21.71","24.72","24.88","18.41","19.36","20.73","20.17","18.05","20.47","21.02","20.5","23.86","26.23"
"B Volatility","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","20.87","19.66","20.49","14.65","14.67","6.26","11.53","11.92","2.35","-2.41","-0.23","-0.530000000000001","-1.89","0.210000000000001","0.32","0.68","2.66","2.07","13.3","12.62","13.57","9.63","10.26","4.78","7.38","7.75","0.170000000000002","1.23","2.72","2.13","0.0999999999999979","2.72","3.23","2.55","5.5","7.62","10.81","10.2","10.82","7.65","7.87","3.64","5.72","6.01","-0.280000000000001","0.789999999999999","2.08","1.39","-0.73","1.73","2.3","1.76","5.42","7.52"
"P Tracking Error","29.03","28.88","29.56","21.67","22.36","9.9","18.24","20.09","7.63","6.42","7.53","7.38","8.79","8.42","7.96","8.83","9.74","10.82","20.79","20.62","21.3","16.13","17.44","7.82","14.3","16.29","6.92","7.29","7.54","6.99","7.13","8.01","8.49","8.44","10.14","12.5","17.48","17.49","17.97","13.97","14.73","7.82","12.46","13.83","7.1","7.1","7.26","7.14","7.14","7.36","7.54","7.75","9.16","11.41"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
