"","2016-06-27_to_2019-06-28_VGPortfolio_4QRank","2016-07-27_to_2019-07-28_VGPortfolio_4QRank","2016-08-29_to_2019-08-28_VGPortfolio_4QRank","2016-09-27_to_2019-09-28_VGPortfolio_4QRank","2016-10-27_to_2019-10-28_VGPortfolio_4QRank","2016-11-28_to_2019-11-28_VGPortfolio_4QRank","2016-12-27_to_2019-12-28_VGPortfolio_4QRank","2017-01-27_to_2020-01-28_VGPortfolio_4QRank","2017-02-27_to_2020-02-28_VGPortfolio_4QRank","2017-03-27_to_2020-03-28_VGPortfolio_4QRank","2017-04-27_to_2020-04-28_VGPortfolio_4QRank","2017-05-30_to_2020-05-28_VGPortfolio_4QRank","2017-06-27_to_2020-06-28_VGPortfolio_4QRank","2017-07-27_to_2020-07-28_VGPortfolio_4QRank","2017-08-28_to_2020-08-28_VGPortfolio_4QRank","2017-09-27_to_2020-09-28_VGPortfolio_4QRank","2017-10-27_to_2020-10-28_VGPortfolio_4QRank","2017-11-27_to_2020-11-28_VGPortfolio_4QRank","2017-12-27_to_2020-12-28_VGPortfolio_4QRank","2018-01-29_to_2021-01-28_VGPortfolio_4QRank","2018-02-27_to_2021-02-28_VGPortfolio_4QRank","2018-03-27_to_2021-03-28_VGPortfolio_4QRank","2018-04-27_to_2021-04-28_VGPortfolio_4QRank","2018-05-29_to_2021-05-28_VGPortfolio_4QRank","2018-06-27_to_2021-06-28_VGPortfolio_4QRank","2018-07-27_to_2021-07-28_VGPortfolio_4QRank","2018-08-27_to_2021-08-28_VGPortfolio_4QRank","2018-09-27_to_2021-09-28_VGPortfolio_4QRank","2018-10-29_to_2021-10-28_VGPortfolio_4QRank","2018-11-27_to_2021-11-28_VGPortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.94","1.11","1.05","0.78","1.09","0.78","0.77","0.37","0.84","0.49","0.48","0.87","0.56","0.79","0.75","-0.26","0.02","1","1.47","0.33","1.31","0.82","0.62","0.58","0.29","0.58","0.93","0.88","1.16","0.97"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.15","0.24","0.19","0.2","0.21","0.15","0.13","0.01","0.06","0.43","0.17","0.52","0.5","0.45","0.39","-0.31","-0.13","0.29","0.6","0.06","0.64","0.33","0.21","0.16","-0.05","0.17","0.34","0.28","0.26","0.24"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.17","1.18","1.17","1.19","1.17","1.12","1.15","1.07","1.12","1.01","1.16","1.22","1.21","1.25","1.29","1.22","1.21","1.18","1.21","1.1","1.21","1.17","1.17","1.11","1.13","1.18","1.15","1.18","1.18","1.21"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.52","92.48","94.43","93.16","90.34","88.68","89.89","92.1","93.01","84.29","87.72","81.08","81.94","83.31","82.43","96.79","96.38","92.3","91.3","94.82","90.55","93.83","92.44","92.48","93.05","92.12","92.29","92.36","92.06","92.36"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-24.3988","-24.6272","-23.4813","-23.6727","-23.2695","-22.8242","-22.9276","-21.9301","-22.5093","-39.4406","-39.2533","-40.4496","-40.3041","-40.4866","-42.2695","-39.4961","-39.3346","-39.2253","-38.912","-38.14","-39.2691","-37.8272","-38.4915","-38.2285","-39.0323","-39.3912","-38.5214","-38.9731","-39.1814","-38.7636"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.6206","-4.849","-3.7031","-3.8945","-3.4913","-3.046","-3.1494","-2.1519","-2.7311","-5.51560000000001","-5.32830000000001","-6.5246","-6.3791","-6.56160000000001","-8.3445","-5.5711","-5.4096","-5.3003","-4.987","-4.215","-5.3441","-3.9022","-4.5665","-4.3035","-5.1073","-5.4662","-4.5964","-5.04810000000001","-5.2564","-4.8386"
