"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",1.185,9.784,16.418,-14.708,-5.294,-4.358,2.203,4.031,0.641,9.705,6.019,11.795,12.141,16.121,18.247,18.992,23.168,20.839,22.078,41.957,44.296,44.955,34.059,24.644,29.361,20.277,18.244,56.699,50.163,42.237,35.314,43.229,42.726,32.094,35.736,26.733,18.963,16.013,11.738,11.042,10.865,15.37,16.671,13.396,17.592,14.128,10.387,13.454,15.076,19.086,32.037,19.569,18.872,26.222,33.162,26.508
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-8.216,-0.122,8.962,-8.835,-0.159999999999999,-3.028,0.932,3.555,-0.445,2.553,-2.674,0.656000000000001,-3.78,-1.449,0.126999999999999,6.22,10.082,6.968,5.211,20.561,18.246,20.366,12.276,6.733,8.599,0.225000000000001,-1.199,15.829,17.086,14.322,13.941,18.855,18.556,10.801,12.811,9.293,7.339,6.703,3.515,0.850999999999999,-2.258,5.813,5.114,3.299,11.286,9.317,6.797,2.664,5.516,7.141,13.631,8.506,3.738,9.503,10.42,10.471
"P Volatility",14.18,15.01,14.76,14.91,25.67,25.6,24.73,27.16,30.29,30.88,30.9,33.38,35.75,34.11,30.05,39.73,35.58,38.73,41.25,37.65,31.97,34.67,33.14,27.12,29.7,29.92,21.25,19.98,23.19,21.96,21.04,22.19,23.91,15.67,14.26,17.04,15.66,16.92,15.21,17.16,16.85,15.66,15.22,14.93,16.33,14.97,17.17,18.98,17.16,16.63,15.61,13.95,15.33,12.81,11.68,13.29
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",0.949999999999999,2.42,2.19,2.38,1.49,1.4,0.330000000000002,2.14,5.68,6.6,6.68,7.98,9.9,8.21,3.82,13.3,9.16,12.26,15.28,11.75,5.56,8.29,6.76,0.300000000000001,2.95,3.38,3.71,3.19,6.37,5.18,4.21,4.87,6.77,-1.68,-2.15,1.24,-0.31,1.81,0.31,2.08,1.64,0.35,-0.0899999999999999,0.640000000000001,1.94,0.59,3.17,4.65,1.88,2.21,1.96,0.459999999999999,2.25,0.380000000000001,-0.76,0.799999999999999
"P Tracking Error",9.5,9.15,5.53,9.56,6.98,9.3,6.92,7.94,9.99,9.88,11.1,12.03,13.84,14.07,11.63,17.43,13.55,16.68,18.54,15.99,13.85,15.86,15.6,10.85,10.92,11.09,11.19,11.12,12.44,11.18,10.63,10.9,12.68,7.5,7.84,10.01,8.22,9.6,7.55,7.93,6.9,8.51,6.47,6.63,9.34,7.45,8.03,9.79,9.13,7.5,7.12,5.91,6.93,7.71,7.98,7.72
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
