"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",15.12,14.99,3.933,-3.024,-8.001,-0.698,-1.773,-6.115,-1.657,3.314,8.467,14.454,19.648,21.373,20.767,16.328,17.841,20.039,24.853,21.983,25.909,27.295,27.563,31.914,29.845,32.322,35.977,61.039,50.55,36.837,33.838,36.139,31.249,37.755,36.659,22.728,18.708,12.409,12.804,15.213,18.274,13.002,15.883,15.617,10.756,9.817,8.07,18.702,16.77,16.974,20.077,18.517,24.082,26.197,26.864,19.98
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",5.719,5.084,-3.523,2.849,-2.867,0.632,-3.044,-6.591,-2.743,-3.838,-0.225999999999999,3.315,3.727,3.803,2.647,3.556,4.755,6.168,7.986,0.587,-0.141000000000002,2.706,5.78,14.003,9.083,12.27,16.534,20.169,17.473,8.922,12.465,11.765,7.079,16.462,13.734,5.288,7.084,3.099,4.581,5.022,5.151,3.445,4.326,5.52,4.45,5.006,4.48,7.912,7.21,5.029,1.671,7.454,8.948,9.478,4.122,3.943
"P Volatility",15.65,14.42,14.55,15.17,29.36,29.54,31.05,29.11,25.54,25.44,25.7,26.48,25.82,28.79,30.36,23.49,25.9,24.54,21.98,24.74,29.94,28.54,29.12,32.46,29.92,29.85,18.49,18.13,16.1,17.94,19.84,21.15,17.5,24.15,20.43,15.88,16.79,16.25,16.27,14.64,14.23,16.04,15.53,15.12,14.06,14.2,12.75,13.56,15.74,14.56,14.87,15.88,13.66,14.73,13.2,11.98
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",2.42,1.83,1.98,2.64,5.18,5.34,6.65,4.09,0.93,1.16,1.48,1.08,-0.0300000000000011,2.89,4.13,-2.94,-0.520000000000003,-1.93,-3.99,-1.16,3.53,2.16,2.74,5.64,3.17,3.31,0.949999999999999,1.34,-0.719999999999999,1.16,3.01,3.83,0.359999999999999,6.8,4.02,0.0800000000000001,0.819999999999999,1.14,1.37,-0.44,-0.98,0.729999999999999,0.219999999999999,0.83,-0.33,-0.180000000000001,-1.25,-0.77,0.460000000000001,0.140000000000001,1.22,2.39,0.58,2.3,0.76,-0.51
"P Tracking Error",5.71,4.36,6.04,5.54,7.31,7.48,9.08,7.03,6.1,6.87,8.24,6.42,6.69,7.04,6.2,11.22,10.09,10.85,12.19,10.76,8.87,10.6,10.18,11.24,11.23,11.67,9.92,10.77,10.64,10.96,11.51,11.79,8.68,12.1,10.36,8.14,8.14,9.51,6.94,5.81,5.97,6.68,5.83,7.42,5.7,5.04,5.22,5.67,4.81,5.96,6.48,7.45,6.9,6.91,5.95,6.04
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
