"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.95,14.456,15.349,-8.674,-6.068,-1.876,5.327,-5.55,-4.014,3.219,5.918,12.42,14.689,18.322,15.401,16.767,16.685,18.398,20.75,20.779,23.576,29.486,24.626,26.634,30.117,26.357,22.378,52.831,47.152,34.338,29.195,41.064,39.765,39.314,37.212,25.435,17.511,12.143,10.369,13.715,15.218,15.311,17.495,15.556,9.893,12.344,8.628,16.39,18.147,17.714,22.847,19.526,24.349,25.526,27.114,23.396
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",0.548999999999999,4.55,7.893,-2.801,-0.933999999999999,-0.546,4.056,-6.026,-5.1,-3.933,-2.775,1.281,-1.232,0.751999999999999,-2.719,3.995,3.599,4.527,3.883,-0.617000000000001,-2.474,4.897,2.843,8.723,9.355,6.305,2.935,11.961,14.075,6.423,7.822,16.69,15.595,18.021,14.287,7.995,5.887,2.833,2.146,3.524,2.095,5.754,5.938,5.459,3.587,7.533,5.038,5.6,8.587,5.769,4.441,8.463,9.215,8.807,4.372,7.359
"P Volatility",12.78,12.34,12.31,11.54,24.43,26.77,26.7,29.94,29.16,28.9,29.33,32.45,33.14,37.13,31.91,29.18,28.88,28,27.49,28.25,31.13,25.52,27.38,24.67,24.96,26.92,17.41,16.13,18.53,18.4,16.95,21.95,19.85,22.9,19.11,16.45,17.09,17.19,16.54,16.44,16.12,16.16,16.07,14.88,14.46,14.42,14.39,15.13,16.67,14.93,14.95,14.03,13.59,12.84,11.81,11.7
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",-0.450000000000001,-0.25,-0.26,-0.99,0.25,2.57,2.3,4.92,4.55,4.62,5.11,7.05,7.29,11.23,5.68,2.75,2.46,1.53,1.52,2.35,4.72,-0.859999999999999,1,-2.15,-1.79,0.380000000000003,-0.129999999999999,-0.66,1.71,1.62,0.120000000000001,4.63,2.71,5.55,2.7,0.649999999999999,1.12,2.08,1.64,1.36,0.91,0.85,0.76,0.590000000000002,0.0700000000000003,0.0399999999999991,0.390000000000001,0.800000000000001,1.39,0.51,1.3,0.539999999999999,0.51,0.41,-0.629999999999999,-0.790000000000001
"P Tracking Error",4.52,4.5,4.86,5.31,6.92,7.34,8.2,8.27,7.84,8.62,7.98,9.05,9.04,12.84,8.57,9.93,10.22,9.38,9.73,8.45,9.94,9.56,8.8,10.52,10.23,8.96,9.64,7.55,8.82,9.26,7.59,11.55,10.27,11.84,10.71,9.8,9.04,10.61,8.19,7.11,6.71,6.38,6.03,7.28,6.88,6.43,5.67,5.91,6.13,6.24,5.8,5.87,5.97,5.84,6.34,6.64
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.12,1.01,1.62,-0.53,-0.13,-0.07,0.49,-0.73,-0.65,-0.46,-0.35,0.14,-0.14,0.06,-0.32,0.4,0.35,0.48,0.4,-0.07,-0.25,0.51,0.32,0.83,0.91,0.7,0.3,1.58,1.6,0.69,1.03,1.45,1.52,1.52,1.33,0.82,0.65,0.27,0.26,0.5,0.31,0.9,0.98,0.75,0.52,1.17,0.89,0.95,1.4,0.92,0.77,1.44,1.54,1.51,0.69,1.11
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
