"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.866,0.789,5.982,-11.7,-3.505,-1.892,0.744,2.61,-0.126,9.494,9.622,18.309,17.518,19.297,21.033,13.41,17.02,24.832,26.412,44.285,42.75,44.571,34.896,35.438,23.866,27.458,28.534,56.353,39.22,33.788,26.636,38.056,37.042,36.704,36.244,28.951,21.108,17.145,14.063,13.321,15.192,14.285,15.491,9.228,17.412,9.995,9.841,17.615,15.609,18.833,26.299,18.922,21.817,28.893,33.178,29.908
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-6.535,-9.117,-1.474,-5.827,1.629,-0.562,-0.527,2.134,-1.212,2.342,0.929,7.17,1.597,1.727,2.913,0.638,3.934,10.961,9.545,22.889,16.7,19.982,13.113,17.527,3.104,7.406,9.091,15.483,6.143,5.873,5.263,13.682,12.872,15.411,13.319,11.511,9.484,7.835,5.84,3.13,2.069,4.728,3.934,-0.869,11.106,5.184,6.251,6.825,6.049,6.888,7.893,7.859,6.683,12.174,10.436,13.871
"P Volatility",13.32,14.33,15.94,16.99,23.93,23.61,21.61,23.42,23.91,31.14,27.38,27.56,29.74,31.16,36.87,42.06,36.36,40.81,42.85,35.87,35.98,37.54,34.15,32.68,32.94,33.13,23.2,20.4,19.95,21.9,21.15,19.99,20.57,21.74,18.46,17.67,15.03,15.41,15.06,15.42,16.17,15.62,16.25,16.29,15.91,15.26,14.06,17.38,17.59,18.31,16.04,14.95,13.86,13.97,12.24,12.16
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",0.0899999999999999,1.74,3.37,4.46,-0.25,-0.59,-2.79,-1.6,-0.699999999999999,6.86,3.16,2.16,3.89,5.26,10.64,15.63,9.94,14.34,16.88,9.97,9.57,11.16,7.77,5.86,6.19,6.59,5.66,3.61,3.13,5.12,4.32,2.67,3.43,4.39,2.05,1.87,-0.940000000000001,0.300000000000001,0.16,0.34,0.960000000000001,0.309999999999999,0.94,2,1.52,0.879999999999999,0.0600000000000005,3.05,2.31,3.89,2.39,1.46,0.779999999999999,1.54,-0.199999999999999,-0.33
"P Tracking Error",8.4,10.73,7.02,8.5,7.16,7.2,9.56,7.91,8.3,10.43,8.61,10.11,11.41,10.78,13.94,18.84,14.58,18.6,20.63,15.03,15.83,16.53,14.7,11.47,13.43,15.43,13.02,11.69,8.4,10.4,9.1,9.41,8.49,8.81,8.67,8.68,8.16,9.61,7.77,6.39,7.72,6.9,6.48,7.93,7.68,7.32,6.79,9.08,9.34,9.1,8.29,8.3,6.37,8.09,6.59,7.48
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.78,-0.85,-0.21,-0.69,0.23,-0.08,-0.06,0.27,-0.15,0.22,0.11,0.71,0.14,0.16,0.21,0.03,0.27,0.59,0.46,1.52,1.05,1.21,0.89,1.53,0.23,0.48,0.7,1.32,0.73,0.56,0.58,1.45,1.52,1.75,1.54,1.33,1.16,0.82,0.75,0.49,0.27,0.69,0.61,-0.11,1.45,0.71,0.92,0.75,0.65,0.76,0.95,0.95,1.05,1.5,1.58,1.85
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.1,-0.66,-0.29,-0.13,0.32,-0.05,-0.01,0.04,0.05,0.29,0.16,0.31,0.1,-0.03,-0.11,-0.19,0.06,0.45,0.46,1.3,0.92,0.62,0.69,0.95,0.08,0.86,1.15,0.9,0.37,0.1,0.2,0.78,0.77,1.01,0.77,0.99,0.9,0.85,0.43,0.35,0.35,0.45,0.31,0.04,0.82,0.36,0.58,0.63,0.34,0.32,0.62,0.69,0.71,0.87,0.74,1.14
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.81,0.78,1.15,1.19,0.95,0.93,0.82,0.89,0.91,1.23,1.08,1.01,1.06,1.14,1.35,1.51,1.29,1.44,1.55,1.29,1.25,1.32,1.18,1.15,1.13,1.11,1.1,1,1.08,1.16,1.14,1.02,1.1,1.16,0.99,0.97,0.81,0.82,0.87,0.93,0.94,0.92,0.97,1,0.97,0.93,0.89,1.03,0.98,1.11,1.01,0.92,0.94,0.92,0.84,0.8
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",62.24,45.02,81.13,75.79,90.94,90.76,84.04,89.54,88.16,91.61,90.11,85.91,84.9,88.81,91.43,89.8,87.96,86.82,87.2,86.21,83.21,84.86,82.68,88.69,83.79,78.07,67.57,65.58,81.91,77.94,81.97,76.82,82.86,84.44,76.88,74.76,73.26,62.57,73.75,82.44,76.49,80.22,83.38,75.17,75.7,76.33,76.89,71.51,70.48,74.89,71.98,68.18,78.18,65.39,72.24,65.07
