"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.104,10.845,14.023,-12.256,-5.824,-3.615,1.418,2.102,0.186,8.419,6.518,12.33,13.662,17.184,18.757,18.466,22.118,20.68,22.644,38.136,40.828,41.565,32.791,26.14,29.459,22.786,22.023,57.553,50.241,41.179,35.025,41.835,40.472,33.249,35.923,25.936,18.912,15.308,11.952,11.879,12.393,14.896,16.515,13.845,16.263,13.275,9.936,14.517,15.418,18.669,29.668,19.359,19.914,26.217,31.928,25.233
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-5.297,0.939,6.567,-6.383,-0.69,-2.285,0.147,1.626,-0.9,1.267,-2.175,1.191,-2.259,-0.385999999999999,0.637,5.694,9.032,6.809,5.777,16.74,14.778,16.976,11.008,8.229,8.697,2.734,2.58,16.683,17.164,13.264,13.652,17.461,16.302,11.956,12.998,8.496,7.288,5.998,3.729,1.688,-0.729999999999999,5.339,4.958,3.748,9.957,8.464,6.346,3.727,5.858,6.724,11.262,8.296,4.78,9.498,9.186,9.196
"P Volatility",13.66,14.35,14.48,14.14,26.27,26.14,25.71,27.32,29.07,29.5,29.48,31.74,33.42,32.35,29.79,35.75,33.2,35.14,36.37,34.6,31.27,32.79,31.56,27.82,29.28,29.2,19.96,18.81,21.03,20.62,20.04,21.21,22.21,16.9,15.09,16.39,15.68,16.21,14.98,16.39,16.02,15.1,15.09,14.5,15.4,14.66,16.11,17.5,16.54,16.01,15.25,14.11,14.72,12.8,11.53,12.61
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",0.43,1.76,1.91,1.61,2.09,1.94,1.31,2.3,4.46,5.22,5.26,6.34,7.57,6.45,3.56,9.32,6.78,8.67,10.4,8.7,4.86,6.41,5.18,1,2.53,2.66,2.42,2.02,4.21,3.84,3.21,3.89,5.07,-0.450000000000003,-1.32,0.59,-0.290000000000001,1.1,0.0800000000000001,1.31,0.809999999999999,-0.210000000000001,-0.220000000000001,0.210000000000001,1.01,0.279999999999999,2.11,3.17,1.26,1.59,1.6,0.619999999999999,1.64,0.370000000000001,-0.91,0.119999999999999
"P Tracking Error",7.29,7.4,5.05,7.48,6.39,7.7,6.17,7.21,8.41,8.31,9.06,10.06,11.18,11.24,9.87,13.64,11.35,13.18,13.93,13.06,12.36,13.28,12.86,9.89,9.77,9.34,9.71,9.54,10.41,9.89,9.25,9.41,10.83,6.66,7.19,8.87,7.79,8.53,6.42,6.89,5.99,6.84,5.88,5.7,7.78,6.71,6.93,8.08,7.78,6.71,6.48,5.67,6.28,6.78,6.86,6.62
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
