"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.696,7.738,4.373,-16.812,-9.46,-2.253,0.596,-0.692,0.548,9.366,8.54,15.086,20.441,23.172,19.956,17.263,18.78,19.569,26.956,36.974,38.359,39.415,34.78,29.613,30.285,26.331,32.084,68.943,56.91,47.316,39.696,41.384,34.572,38.469,38.675,22.697,19.008,14.082,12.776,12.411,14.95,14.12,18.939,15.614,17.788,16.799,9.954,19.557,19.326,19.191,25.394,18.191,19.392,23.288,28.926,20.58
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",2.295,-2.168,-3.083,-10.939,-4.326,-0.923,-0.675,-1.168,-0.538,2.214,-0.153,3.947,4.52,5.602,1.836,4.491,5.694,5.698,10.089,15.578,12.309,14.826,12.997,11.702,9.523,6.279,12.641,28.073,23.833,19.401,18.323,17.01,10.402,17.176,15.75,5.257,7.384,4.772,4.553,2.22,1.827,4.563,7.382,5.517,11.482,11.988,6.364,8.767,9.766,7.246,6.988,7.128,4.258,6.569,6.184,4.543
"P Volatility",15.08,15.67,16.84,16.09,33.73,32.49,31.51,30.58,27.68,28.81,27.19,30.59,27.87,26.62,28.42,27.74,29.21,29.04,29.05,29.5,30.92,29.67,30.43,32.52,32.91,33.02,22.54,20.63,18.58,21.01,21.71,18.1,18.32,22.43,18.28,15.92,17.24,14.77,15.1,15.52,15.71,14.82,15.59,15.96,15.59,15.83,14.54,15.13,15.85,15.87,15.36,15.31,14.8,14.3,13.03,13.13
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",1.85,3.08,4.27,3.56,9.55,8.29,7.11,5.56,3.07,4.53,2.97,5.19,2.02,0.720000000000002,2.19,1.31,2.79,2.57,3.08,3.6,4.51,3.29,4.05,5.7,6.16,6.48,5,3.84,1.76,4.23,4.88,0.780000000000001,1.18,5.08,1.87,0.119999999999999,1.27,-0.34,0.199999999999999,0.44,0.5,-0.49,0.279999999999999,1.67,1.2,1.45,0.539999999999999,0.800000000000001,0.57,1.45,1.71,1.82,1.72,1.87,0.59,0.640000000000001
"P Tracking Error",9.85,9.08,8.92,7.72,11.88,10.92,9.95,9.37,8.12,8.08,8.59,10.15,8.93,8.39,9.76,9.16,9.99,10.47,11.1,11.19,11.2,11.44,11.23,12.11,12.32,12.81,12.1,12.72,12.09,12.38,13.24,8.8,8.26,10.41,8.41,8.44,8.84,8.27,6.98,7.34,7.68,6.58,7.68,6.27,6.91,6.68,6.72,7.33,7.01,6.92,6.72,6.48,6.86,7.43,6.31,6.28
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
