"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.639,-4.039,-8.831,-15.021,-9.222,-3.816,-7.502,-7.269,-12.885,-1.198,-0.943,6.994,14.964,22.354,16.202,14.228,16.028,17.042,27.792,43.485,40.22,44.465,40.542,37.575,34.089,33.523,43.21,92.963,80.844,67.734,56.528,60.233,46.024,51.668,52.79,28.384,27.397,16.705,16.568,21.023,24.383,22.701,26.506,23.179,27.769,24.831,21.041,30.12,30.018,17.556,23.193,22.604,16.264,19.24,16.015,16.638
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-0.762,-13.945,-16.287,-9.148,-4.088,-2.486,-8.773,-7.745,-13.971,-8.35,-9.636,-4.145,-0.956999999999999,4.784,-1.918,1.456,2.942,3.171,10.925,22.089,14.17,19.876,18.759,19.664,13.327,13.471,23.767,52.093,47.767,39.819,35.155,35.859,21.854,30.375,29.865,10.944,15.773,7.395,8.345,10.832,11.26,13.144,14.949,13.082,21.463,20.02,17.451,19.33,20.458,5.611,4.787,11.541,1.13,2.521,-6.727,0.601000000000003
"P Volatility",16.41,14.48,17.68,15.71,30.46,30.57,31.78,29.74,29.61,28.7,26.59,31.45,29.6,28.16,31.94,28.85,31.7,31.82,33.54,37.2,42.83,41.9,38.46,38.72,37.81,39.92,29.53,27.24,27.08,32.28,28.99,28.41,25.97,28.77,24.32,20.75,21.6,16.97,16.71,16.13,15.78,15.8,16.85,17.25,15.08,15.34,13.27,13.97,14.07,13.69,13.9,11.63,11.71,11.46,11.8,11.74
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",3.18,1.89,5.11,3.18,6.28,6.37,7.38,4.72,5,4.42,2.37,6.05,3.75,2.26,5.71,2.42,5.28,5.35,7.57,11.3,16.42,15.52,12.08,11.9,11.06,13.38,11.99,10.45,10.26,15.5,12.16,11.09,8.83,11.42,7.91,4.95,5.63,1.86,1.81,1.05,0.569999999999999,0.49,1.54,2.96,0.69,0.959999999999999,-0.73,-0.359999999999999,-1.21,-0.73,0.25,-1.86,-1.37,-0.969999999999999,-0.639999999999999,-0.75
"P Tracking Error",17.46,14.15,14.99,11.88,15.55,15.71,15.52,14.57,13.79,13.24,15.44,17.09,16.94,16.1,18.08,16.22,17.17,17.61,18.94,20.45,23.52,23.81,21.28,21.49,20.81,20.77,20.13,20.75,20.76,24.13,21.89,19.72,18.24,17.65,17.12,14.64,14.14,13.34,12.61,11.61,11.49,11.48,10.98,11.19,10.65,9.9,10.36,10.1,8.54,9.66,9.18,7.1,8.32,8.03,6.52,7.51
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
