"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",7.979,13.35,10.685,-4.079,-6.577,-4.555,-2.768,-5.206,1.642,6.276,12.155,14.824,11.887,19.084,20.083,15.307,16.178,15.057,23.045,21.674,28.1,30.63,34.071,25.859,26.04,30.677,29.098,50.843,51.531,41.506,31.569,41.909,34.194,35.567,34.218,26.098,19.454,13.77,13.247,16.77,15.497,14.853,18.349,18.994,12.46,11.443,13.698,13.171,15.716,19.228,23.369,22.015,20.829,26.962,30.439,26.803
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-1.422,3.444,3.229,1.794,-1.443,-3.225,-4.039,-5.682,0.556,-0.876,3.462,3.685,-4.034,1.514,1.963,2.535,3.092,1.186,6.178,0.277999999999999,2.05,6.041,12.288,7.948,5.278,10.625,9.655,9.97300000000001,18.454,13.591,10.196,17.535,10.024,14.274,11.293,8.658,7.83,4.46,5.024,6.579,2.374,5.296,6.792,8.897,6.154,6.632,10.108,2.381,6.156,7.283,4.963,10.952,5.695,10.243,7.697,10.766
"P Volatility",13.56,15.18,15.58,16.25,24.2,28.32,30.67,30.35,24.13,24.23,22.18,29.48,28.07,32.69,25.59,30.43,31.83,25.77,27.17,31.97,32.63,30.26,30.32,30.26,26.3,27.36,19.32,16.78,16.62,17.69,21.77,21.11,19.23,22.96,18.02,16.2,15.39,15.2,15.64,15.86,15.51,14.75,14.71,14.29,13.53,13.77,13.26,14.36,15.26,14.23,15.21,15.63,12.93,13.09,12.83,13.28
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",0.33,2.59,3.01,3.72,0.0199999999999996,4.12,6.27,5.33,-0.48,-0.0500000000000007,-2.04,4.08,2.22,6.79,-0.640000000000001,4,5.41,-0.699999999999999,1.2,6.07,6.22,3.88,3.94,3.44,-0.449999999999999,0.82,1.78,-0.00999999999999801,-0.199999999999999,0.91,4.94,3.79,2.09,5.61,1.61,0.399999999999999,-0.58,0.0899999999999999,0.74,0.779999999999999,0.299999999999999,-0.56,-0.6,0,-0.860000000000001,-0.610000000000001,-0.74,0.0299999999999994,-0.0199999999999996,-0.19,1.56,2.14,-0.15,0.66,0.390000000000001,0.789999999999999
"P Tracking Error",7.42,4.54,5.27,6.53,6.89,7.57,8.35,9.61,6.65,6.69,5.79,6.4,5.54,9.81,7.09,10.56,10.67,10.75,9.94,10.6,10.26,10.33,11.45,10.3,10.18,9.15,10.77,8.1,10.83,10.73,12.38,10.11,8.94,11.34,8.76,9.1,8.41,8.61,5.9,5.28,5.6,6.02,5.75,6.13,5.31,4.62,5.66,5.32,5.23,6.1,5.98,7.15,6.65,4.98,5.79,6.55
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
