"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.169,22.927,16.183,-12.377,-9.698,-5.754,-4.905,1.566,0.498,14.719,13.162,21.622,24.271,23.51,24.029,21.811,28.062,22.993,26.101,29.399,38.063,30.242,25.86,25.084,29.99,20.555,21.174,41.095,32.746,26.387,23.975,26.798,24.337,15.479,19.222,13.723,6.095,7.524,7.59,7.163,9.096,4.811,8.325,3.201,1.924,3.632,3.534,7.862,4.583,11.864,17.87,12.587,15.126,22.145,25.197,21.161
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",6.768,13.021,8.727,-6.504,-4.564,-4.424,-6.176,1.09,-0.588,7.567,4.469,10.483,8.35,5.94,5.909,9.039,14.976,9.122,9.234,8.003,12.013,5.653,4.077,7.173,9.228,0.503,1.731,0.225000000000001,-0.330999999999996,-1.528,2.602,2.424,0.166999999999998,-5.814,-3.703,-3.717,-5.529,-1.786,-0.633000000000001,-3.028,-4.027,-4.746,-3.232,-6.896,-4.382,-1.179,-0.056,-2.928,-4.977,-0.0809999999999995,-0.535999999999998,1.524,-0.0080000000000009,5.426,2.455,5.124
"P Volatility",20.59,20.8,20.89,20.98,38.7,38.56,41.39,38.85,40.78,33.97,33.93,37.14,35.9,32.5,36.31,40.29,35.85,34.45,38.36,33.94,28.31,29.03,29.44,29.43,29.27,29.65,21.54,19.16,18.52,18.33,18.33,19.95,19.55,20.4,19.91,18.28,18.19,18.4,17.39,17.96,21.15,20.03,17.68,18.14,20.72,21.71,19.18,19.7,20.21,22.6,21.87,21.06,16.81,16.5,14.91,14.95
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",7.36,8.21,8.32,8.45,14.52,14.36,16.99,13.83,16.17,9.69,9.71,11.74,10.05,6.6,10.08,13.86,9.43,7.98,12.39,8.04,1.9,2.65,3.06,2.61,2.52,3.11,4,2.37,1.7,1.55,1.5,2.63,2.41,3.05,3.5,2.48,2.22,3.29,2.49,2.88,5.94,4.72,2.37,3.85,6.33,7.33,5.18,5.37,4.93,8.18,8.22,7.57,3.73,4.07,2.47,2.46
"P Tracking Error",11.06,11.42,11.74,10.76,15.92,15.84,19.45,16.57,18.55,14.27,14.95,16.46,15.23,13.07,15.77,18.92,17.01,14.92,16.74,14.43,12.66,12.07,11.71,12.28,11.54,12.05,11.49,13.73,11.57,11.69,13.47,13.94,13.6,17.14,13.83,13.81,13.36,12,8.42,7.89,11.61,10.48,7.29,9.42,14,15.82,11.68,12.26,12.15,12.85,12.89,12.33,9.76,9.35,8.77,9.74
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
