"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.205,15.284,5.179,-13.868,-7.595,-2.945,-3.429,-0.223,1.054,8.976,9.291,14.987,18.635,21.842,19.302,17.799,22.577,21.994,23.056,36.759,40.142,42.592,35.565,34.296,34.472,26.514,32.909,63.932,53.648,40.792,35.698,37.867,32.912,32.639,35.364,27.717,21.111,16.053,13.089,13.009,15.014,15.723,18.274,15.676,15.159,12.227,9.78,16.946,16.482,13.913,26.262,20.915,20.649,27.314,35.798,26.575
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-1.196,5.378,-2.277,-7.995,-2.461,-1.615,-4.7,-0.699,-0.032,1.824,0.598000000000001,3.848,2.714,4.272,1.182,5.027,9.491,8.123,6.189,15.363,14.092,18.003,13.782,16.385,13.71,6.462,13.466,23.062,20.571,12.877,14.325,13.493,8.742,11.346,12.439,10.277,9.487,6.743,4.866,2.818,1.891,6.166,6.717,5.579,8.853,7.416,6.19,6.156,6.922,1.968,7.856,9.852,5.515,10.595,13.056,10.538
"P Volatility",15.2,14.39,15.96,15.85,26.27,27.36,26.88,25.93,25.81,26.87,25.21,24.57,27.7,27.76,29.12,33.02,30.76,31.88,34.41,36.9,33.77,34.07,34.58,33.2,31.56,32.01,21.46,19.45,18.82,19.56,20.04,19.5,18.61,19.11,17.22,17.59,16.49,14.93,14.21,16.14,14.4,14.67,15.12,15.32,14.68,14.28,14.51,15.24,15.31,15.48,16.23,15.79,15.03,14.87,12.29,12.71
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",1.97,1.8,3.39,3.32,2.09,3.16,2.48,0.91,1.2,2.59,0.990000000000002,-0.829999999999998,1.85,1.86,2.89,6.59,4.34,5.41,8.44,11,7.36,7.69,8.2,6.38,4.81,5.47,3.92,2.66,2,2.78,3.21,2.18,1.47,1.76,0.809999999999999,1.79,0.519999999999998,-0.18,-0.69,1.06,-0.81,-0.640000000000001,-0.190000000000001,1.03,0.289999999999999,-0.100000000000001,0.51,0.91,0.0300000000000011,1.06,2.58,2.3,1.95,2.44,-0.15,0.220000000000001
"P Tracking Error",5.79,6.21,7.1,6.6,6.46,6.89,6.92,6.94,6.92,6.39,7.58,8.82,8.76,8.32,8.07,11.88,10.66,11.32,12.78,14.71,13.65,13.9,14.22,12.83,12.29,12.82,11.9,11.15,10.87,9.46,9.4,8.07,7.42,7.36,7.21,8.4,8.27,8.47,5.73,6.78,5.69,5.51,6.54,6.49,6.16,6.14,6.16,5.95,5.99,6.16,7.53,7.72,7.42,7.53,5.74,6.17
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
