"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-3.104,6.054,-9.257,-19.543,-15.036,-7.968,-8.74,-10.757,-6.305,-8.503,-7.575,6.439,8.709,17.756,12.817,11.443,12.703,25.021,29.049,41.952,44.623,51.399,43.975,36.574,27.034,31.266,34.07,74.061,62.658,54.252,48.176,53.414,48.295,50.164,52.251,35.726,28.936,20.578,20.027,23.819,26.65,27.458,33.509,34.312,36.729,28.67,25.343,32.959,38.528,36.307,49.751,40.47,41.27,36.789,39.511,36.853
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-12.505,-3.852,-16.713,-13.67,-9.902,-6.638,-10.011,-11.233,-7.391,-15.655,-16.268,-4.7,-7.212,0.186,-5.303,-1.329,-0.383000000000001,11.15,12.182,20.556,18.573,26.81,22.192,18.663,6.272,11.214,14.627,33.191,29.581,26.337,26.803,29.04,24.125,28.871,29.326,18.286,17.312,11.268,11.804,13.628,13.527,17.901,21.952,24.215,30.423,23.859,21.753,22.169,28.968,24.362,31.345,29.407,26.136,20.07,16.769,20.816
"P Volatility",18.88,16.99,18.53,18.93,29.35,29.38,29.4,29.27,26.44,30.31,30.58,33.61,34.42,34.05,33.79,34.61,33.5,37.31,36.2,37.05,37.68,36.01,35.14,37.49,36.61,34.59,25.94,31.41,30.57,30.22,31.16,30.72,28.1,27.94,23.05,22.04,19.79,17.09,16.96,16.86,17.05,17.09,16.91,17.56,16.36,15.9,15.09,15.06,16.19,14.34,14.8,14.82,14.75,13.98,12.64,13.92
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",5.65,4.4,5.96,6.4,5.17,5.18,5,4.25,1.83,6.03,6.36,8.21,8.57,8.15,7.56,8.18,7.08,10.84,10.23,11.15,11.27,9.63,8.76,10.67,9.86,8.05,8.4,14.62,13.75,13.44,14.33,13.4,10.96,10.59,6.64,6.24,3.82,1.98,2.06,1.78,1.84,1.78,1.6,3.27,1.97,1.52,1.09,0.73,0.910000000000002,-0.0800000000000001,1.15,1.33,1.67,1.55,0.200000000000001,1.43
"P Tracking Error",13.64,9.55,13.35,13.74,14.59,15.04,15.09,15.86,15.65,17.9,17.94,20.61,20.76,20.86,20.2,21.24,19.22,20.89,20.65,21.17,21.85,20.18,19.64,21.34,20.03,18.53,18.86,23.27,22.72,22.44,22.21,20.88,18.61,17.86,15.76,15.33,14.23,12.61,13.47,13.06,13.24,13.14,12.99,11.24,10.21,9.7,9.57,9.15,9.23,11.15,9.46,10.65,9.79,7.94,8.38,10.32
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
