"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.044,10.702,0.416,-7.182,-8.005,-3.047,-7.242,3.415,3.388,9.414,8.877,14.527,18.355,20.459,24.882,17.886,24.323,22.614,27.129,43.158,46.749,41.964,38.004,32.174,29.528,29.141,37.489,67.297,55.161,45.753,41.553,36.724,31.685,31.641,36.612,23.971,21.064,16.57,14.911,13.594,15.728,12.575,14.747,13.482,18.159,10.689,10.094,17.084,13.493,18.473,29.596,18.732,18.53,27.052,31.935,21.909
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-1.357,0.795999999999999,-7.04,-1.309,-2.871,-1.717,-8.513,2.939,2.302,2.262,0.184000000000001,3.388,2.434,2.889,6.762,5.114,11.237,8.743,10.262,21.762,20.699,17.375,16.221,14.263,8.766,9.089,18.046,26.427,22.084,17.838,20.18,12.35,7.515,10.348,13.687,6.531,9.44,7.26,6.688,3.403,2.605,3.018,3.19,3.385,11.853,5.878,6.504,6.294,3.933,6.528,11.19,7.669,3.396,10.333,9.193,5.872
"P Volatility",16.4,16.2,17.73,17.18,31.49,28.66,30.36,26.2,25.58,26.1,25.36,25.67,26.66,22.75,27.42,30.87,31.04,32.33,31.47,32.4,30.48,37.63,34.27,38.67,36.64,33.34,24.09,21.75,18.36,20.76,22.93,20.2,19.98,18.85,17.46,16.72,16.31,15.39,15.87,15.42,14.93,14.69,14.95,15.05,14.67,15.05,14.51,15.28,14.87,15.76,15.25,16.26,14.55,14.31,12.18,13.43
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",3.17,3.61,5.16,4.65,7.31,4.46,5.96,1.18,0.969999999999999,1.82,1.14,0.270000000000003,0.809999999999999,-3.15,1.19,4.44,4.62,5.86,5.5,6.5,4.07,11.25,7.89,11.85,9.89,6.8,6.55,4.96,1.54,3.98,6.1,2.88,2.84,1.5,1.05,0.919999999999998,0.339999999999998,0.280000000000001,0.969999999999999,0.34,-0.280000000000001,-0.620000000000001,-0.360000000000001,0.760000000000002,0.279999999999999,0.67,0.51,0.949999999999999,-0.41,1.34,1.6,2.77,1.47,1.88,-0.26,0.94
"P Tracking Error",8.02,7.4,8.23,7.3,9.52,7.82,9.26,7.91,7.57,7.27,8.58,9.54,10.52,11.33,7.64,11.34,10.31,11.35,11.07,13.33,12.65,17.05,14.8,17.23,14.63,13.38,14.64,14.14,11.27,11.92,12.93,9.68,8,8.31,8.68,7.52,8.14,7.04,7.39,7.31,6.95,6.71,7.01,5.83,5.53,7.01,6.35,6.45,6.71,7.28,8.02,8.3,6.99,7.44,5.53,6.73
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
