"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.998,24.277,18.121,-1.404,1.971,9.3,9.468,7.482,10.772,19.031,17.114,24.246,27.084,22.088,21.417,16.758,20.138,18.168,20.691,27.145,36.146,31.663,29.707,23.804,25.361,20.053,16.473,27.122,26.892,20.321,18.685,17.629,37.94,23.773,23.73,23.69,16.539,15.249,12.712,9.224,10.921,9.546,9.886,11.878,3.485,9.71,3.671,9.875,9.275,13.441,12.748,19.852,32.088,44.023,47.897,38.571
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",4.597,14.371,10.665,4.469,7.105,10.63,8.197,7.006,9.686,11.879,8.421,13.107,11.163,4.518,3.297,3.986,7.052,4.297,3.824,5.749,10.096,7.074,7.924,5.893,4.599,0.00100000000000122,-2.97,-13.748,-6.185,-7.594,-2.688,-6.745,13.77,2.48,0.805,6.25,4.915,5.939,4.489,-0.967000000000001,-2.202,-0.011000000000001,-1.671,1.781,-2.821,4.899,0.081,-0.914999999999999,-0.285,1.496,-5.658,8.789,16.954,27.304,25.155,22.534
"P Volatility",21.14,18.38,19.47,17.79,27.03,26.65,24.88,24.7,27.54,23.84,19.54,23.74,27.43,25.69,31.53,41.12,41.22,43.16,41.4,33.8,28.63,32.75,30.49,33.01,32.77,32.27,23.24,15.34,15.68,17.63,17.18,16.05,19.25,18.19,18.88,19.45,19.08,20.75,17.91,17.32,21.15,22.56,20.74,22.98,23.78,22.85,22.21,21.79,22.37,21.87,20.53,19.05,17.39,14.12,14.15,14.78
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",7.91,5.79,6.9,5.26,2.85,2.45,0.48,-0.32,2.93,-0.440000000000001,-4.68,-1.66,1.58,-0.209999999999997,5.3,14.69,14.8,16.69,15.43,7.9,2.22,6.37,4.11,6.19,6.02,5.73,5.7,-1.45,-1.14,0.849999999999998,0.350000000000001,-1.27,2.11,0.84,2.47,3.65,3.11,5.64,3.01,2.24,5.94,7.25,5.43,8.69,9.39,8.47,8.21,7.46,7.09,7.45,6.88,5.56,4.31,1.69,1.71,2.29
"P Tracking Error",11.86,10.15,10.81,10.51,9.09,10.43,11.33,11,9.89,12.68,13.76,11.7,10.2,9.11,12.27,17.96,18.04,20.09,18.79,13.21,12.74,14.56,11.94,12.07,12.17,13.54,13.49,14.08,14.15,15.46,15.63,14.19,12.72,15.86,14.69,16.68,16.32,15.53,10.63,9.27,11.94,13.76,12.04,13.15,14.17,12.57,12.72,11.25,11.33,11.48,12.69,11.58,9.79,9.86,10.22,11.07
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
