"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",6.777,10.772,-0.688,-13.021,-13.692,-2.981,-2.746,-2.457,-2.744,-2.165,11.748,6.922,15.244,23.161,20.468,15.17,21.417,22.509,16.559,24.41,38.653,51.462,38.211,40.075,26.354,36.211,45.615,82.972,75.575,60.303,52.978,58.598,51.659,54.998,55.179,31.362,25.054,19.443,16.865,21.291,26.262,25.559,30.261,33.611,36.779,25.039,25.451,36.112,36.362,32.809,43.869,35.443,28.969,29.474,37.899,23.857
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-2.624,0.866,-8.144,-7.148,-8.558,-1.651,-4.017,-2.933,-3.83,-9.317,3.055,-4.217,-0.677,5.591,2.348,2.398,8.331,8.638,-0.308,3.014,12.603,26.873,16.428,22.164,5.592,16.159,26.172,42.102,42.498,32.388,31.605,34.224,27.489,33.705,32.254,13.922,13.43,10.133,8.642,11.1,13.139,16.002,18.704,23.514,30.473,20.228,21.861,25.322,26.802,20.864,25.463,24.38,13.835,12.755,15.157,7.82
"P Volatility",14.15,17.66,19.17,20.04,35.76,34.08,34.44,33.79,32.98,33.73,28.45,35.55,34.08,33.89,32.03,33.27,31.72,32.55,33.71,34.87,39.43,40.24,36.54,36.06,32.35,33.62,26.25,28.69,31.78,32.33,34.51,33.49,30.98,31.34,24.76,22.89,20.55,18,17.69,17.91,17.92,15.48,15.44,17.78,16.49,15.17,14.57,15.12,14.46,13.82,13.85,14.01,13.03,13.01,12.26,11.9
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",0.92,5.07,6.6,7.51,11.58,9.88,10.04,8.77,8.37,9.45,4.23,10.15,8.23,7.99,5.8,6.84,5.3,6.08,7.74,8.97,13.02,13.86,10.16,9.24,5.6,7.08,8.71,11.9,14.96,15.55,17.68,16.17,13.84,13.99,8.35,7.09,4.58,2.89,2.79,2.83,2.71,0.17,0.129999999999999,3.49,2.1,0.789999999999999,0.57,0.789999999999999,-0.819999999999999,-0.6,0.199999999999999,0.52,-0.0500000000000007,0.58,-0.18,-0.59
"P Tracking Error",11.61,12.41,15.06,13.94,17.09,16.64,16.63,16.09,15.75,16.01,15.17,19.33,19.77,20.13,17.61,18.4,16.81,17.43,19.94,20.6,23.84,22.36,21.19,19.44,18.34,17.96,18.31,20.92,23.4,23.91,25.01,22.95,20.53,20.17,16.64,17.72,14.24,14.02,13.39,16.22,16.17,13.31,13.25,13.61,12.86,11.82,11.73,11.23,10.27,10.39,10.14,10.08,7.22,7.57,7.95,6.18
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.23,0.07,-0.54,-0.51,-0.5,-0.1,-0.24,-0.18,-0.24,-0.58,0.2,-0.22,-0.03,0.28,0.13,0.13,0.5,0.5,-0.02,0.15,0.53,1.2,0.78,1.14,0.3,0.9,1.43,2.01,1.82,1.35,1.26,1.49,1.34,1.67,1.94,0.79,0.94,0.72,0.65,0.68,0.81,1.2,1.41,1.73,2.37,1.71,1.86,2.25,2.61,2.01,2.51,2.42,1.92,1.68,1.91,1.27
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.04,0.1,-0.61,-0.12,-0.11,0.04,-0.03,-0.25,-0.01,-0.68,0.58,-0.77,0.05,0.28,0.3,0.2,0.67,0.64,0.3,0.29,1.17,0.81,1.26,1.13,0.67,1.92,2.06,1.77,1.78,1.7,1.63,1.12,1.61,1.75,1.42,1.38,0.95,1.16,0.86,1.4,1.38,1.47,1.73,2.19,2,1.83,1.89,2.15,1.79,1.81,1.98,1.76,1.14,1,1.19,0.54
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.69,1,0.94,1.16,1.34,1.26,1.26,1.2,1.19,1.25,0.99,1.19,1.08,1.05,1.02,1.05,1.02,1.04,1.05,1.09,1.21,1.3,1.14,1.14,1,1.07,1.08,1.18,1.32,1.34,1.5,1.49,1.42,1.45,1.12,0.92,0.93,0.78,0.8,0.63,0.63,0.63,0.63,0.82,0.76,0.72,0.69,0.75,0.72,0.7,0.74,0.76,0.84,0.86,0.78,0.83
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",38.43,48.29,35.45,50.27,81.7,78.47,79.25,78.66,78.28,79.72,70.21,70.97,65.1,63.24,68.37,68.12,70.6,70.08,63.48,63.92,63.7,71.81,65.78,70.7,66.33,70.47,49.29,45.51,46.14,46,51.17,57.6,59.59,63.23,53.4,37.54,50.01,40.08,42.94,24.39,25.12,36.37,36.68,40.79,40.98,43.85,41.38,48.09,56.2,51.06,50.82,51.36,70.42,66.36,61.06,74.99
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
