"","1 Y 2018-01-02 to 2019-01-07","1 Y 2018-02-02 to 2019-02-07","1 Y 2018-03-05 to 2019-03-07","1 Y 2018-04-02 to 2019-04-07","1 Y 2018-05-02 to 2019-05-07","1 Y 2018-06-04 to 2019-06-07","1 Y 2018-07-02 to 2019-07-07","1 Y 2018-08-02 to 2019-08-07","1 Y 2018-09-03 to 2019-09-07","1 Y 2018-10-03 to 2019-10-07","1 Y 2018-11-02 to 2019-11-07","1 Y 2018-12-03 to 2019-12-07","1 Y 2019-01-02 to 2020-01-07","1 Y 2019-02-04 to 2020-02-07","1 Y 2019-03-05 to 2020-03-07","1 Y 2019-04-02 to 2020-04-07","1 Y 2019-05-02 to 2020-05-07","1 Y 2019-06-03 to 2020-06-07","1 Y 2019-07-02 to 2020-07-07","1 Y 2019-08-02 to 2020-08-07","1 Y 2019-09-03 to 2020-09-07","1 Y 2019-10-03 to 2020-10-07","1 Y 2019-11-04 to 2020-11-07","1 Y 2019-12-02 to 2020-12-07","1 Y 2020-01-02 to 2021-01-07","1 Y 2020-02-03 to 2021-02-07","1 Y 2020-03-02 to 2021-03-07","1 Y 2020-04-03 to 2021-04-07","1 Y 2020-05-04 to 2021-05-07","1 Y 2020-06-02 to 2021-06-07","1 Y 2020-07-02 to 2021-07-07","1 Y 2020-08-03 to 2021-08-07","1 Y 2020-09-02 to 2021-09-07","1 Y 2020-10-05 to 2021-10-07","1 Y 2020-11-02 to 2021-11-07","1 Y 2020-12-02 to 2021-12-07","1 Y 2021-01-04 to 2022-01-07","1 Y 2021-02-02 to 2022-02-07","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-04-05 to 2022-04-07","1 Y 2021-05-03 to 2022-05-07","1 Y 2021-06-02 to 2022-06-07","1 Y 2021-07-02 to 2022-07-07","1 Y 2021-08-02 to 2022-08-07","1 Y 2021-09-02 to 2022-09-07","1 Y 2021-10-04 to 2022-10-07","1 Y 2021-11-02 to 2022-11-07","1 Y 2021-12-02 to 2022-12-07","1 Y 2022-01-03 to 2023-01-07","1 Y 2022-02-02 to 2023-02-07","1 Y 2022-03-02 to 2023-03-07","1 Y 2022-04-04 to 2023-04-07","1 Y 2022-05-02 to 2023-05-07","1 Y 2022-06-02 to 2023-06-07","1 Y 2022-07-04 to 2023-07-07","1 Y 2022-08-02 to 2023-08-07","1 Y 2022-09-02 to 2023-09-07","1 Y 2022-10-03 to 2023-10-07","1 Y 2022-11-02 to 2023-11-07","1 Y 2022-12-02 to 2023-12-07","1 Y 2023-01-02 to 2024-01-07","1 Y 2023-02-02 to 2024-02-07","1 Y 2023-03-02 to 2024-03-07","1 Y 2023-04-03 to 2024-04-07","1 Y 2023-05-02 to 2024-05-07","1 Y 2023-06-02 to 2024-06-07","1 Y 2023-07-03 to 2024-07-07","1 Y 2023-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",3.731,-7.81,-2.495,5.401,-2.931,-0.853,-0.585,-11.637,-16.92,-8.889,-1.522,10.424,9.705,16.353,-3.925,-26.157,-10.937,-1.394,0.219,18.208,15.22,-1.276,-8.556,22.654,21.269,34.14,65.131,189.942,194.096,187.357,143.835,108.48,53.692,117.42,115.511,27.005,32.067,14.238,3.769,20.737,18.064,8.967,9.958,18.26,26.859,14.776,20.139,31.171,23.123,18.798,23.038,14.972,23.733,27.291,16.165,9.386,11.077,12.798,6.089,8.604,19.562,31.422,28.348,20.906,30.658,34.682,38.921,25.928
"B Annualized Returns",5.091,8.128,9.962,17.159,9.662,12.368,11.959,-1.897,-3.614,5.924,15.655,13.642,13.502,11.713,5.007,-24.608,-17.219,-14.073,-5.783,3.638,6.171,3.679,2.151,9.259,17.873,23.021,32.379,63.86,54.485,53.131,44.876,44.684,51.921,49.565,48.461,24.996,23.722,16.978,7.111,21.156,14.431,6.414,1.683,7.227,1.544,-1.635,1.781,10.36,0.216,5.022,6.202,-0.81,10.922,12.784,22.39,11.808,11.29,12.763,6.719,11.221,18.448,19.302,22.834,24.357,19.7,18.896,22.314,19.164
"AR DIFF(P-B)",-1.36,-15.938,-12.457,-11.758,-12.593,-13.221,-12.544,-9.74,-13.306,-14.813,-17.177,-3.218,-3.797,4.64,-8.932,-1.549,6.282,12.679,6.002,14.57,9.049,-4.955,-10.707,13.395,3.396,11.119,32.752,126.082,139.611,134.226,98.959,63.796,1.771,67.855,67.05,2.009,8.345,-2.74,-3.342,-0.419,3.633,2.553,8.275,11.033,25.315,16.411,18.358,20.811,22.907,13.776,16.836,15.782,12.811,14.507,-6.225,-2.422,-0.212999999999999,0.0350000000000001,-0.63,-2.617,1.114,12.12,5.514,-3.451,10.958,15.786,16.607,6.764
"P Volatility",17.99,17.57,18.77,18.71,17.7,17.84,18.43,17.03,15.57,11.59,16.19,20.67,17.51,15.32,18.46,16.13,40.01,39.91,43.18,49.78,56.77,54.73,48.86,54.31,53.6,56.29,34.69,30.67,28.7,35.28,30.05,33.02,30.55,28.82,26.52,23.3,23.45,16.83,18.58,17.32,16.06,16.17,18.45,22.05,18.58,19.35,16.42,16.8,16.48,15.61,15.6,12.24,12.67,12.03,12.29,12.25,11.19,10.86,8.62,7.51,9.32,15.58,14.18,13.55,15.06,15.89,15.93,17.48
"B Volatility",15.87,14.76,14.34,14.97,14.96,14.94,13.28,14.26,12.64,11.6,11.16,11.16,11.18,11.12,10.19,10.65,31.91,31.9,33.1,34.16,33.97,33.8,34.03,35.97,36.53,36.39,17.66,18.2,17.55,16.86,16.3,16.55,16.93,16.96,14.65,15.46,14.93,12.7,14.2,15.69,15.7,16.37,17.25,16.03,15.89,16,17.18,17.5,18,16.81,15.12,15.21,15.51,14.3,12.75,13.36,13.31,11.13,10.96,11.28,12.75,12.73,11.88,11.39,11.28,11.64,12.68,11.78
"V DIFF(P-B)",2.12,2.81,4.43,3.74,2.74,2.9,5.15,2.77,2.93,-0.00999999999999979,5.03,9.51,6.33,4.2,8.27,5.48,8.1,8.01,10.08,15.62,22.8,20.93,14.83,18.34,17.07,19.9,17.03,12.47,11.15,18.42,13.75,16.47,13.62,11.86,11.87,7.84,8.52,4.13,4.38,1.63,0.359999999999999,-0.199999999999999,1.2,6.02,2.69,3.35,-0.759999999999998,-0.699999999999999,-1.52,-1.2,0.48,-2.97,-2.84,-2.27,-0.460000000000001,-1.11,-2.12,-0.270000000000001,-2.34,-3.77,-3.43,2.85,2.3,2.16,3.78,4.25,3.25,5.7
"P Tracking Error",15.54,15.24,13.62,13.52,14.22,14.35,12.66,11.62,11.9,9.56,13.97,16.66,16.39,13.22,15.45,13.71,18.67,19.93,22.56,25.92,28.22,28.5,24.55,27.12,26.47,26.3,23.52,21.71,21.51,26.34,22.92,21.67,21.92,21.16,22.24,17.07,17.68,16.86,15.55,14.53,14.26,14.57,12.87,13.89,11.72,11.42,11.79,13.23,10.74,11.61,9.75,9.38,8.26,8.21,6.32,7.51,9.04,10.26,8.44,7.86,10.18,8.83,7.29,8.07,10.5,10.3,11.65,9.87
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
