"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",18.15,11.663,5.247,-15.443,-16.894,-4.645,-2.724,-5.131,-9.388,-2.68,-0.684,9.097,21.817,17.773,17.803,17.971,22.56,32.639,28.602,56.397,51.661,54.601,19.004,24.795,33.469,13.357,34.361,99.201,70.361,48.178,31.147,32.187,26.362,45.141,39.341,20.529,13.334,13.28,9.197,5.944,20.387,18.115,20.633,12.049,25.114,14.525,-0.142,15.351,22.089,8.027,19.471,8.153,23.424,15.28,24.597,17.239
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",8.749,1.757,-2.209,-9.57,-11.76,-3.315,-3.995,-5.607,-10.474,-9.832,-9.377,-2.042,5.896,0.202999999999999,-0.317,5.199,9.474,18.768,11.735,35.001,25.611,30.012,-2.779,6.884,12.707,-6.695,14.918,58.331,37.284,20.263,9.774,7.813,2.192,23.848,16.416,3.089,1.71,3.97,0.973999999999998,-4.247,7.264,8.558,9.076,1.952,18.808,9.714,-3.732,4.561,12.529,-3.918,1.065,-2.91,8.29,-1.439,1.855,1.202
"P Volatility",18.78,18.5,19.71,20.51,37.19,30.22,29.69,26.17,32.76,35.48,38.19,36.09,37.35,33.66,30.74,24.12,21.26,38.29,33.87,38.35,47.37,45.13,28.58,22.62,30.12,33.28,28.13,33.84,39.01,34.48,20.42,20.41,15.86,21.83,18.12,14.43,15.65,15.34,16.1,16.15,17.38,17.25,13.84,13.88,17.72,17.28,19.27,19.71,18.04,20.36,15.41,14.6,17.17,17.83,13.44,15.2
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",5.55,5.91,7.14,7.98,13.01,6.02,5.29,1.15,8.15,11.2,13.97,10.69,11.5,7.76,4.51,-2.31,-5.16,11.82,7.9,12.45,20.96,18.75,2.2,-4.2,3.37,6.74,10.59,17.05,22.19,17.7,3.59,3.09,-1.28,4.48,1.71,-1.37,-0.32,0.23,1.2,1.07,2.17,1.94,-1.47,-0.409999999999998,3.33,2.9,5.27,5.38,2.76,5.94,1.76,1.11,4.09,5.4,1,2.71
"P Tracking Error",9.99,11.87,12.68,15.85,18.72,16.01,14.17,10.98,13.55,15.68,18.59,20.8,22.68,15.88,12.07,14.72,18.93,21.96,17.04,20.34,28.61,27.9,12.03,16.05,13.24,15.87,18.42,26.16,29.36,24.02,14.26,11.39,10.93,10.91,11.14,11.98,12.16,11.89,12.57,12.3,14.2,12.15,7.91,9.65,11.47,10.28,11.02,11.56,10.37,10.42,9.59,9.33,8.97,12.59,9.01,9.41
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
