"","3 Y 2018-01-02 to 2021-01-07","3 Y 2018-02-02 to 2021-02-07","3 Y 2018-03-05 to 2021-03-07","3 Y 2018-04-02 to 2021-04-07","3 Y 2018-05-02 to 2021-05-07","3 Y 2018-06-04 to 2021-06-07","3 Y 2018-07-02 to 2021-07-07","3 Y 2018-08-02 to 2021-08-07","3 Y 2018-09-03 to 2021-09-07","3 Y 2018-10-03 to 2021-10-07","3 Y 2018-11-02 to 2021-11-07","3 Y 2018-12-03 to 2021-12-07","3 Y 2019-01-02 to 2022-01-07","3 Y 2019-02-04 to 2022-02-07","3 Y 2019-03-05 to 2022-03-07","3 Y 2019-04-02 to 2022-04-07","3 Y 2019-05-02 to 2022-05-07","3 Y 2019-06-03 to 2022-06-07","3 Y 2019-07-02 to 2022-07-07","3 Y 2019-08-02 to 2022-08-07","3 Y 2019-09-03 to 2022-09-07","3 Y 2019-10-03 to 2022-10-07","3 Y 2019-11-04 to 2022-11-07","3 Y 2019-12-02 to 2022-12-07","3 Y 2020-01-02 to 2023-01-07","3 Y 2020-02-03 to 2023-02-07","3 Y 2020-03-02 to 2023-03-07","3 Y 2020-04-03 to 2023-04-07","3 Y 2020-05-04 to 2023-05-07","3 Y 2020-06-02 to 2023-06-07","3 Y 2020-07-02 to 2023-07-07","3 Y 2020-08-03 to 2023-08-07","3 Y 2020-09-02 to 2023-09-07","3 Y 2020-10-05 to 2023-10-07","3 Y 2020-11-02 to 2023-11-07","3 Y 2020-12-02 to 2023-12-07","3 Y 2021-01-04 to 2024-01-07","3 Y 2021-02-02 to 2024-02-07","3 Y 2021-03-02 to 2024-03-07","3 Y 2021-04-05 to 2024-04-07","3 Y 2021-05-03 to 2024-05-07","3 Y 2021-06-02 to 2024-06-07","3 Y 2021-07-02 to 2024-07-07","3 Y 2021-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.042,0.775,10.264,7.339,13.027,15.296,14.515,15.804,12.597,25.591,23.477,23.807,23.415,19.838,15.407,16.644,16.073,25.293,23.559,36.857,34.67,35.738,26.477,28.902,21.509,24.431,31.477,50.285,42.877,41.1,36.282,46.632,37.453,39.495,34.416,27.912,26.888,25.984,24.694,24.149,19.351,19.742,15.798,8.91
"B Annualized Returns",11.943,13.347,14.641,13.534,11.61,14.264,14.085,13.074,15.074,19.763,19.605,17.115,18.465,17.131,14.791,15.503,13.004,12.082,11.564,16.681,17.302,15.134,14.713,15.343,14.056,13.557,15.59,25.733,24.869,22.668,21.711,20.877,19.715,18.973,16.242,15.328,14.25,12.538,13.685,14.724,14.701,12.785,14.821,12.958
"AR DIFF(P-B)",-2.901,-12.572,-4.377,-6.195,1.417,1.032,0.43,2.73,-2.477,5.828,3.872,6.692,4.95,2.707,0.616,1.141,3.069,13.211,11.995,20.176,17.368,20.604,11.764,13.559,7.453,10.874,15.887,24.552,18.008,18.432,14.571,25.755,17.738,20.522,18.174,12.584,12.638,13.446,11.009,9.425,4.65,6.957,0.977,-4.048
"P Volatility",24.37,23.16,23.37,29.95,31.53,29.31,28.91,28.99,30.15,31.56,33.28,29.73,29.68,32.43,34.93,38.06,32.86,36.6,39.99,36.28,41.27,42.78,35.2,31.2,32.62,36.77,27.41,28.96,28.6,32.41,31.75,27.24,28.02,28.07,20.82,19.62,13.67,13.64,12.03,13.46,11.21,11.3,11.58,11.03
"B Volatility",22.62,22.4,22.71,22.77,22.77,22.81,22.53,22.51,22.57,22.21,22.13,22.43,22.42,22.38,22.63,22.91,22.97,23.11,23.04,23.26,23.2,23.27,23.57,23.61,23.72,23.71,17.19,16.51,16.51,16.06,15.61,15.72,15.81,15.72,14.73,14.35,14.81,14.14,13.93,13.93,13.82,13.87,14.33,13.54
"V DIFF(P-B)",1.75,0.760000000000002,0.66,7.18,8.76,6.5,6.38,6.48,7.58,9.35,11.15,7.3,7.26,10.05,12.3,15.15,9.89,13.49,16.95,13.02,18.07,19.51,11.63,7.59,8.9,13.06,10.22,12.45,12.09,16.35,16.14,11.52,12.21,12.35,6.09,5.27,-1.14,-0.5,-1.9,-0.469999999999999,-2.61,-2.57,-2.75,-2.51
"P Tracking Error",16.54,14.03,9.42,15.3,15.9,14.77,15.99,16.2,17.74,16.64,17.89,18.57,18.47,18.9,19.77,23.52,18.52,22.44,24.4,22.07,24.93,25.39,19.28,15.36,17.43,21.59,18.65,20.69,17.8,22.35,21.35,18.1,17.49,17.38,11.73,11.15,10.72,10.39,9.71,7.89,8.57,8.6,9.17,8.34
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.18,-0.9,-0.46,-0.4,0.09,0.07,0.03,0.17,-0.14,0.35,0.22,0.36,0.27,0.14,0.03,0.05,0.17,0.59,0.49,0.91,0.7,0.81,0.61,0.88,0.43,0.5,0.85,1.19,1.01,0.82,0.68,1.42,1.01,1.18,1.55,1.13,1.18,1.29,1.13,1.19,0.54,0.81,0.11,-0.49
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.09,-0.99,-0.3,-0.39,0.07,0.07,0.15,0.22,0,0.11,0,0.47,0.61,0.08,0.26,0.05,0.35,0.97,0.93,1.41,1.27,0.95,0.75,0.81,0.57,1.23,1.62,1.13,0.61,0.24,0.43,0.97,0.7,0.87,0.85,0.94,1.33,1.42,1.13,1.05,0.8,0.83,0.53,0
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.81,0.84,0.94,1.14,1.21,1.12,1.07,1.07,1.08,1.23,1.3,1.04,1.04,1.19,1.31,1.35,1.2,1.28,1.45,1.27,1.5,1.59,1.28,1.16,1.18,1.29,1.18,1.25,1.42,1.57,1.63,1.34,1.46,1.48,1.18,1.13,0.66,0.7,0.63,0.81,0.64,0.64,0.62,0.64
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",55.64,64.69,83.56,74.27,76.28,74.65,68.78,68.12,64.72,74.01,74.43,59.86,60.2,66.85,71.15,65.3,69.26,64.55,68.45,64.88,70.71,74.47,72.74,76.57,72.25,68.04,53.65,49.52,66.16,59.16,63.39,58.45,66.76,68.04,69.04,67.7,50.32,50.53,51.83,68.75,60.38,60.48,57.98,60.98
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-37.7049,-45.3932,-33.3307,-40.9713,-38.5413,-36.7969,-39.4022,-39.7334,-39.4082,-39.512,-45.1142,-37.4726,-37.6229,-45.541,-48.2391,-55.6553,-43.4085,-46.9057,-52.3693,-47.9992,-55.4597,-55.4837,-47.7828,-44.226,-45.9497,-48.1263,-42.4013,-20.4587,-19.2895,-27.0797,-26.6115,-20.0923,-24.3528,-24.2598,-22.1865,-15.9522,-11.6763,-12.0046,-11.4246,-13.4503,-12.4473,-12.3471,-13.3372,-16.7865
"B Max Drawdown",-38.0701,-38.0701,-38.07,-38.0701,-38.07,-38.0701,-38.0701,-38.07,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.07,-38.0701,-38.0701,-38.0701,-37.4939,-32.7324,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.627,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271
"MD DIFF(P-B)",0.365199999999994,-7.3231,4.7393,-2.9012,-0.471299999999999,1.2732,-1.3321,-1.6634,-1.3381,-1.4419,-7.0441,0.597499999999997,0.447199999999995,-7.4709,-10.169,-17.5852,-5.3384,-8.83560000000001,-14.2992,-9.92910000000001,-17.3896,-17.4137,-9.71270000000001,-6.1559,-7.8796,-10.6324,-9.6689,-3.8316,-2.6624,-10.4526,-9.9844,-3.4652,-7.7257,-7.6327,-5.5595,0.674899999999999,4.9508,4.6225,5.2025,3.1768,4.1798,4.28,3.2899,-0.159400000000002
