"","2 Y 2016-08-17 to 2018-08-18","2 Y 2016-09-19 to 2018-09-18","2 Y 2016-10-17 to 2018-10-18","2 Y 2016-11-17 to 2018-11-18","2 Y 2016-12-19 to 2018-12-18","2 Y 2017-01-17 to 2019-01-18","2 Y 2017-02-17 to 2019-02-18","2 Y 2017-03-17 to 2019-03-18","2 Y 2017-04-17 to 2019-04-18","2 Y 2017-05-17 to 2019-05-18","2 Y 2017-06-19 to 2019-06-18","2 Y 2017-07-17 to 2019-07-18","2 Y 2017-08-17 to 2019-08-18","2 Y 2017-09-18 to 2019-09-18","2 Y 2017-10-17 to 2019-10-18","2 Y 2017-11-17 to 2019-11-18","2 Y 2017-12-18 to 2019-12-18","2 Y 2018-01-17 to 2020-01-18","2 Y 2018-02-19 to 2020-02-18","2 Y 2018-03-19 to 2020-03-18","2 Y 2018-04-17 to 2020-04-18","2 Y 2018-05-17 to 2020-05-18","2 Y 2018-06-18 to 2020-06-18","2 Y 2018-07-17 to 2020-07-18","2 Y 2018-08-17 to 2020-08-18","2 Y 2018-09-17 to 2020-09-18","2 Y 2018-10-17 to 2020-10-18","2 Y 2018-11-19 to 2020-11-18","2 Y 2018-12-17 to 2020-12-18","2 Y 2019-01-17 to 2021-01-18","2 Y 2019-02-18 to 2021-02-18","2 Y 2019-03-18 to 2021-03-18","2 Y 2019-04-18 to 2021-04-18","2 Y 2019-05-17 to 2021-05-18","2 Y 2019-06-17 to 2021-06-18","2 Y 2019-07-17 to 2021-07-18","2 Y 2019-08-19 to 2021-08-18","2 Y 2019-09-17 to 2021-09-18","2 Y 2019-10-17 to 2021-10-18","2 Y 2019-11-18 to 2021-11-18","2 Y 2019-12-17 to 2021-12-18","2 Y 2020-01-17 to 2022-01-18","2 Y 2020-02-17 to 2022-02-18","2 Y 2020-03-17 to 2022-03-18","2 Y 2020-04-17 to 2022-04-18","2 Y 2020-05-18 to 2022-05-18","2 Y 2020-06-17 to 2022-06-18","2 Y 2020-07-17 to 2022-07-18","2 Y 2020-08-17 to 2022-08-18","2 Y 2020-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.733,22.139,13.113,18.865,23.222,18.95,15.955,23.333,21.317,16.582,14.286,12.216,9.608,6.112,10.257,16.607,11.472,15.179,15.512,-3.578,-0.902,1.434,2.95,5.558,9.346,12.415,54.29,22.284,25.563,20.285,38.197,25.752,70.836,80.839,42.22,68.212,84.128,66,54.272,73.042,62.979,66.142,55.655,60.25,42.301,34.405,28.822,66.833,75.159,78.039
"B Annualized Returns",14.725,13.66,10.991,14.543,15.797,13.61,9.102,10.695,11.927,7.133,8.564,7.261,3.569,1.723,4.792,5.454,6.116,5.071,6.262,-6.816,-8.635,-8.192,-5.046,-1.928,-1.963,0.363,5.813,8.3,11.296,14.944,19.454,13.085,12.131,12.826,16.421,17.218,23.007,27.977,25.971,23.556,19.964,22.858,20.573,37.71,38.871,36.388,25.13,21.447,27.003,25.851
"AR DIFF(P-B)",8.008,8.479,2.122,4.322,7.425,5.34,6.853,12.638,9.39,9.449,5.722,4.955,6.039,4.389,5.465,11.153,5.356,10.108,9.25,3.238,7.733,9.626,7.996,7.486,11.309,12.052,48.477,13.984,14.267,5.341,18.743,12.667,58.705,68.013,25.799,50.994,61.121,38.023,28.301,49.486,43.015,43.284,35.082,22.54,3.43,-1.983,3.692,45.386,48.156,52.188
"P Volatility",20.53,17.36,23.12,20.44,19.61,19.07,21.57,17.44,19.48,20,19.57,18.81,15.69,14.89,15.54,20.35,19.42,15.85,14.14,13.46,25.7,26.89,26,26.72,28.78,28.31,32.98,28.87,23.45,32.79,28.7,34.84,41.24,39.5,32.53,37.86,33.09,28.27,29.31,37.34,37.88,37.73,31.5,18.68,14.26,13.98,19.11,25.97,27.57,27.38
"B Volatility",12.54,12.33,13.64,13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",7.99,5.03,9.48,6.76,5.97,5.96,8.58,4.54,6.11,6.67,6.28,6.06,2.03,1.26,2.22,6.85,5.95,2.65,1.51,0.700000000000001,2.91,2.47,1.6,2.06,3.64,3.6,8.57,4.53,-2.09,6.82,2.72,8.44,14.67,12.94,5.89,11.88,7.2,2.1,3.16,11.18,11.38,11.27,5.36,1.86,-1.75,-1.95,2.89,9.38,10.38,10.3
"P Tracking Error",14.27,10.6,15.22,13.89,13.6,13.49,14.36,9.36,11.52,11.38,11.9,12.38,8.54,7.6,9.18,14.48,13.25,10.65,9.89,7.78,8.03,9.56,8.16,7.06,9.88,10.13,21.48,10.57,11.02,10.44,8.23,11.23,24.84,24.83,13.49,22.09,23.31,20.71,18.72,22.15,19.38,19.32,16.67,14.81,14.07,14.31,11.48,16.76,17.6,17.55
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
