"","1 Y 2019-02-06 to 2020-02-07","1 Y 2019-03-06 to 2020-03-07","1 Y 2019-04-08 to 2020-04-07","1 Y 2019-05-06 to 2020-05-07","1 Y 2019-06-06 to 2020-06-07","1 Y 2019-07-08 to 2020-07-07","1 Y 2019-08-06 to 2020-08-07","1 Y 2019-09-06 to 2020-09-07","1 Y 2019-10-07 to 2020-10-07","1 Y 2019-11-06 to 2020-11-07","1 Y 2019-12-06 to 2020-12-07","1 Y 2020-01-06 to 2021-01-07","1 Y 2020-02-06 to 2021-02-07","1 Y 2020-03-06 to 2021-03-07","1 Y 2020-04-07 to 2021-04-07","1 Y 2020-05-06 to 2021-05-07","1 Y 2020-06-08 to 2021-06-07","1 Y 2020-07-06 to 2021-07-07","1 Y 2020-08-06 to 2021-08-07","1 Y 2020-09-07 to 2021-09-07","1 Y 2020-10-06 to 2021-10-07","1 Y 2020-11-06 to 2021-11-07","1 Y 2020-12-07 to 2021-12-07","1 Y 2021-01-06 to 2022-01-07","1 Y 2021-02-08 to 2022-02-07","1 Y 2021-03-08 to 2022-03-07","1 Y 2021-04-06 to 2022-04-07","1 Y 2021-05-06 to 2022-05-07","1 Y 2021-06-07 to 2022-06-07","1 Y 2021-07-06 to 2022-07-07","1 Y 2021-08-06 to 2022-08-07","1 Y 2021-09-06 to 2022-09-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",27.395,11.423,-17.236,-2.647,3.523,11.32,19.84,9.659,25.244,23.835,40.281,37.304,38.44,92.51,125.143,147.774,134.313,78.33,94.425,95.467,81.919,86.421,54.578,46.996,42.286,19.264,22.693,15.641,-2.954,2.121,12.012,2.971
"B Annualized Returns",9.15,1.036,-26.876,-19.233,-15.298,-7.181,3.025,4.474,3.341,1.068,10.822,18.192,22.708,46.097,67.804,59.533,56.336,48.697,47.083,54.168,52.232,45.614,27.831,25.734,17.364,10.915,22.25,14.662,4.899,1.17,7.409,2.879
"AR DIFF(P-B)",18.245,10.387,9.64,16.586,18.821,18.501,16.815,5.185,21.903,22.767,29.459,19.112,15.732,46.413,57.339,88.241,77.977,29.633,47.342,41.299,29.687,40.807,26.747,21.262,24.922,8.349,0.443000000000001,0.978999999999999,-7.853,0.951,4.603,0.0920000000000001
"P Volatility",14.34,16.56,16.54,35.45,39.81,41.67,39.61,39.29,39.25,37.4,41.72,43.65,39.81,22.16,21.75,22.81,21.24,20.36,21.87,22.8,17.57,18.5,17.21,17.02,13.76,13.93,14.03,12.61,14.79,18.46,19.01,17.98
"B Volatility",11.58,11.08,11.55,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",2.76,5.48,4.99,2.98,7.34,8.11,5.22,5.12,5.26,3.32,5.72,7.05,3.61,5.64,4.83,6.45,5.6,4.97,6.21,7.17,1.93,5.07,3.11,3.18,2.47,0.4,-1.24,-2.18,-1.24,1.34,1.84,0.830000000000002
"P Tracking Error",7.74,7.64,8.82,10.41,12.41,12.63,13.41,12.76,14.71,12.54,12.4,12.25,10.92,11.2,15.54,16.86,15.75,13.4,13.84,14.22,7.97,13.36,12.65,12.09,12.22,5.77,5,4.4,5.79,7.57,7.12,5.5
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
