"","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",39.707,41.549,37.755,44.271,51.962,54.267,49.651,41.677,42.248,39.247,67.765,72.222,62.323,53.456,57.449,54.942,50.746
"B Annualized Returns",15.547,17.05,17.462,22.369,26.067,27.337,23.497,20.884,22.038,18.719,35.681,41.06,31.954,26.962,23.487,26.092,26.585
"AR DIFF(P-B)",24.16,24.499,20.293,21.902,25.895,26.93,26.154,20.793,20.21,20.528,32.084,31.162,30.369,26.494,33.962,28.85,24.161
"P Volatility",33.71,33.07,31.51,32.42,30.43,30.82,28.61,29.8,29.5,28.19,23.09,19.81,20.16,21.9,23.66,23.05,22.72
"B Volatility",26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",7.15,6.43,5.53,6.53,4.26,4.67,2.45,3.3,3.04,2.05,6.27,3.8,4.23,5.68,7.07,5.86,5.64
"P Tracking Error",13.36,13.15,12.33,13.03,12.02,12.08,11.68,12.57,12.38,12.03,13.13,11.99,12.5,12.73,12.6,11.29,10.65
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.81,1.86,1.65,1.68,2.15,2.23,2.24,1.65,1.63,1.71,2.44,2.6,2.43,2.08,2.7,2.56,2.27
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.43,1.5,1.53,1.38,1.54,1.25,1.5,1.48,1.39,1.62,1.71,1.85,2.03,1.49,1.73,1.44,1.34
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.18,1.15,1.12,1.16,1.07,1.09,1,1.02,1.01,0.98,1.14,0.98,0.99,1.1,1.23,1.18,1.19
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",85.64,84.94,85.03,84.74,84.03,84.49,82.53,81.38,81.57,80.99,67.22,61.64,59.74,65.22,72.96,76.83,79.11
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-38.2113,-38.3775,-38.0406,-38.8196,-36.7273,-38.272,-35.3942,-35.8178,-35.3372,-33.6667,-13.0009,-15.1265,-15.822,-15.381,-19.0796,-18.2731,-20.2876
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.8161,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",0.0942000000000007,-0.0719999999999956,0.264900000000004,-0.514099999999999,1.5782,0.0335000000000036,2.9113,2.4877,2.9683,3.4951,4.3716,-0.793100000000001,-1.4886,-0.5649,-1.8867,-1.0802,-3.0947
