"","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",3.626,1.847,3.394,5.356,3.887,8.868,10.115,-3.12,-4.619,-0.621,0.292,4.116,7.992,13.221,14.574,17.156,19.75,22.156,35.151,26.545,29.914,22.559,32.913,32.937,49.952,52.733,59.474,52.472,48.257,37.407,49.856,61.128,62.419,64.512,36.546,31.48,60.482,33.212
"B Annualized Returns",3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",0.0449999999999999,-0.763,-0.82,-0.551,-1.752,3.376,3.144,2.636,4.016,7.76,5.253,6.044,8.905,12.959,10.538,9.437,8.485,7.176,15.347,12.647,17.783,7.1,16.065,15.644,27.103,24.756,32.778,28.595,28.293,15.328,29.523,25.035,21.915,29.821,11.576,8.582,33.896,7.84
"P Volatility",15.04,15.15,14.1,15.96,15.13,15.96,15.81,16.42,24.56,26.29,28.18,25.9,27.05,26.33,25.33,25.73,25.35,28.42,28.79,31.95,30.79,31.03,33.45,33.12,35.25,33.68,35.55,34.09,33.8,32.28,33.74,22.68,18.43,20.25,20.23,20.15,23.52,20.27
"B Volatility",13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",1.38,1.52,0.779999999999999,2.46,1.66,2.76,3.18,3.66,1.77,1.87,3.78,1.24,1.91,1.62,0.919999999999998,1.39,-0.189999999999998,2.45,2.81,5.55,4.22,4.47,6.81,7.14,9.36,7.51,9.4,7.93,7.3,5.82,7.6,5.86,2.42,4.32,4.01,3.56,6.33,3.19
"P Tracking Error",8.78,8.79,8.51,10,9.67,9.44,8.6,9.47,7.43,8.77,8.38,7.98,7.85,7.77,7.94,7.7,8.57,8.73,9.49,10.52,11.47,11.32,12.86,12.16,14.89,13.94,17.37,16.2,15.06,13.48,16.02,12.54,11.21,11.95,10.91,9.21,12.45,7.98
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
