"","2 Y 2017-11-14 to 2019-11-15","2 Y 2017-12-14 to 2019-12-15","2 Y 2018-01-15 to 2020-01-15","2 Y 2018-02-14 to 2020-02-15","2 Y 2018-03-14 to 2020-03-15","2 Y 2018-04-16 to 2020-04-15","2 Y 2018-05-14 to 2020-05-15","2 Y 2018-06-14 to 2020-06-15","2 Y 2018-07-16 to 2020-07-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.642,6.703,7.332,7.641,-0.765,-7.905,-7.483,-1.441,0.306,-1.313,0.339,3.96,7.92,12.76,17.328,22.682,18.647,18.322,25.916,27.543,33.106,37.844,37.969,33.325,28.972,24.948,27.765,26.064,47.396,49.386,48.165,40.841,42.32,36.009,38.719
"B Annualized Returns",5.997,5.96,5.178,6.121,-5.225,-10.084,-8.582,-5.124,-2.049,-0.913,-0.486,5.722,8.545,10.758,14.975,18.469,15.038,10.471,15.547,17.05,17.462,22.369,26.067,27.337,23.497,20.884,22.038,18.719,35.681,41.06,31.954,26.962,23.487,26.092,26.585
"AR DIFF(P-B)",2.645,0.743,2.154,1.52,4.46,2.179,1.099,3.683,2.355,-0.4,0.825,-1.762,-0.625,2.002,2.353,4.213,3.609,7.851,10.369,10.493,15.644,15.475,11.902,5.988,5.475,4.064,5.727,7.345,11.715,8.326,16.211,13.879,18.833,9.917,12.134
"P Volatility",14.86,14.39,13.68,13.25,14.08,22.65,25.68,25.97,27.19,27.15,26.7,27.12,27.21,27.9,29.47,29.83,27.76,27.44,27.09,27.12,26.89,28.75,27.72,27.48,25.84,26.06,26.31,25.97,18.2,14.71,15.53,17.65,17.67,18.62,18.42
"B Volatility",13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",1.36,0.92,0.48,0.619999999999999,1.32,-0.140000000000001,1.26,1.57,2.53,2.01,1.99,2.71,2.87,2.36,3.5,3.85,1.36,0.870000000000001,0.530000000000001,0.48,0.91,2.86,1.55,1.33,-0.32,-0.440000000000001,-0.150000000000002,-0.170000000000002,1.38,-1.3,-0.4,1.43,1.08,1.43,1.34
"P Tracking Error",6.85,6.56,5.44,5.42,5.3,5.7,7.02,7.25,8.53,8.29,7.28,8.04,7.28,8.16,8.14,8.22,7.23,9.02,9.51,9.41,10.06,10.04,9.05,10.18,8.81,8.71,8.03,8.1,9.56,7.6,8.51,9.45,9.03,8.68,8.53
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.39,0.11,0.4,0.28,0.84,0.38,0.16,0.51,0.28,-0.05,0.11,-0.22,-0.09,0.25,0.29,0.51,0.5,0.87,1.09,1.12,1.56,1.54,1.32,0.59,0.62,0.47,0.71,0.91,1.23,1.1,1.9,1.47,2.09,1.14,1.42
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.23,0.03,0.24,0.14,0.04,-0.19,0.21,0.41,0.3,-0.01,0.11,0.04,0.03,0.13,0.2,0.06,0.09,0.65,0.66,0.8,1.21,1.02,0.68,0.47,0.41,0.46,0.57,0.7,1.21,1.1,1.46,1.03,1.2,0.8,0.96
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.98,0.95,0.95,0.96,1.02,0.96,1.01,1.02,1.05,1.03,1.04,1.06,1.08,1.05,1.09,1.11,1.02,0.98,0.96,0.96,0.96,1.04,1,0.98,0.93,0.93,0.95,0.95,0.92,0.81,0.83,0.92,0.92,0.96,0.96
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",77.76,78.41,83.66,82.64,85.22,93.52,92.18,91.88,89.89,90.31,92.35,91.13,93.04,91.22,92.73,93.01,92.92,88.74,87.28,87.58,85.48,87.36,88.82,85.68,88.33,88.83,90.52,90.13,71.6,76.58,71.63,70.51,73.25,77.38,77.71
