"","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.647,9.878,11.744,8.531,13.581,14.477,12.87,13.809,8.047,15.488,17.949,17.234,16.075,21.595,23.454,21.495,19.46,19.352,29.546,21.723,24.189,18.028,14.522,15.945,26.788,23.961
"B Annualized Returns",3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",6.997,6.361,8.41,2.285,5.163,4.798,-0.0380000000000003,0.783999999999999,-2.465,4.474,4.83,3.894,3.097,6.218,3.883,2.94,3.127,0.914000000000001,11.838,7.775,8.826,5.448,4.515,4.532,8.941,5.674
"P Volatility",23.01,23.86,24.04,23.42,22.16,23.41,23.74,24.22,24.23,24.66,25.24,26.15,26.57,24.19,26.48,24.61,26.17,28.87,30.11,31.43,30.43,32.77,34.49,33.38,37.78,34.59
"B Volatility",21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",1.33,2.18,2.62,1.95,-0.190000000000001,0.739999999999998,1.31,1.42,1.39,1.82,2.36,3.54,3.99,1.76,4.37,2.54,3.85,6.6,7.87,8.83,7.51,9.84,11.31,10.32,14.45,11.33
"P Tracking Error",13.83,14.13,14.02,13.58,14.07,14.27,12.57,14.13,11.54,12.16,12.21,10.94,10.6,10.08,10.98,9.6,11.02,13.59,14.26,15.5,15.16,17.7,18.65,17.63,21.51,18.74
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
