"","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.166,3.958,4.77,11.896,10.611,11.217,13.681,15.799,15.071,20.659,23.416,18.596,17.875,19.923,23.19,27.257,26.795,37.88,33.529,29.495,31.749,26.503,24.916,33.769,32.008,25.571,48.153,31.081,30.805
"B Annualized Returns",-2.08,0.14,1.721,3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",4.246,3.818,3.049,8.246,7.094,7.883,7.435,7.381,5.392,7.751,10.391,8.084,6.861,6.804,9.85,14.279,11.418,18.309,14.974,13.162,13.311,8.795,10.968,18.406,19.428,15.564,36.74,13.234,12.518
"P Volatility",24.52,24.62,25.17,25.23,27.49,25.59,24.19,26.08,25.93,25.73,27.31,24.74,23.35,24.57,23.71,24.6,23.56,23.98,22.43,22.5,24.72,23.65,26.27,28.13,30.47,31.44,35.06,29.06,28.36
"B Volatility",21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",3.51,3.62,3.88,3.55,5.81,4.17,2.72,3.73,3.26,3.3,4.51,1.9,0.510000000000002,1.69,1.1,2.02,1.13,1.87,0.359999999999999,0.18,2.45,1.41,3.67,5.21,7.54,8.26,12,5.73,5.1
"P Tracking Error",9.01,9.5,9.29,10.08,11.59,10.81,11.04,11.08,8.89,9.22,10.92,9.17,8.34,7.78,8.61,9.89,9.03,9.76,9.26,9.72,9.7,8.68,11.23,10.82,12.49,14.01,23.12,11.8,11.59
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
