"","1 Y 2016-08-17 to 2017-08-18","1 Y 2016-09-19 to 2017-09-18","1 Y 2016-10-17 to 2017-10-18","1 Y 2016-11-17 to 2017-11-18","1 Y 2016-12-19 to 2017-12-18","1 Y 2017-01-17 to 2018-01-18","1 Y 2017-02-17 to 2018-02-18","1 Y 2017-03-17 to 2018-03-18","1 Y 2017-04-17 to 2018-04-18","1 Y 2017-05-17 to 2018-05-18","1 Y 2017-06-19 to 2018-06-18","1 Y 2017-07-17 to 2018-07-18","1 Y 2017-08-17 to 2018-08-18","1 Y 2017-09-18 to 2018-09-18","1 Y 2017-10-17 to 2018-10-18","1 Y 2017-11-17 to 2018-11-18","1 Y 2017-12-18 to 2018-12-18","1 Y 2018-01-17 to 2019-01-18","1 Y 2018-02-19 to 2019-02-18","1 Y 2018-03-19 to 2019-03-18","1 Y 2018-04-17 to 2019-04-18","1 Y 2018-05-17 to 2019-05-18","1 Y 2018-06-18 to 2019-06-18","1 Y 2018-07-17 to 2019-07-18","1 Y 2018-08-17 to 2019-08-18","1 Y 2018-09-17 to 2019-09-18","1 Y 2018-10-17 to 2019-10-18","1 Y 2018-11-19 to 2019-11-18","1 Y 2018-12-17 to 2019-12-18","1 Y 2019-01-17 to 2020-01-18","1 Y 2019-02-18 to 2020-02-18","1 Y 2019-03-18 to 2020-03-18","1 Y 2019-04-18 to 2020-04-18","1 Y 2019-05-17 to 2020-05-18","1 Y 2019-06-17 to 2020-06-18","1 Y 2019-07-17 to 2020-07-18","1 Y 2019-08-19 to 2020-08-18","1 Y 2019-09-17 to 2020-09-18","1 Y 2019-10-17 to 2020-10-18","1 Y 2019-11-18 to 2020-11-18","1 Y 2019-12-17 to 2020-12-18","1 Y 2020-01-17 to 2021-01-18","1 Y 2020-02-17 to 2021-02-18","1 Y 2020-03-17 to 2021-03-18","1 Y 2020-04-17 to 2021-04-18","1 Y 2020-05-18 to 2021-05-18","1 Y 2020-06-17 to 2021-06-18","1 Y 2020-07-17 to 2021-07-18","1 Y 2020-08-17 to 2021-08-18","1 Y 2020-09-17 to 2021-09-18","1 Y 2020-10-19 to 2021-10-18","1 Y 2020-11-17 to 2021-11-18","1 Y 2020-12-17 to 2021-12-18","1 Y 2021-01-18 to 2022-01-18","1 Y 2021-02-17 to 2022-02-18","1 Y 2021-03-17 to 2022-03-18","1 Y 2021-04-19 to 2022-04-18","1 Y 2021-05-17 to 2022-05-18","1 Y 2021-06-17 to 2022-06-18","1 Y 2021-07-19 to 2022-07-18","1 Y 2021-08-17 to 2022-08-18","1 Y 2021-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",18.278,20.262,16.404,33.893,32.028,29.332,24.64,23.639,24.645,19.736,15.725,10.779,19.51,9.51,0.413,-0.389,0.838,-4.496,-0.986,9.865,4.925,4.07,5.804,8.063,-3.06,-3.668,20.594,12.516,13.349,23.15,20.553,-19.976,-13.981,-16.308,9.033,2.264,8.696,11.299,7.844,9.616,20.098,28.034,36.262,85.15,87.053,112.945,106.831,85.222,72.034,76.806,85.732,49.656,36.766,38.86,14.009,18.406,23.953,3.799,-6.232,0.003,10.085,8.143
"B Annualized Returns",16.071,16.626,20.928,28.487,28.93,30.242,19.339,13.83,15.536,11.278,11.584,9.431,13.391,10.368,1.847,1.194,2.925,-0.899,1.609,10.528,8.412,3.132,5.996,5.135,-7.074,-6.223,11.608,8.533,9.396,11.417,12.616,-21.942,-22.484,-22.41,-15.095,-8.516,2.116,6.162,0.378,8.026,12.991,19.975,27.295,63.83,58.047,69.782,59.634,47.076,48.097,54.042,56.254,41.32,26.913,29.075,14.207,15.699,24.224,9.627,-1.982,1.466,8.914,4.431
"AR DIFF(P-B)",2.207,3.636,-4.524,5.406,3.098,-0.91,5.301,9.809,9.109,8.458,4.141,1.348,6.119,-0.858000000000001,-1.434,-1.583,-2.087,-3.597,-2.595,-0.663,-3.487,0.938,-0.192,2.928,4.014,2.555,8.986,3.983,3.953,11.733,7.937,1.966,8.503,6.102,24.128,10.78,6.58,5.137,7.466,1.59,7.107,8.059,8.967,21.32,29.006,43.163,47.197,38.146,23.937,22.764,29.478,8.336,9.853,9.785,-0.198,2.707,-0.271000000000001,-5.828,-4.25,-1.463,1.171,3.712
"P Volatility",14.13,12.2,12.09,10.26,9.15,8.75,9.74,12.72,12.68,13.1,13.77,12.75,14.49,15.45,15.13,15.86,15.47,17.71,15.93,17.27,13.56,13.36,13.96,13.25,14.28,12.41,12.62,12.42,12.88,11.96,12.27,13.06,29.72,38.37,34.71,32.7,39.88,40.76,38.78,38.45,37.92,39.31,39.85,19.62,12.24,16.07,16.19,16.82,17.63,15.96,18.24,10.81,8.93,13.26,9.03,12.39,13.15,10.91,13.51,14.81,16.2,19
"B Volatility",12.41,12.04,12.49,11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",1.72,0.16,-0.4,-1.17,-1.72,-1.12,-0.140000000000001,0.66,-0.0400000000000009,-0.0500000000000007,0.789999999999999,0.880000000000001,0.9,2.12,0.460000000000001,0.19,-0.609999999999998,2.25,1.39,3.1,-1.14,-1.37,-0.569999999999999,0.44,0.27,0.17,0.799999999999999,0.77,1.16,0.370000000000001,0.69,1.98,0.359999999999999,5.9,2.24,-0.859999999999999,5.49,6.59,4.79,4.37,1.92,2.71,3.65,3.1,-4.68,-0.289999999999999,0.550000000000001,1.43,1.97,0.33,2.6,-2.62,-5.17,-0.58,-2.26,-1.14,-2.12,-3.88,-2.52,-2.31,-0.970000000000002,1.85
"P Tracking Error",5.21,6.18,5.23,5.33,3.85,5.09,5.39,8.12,6.56,6.79,8.43,6.66,6.2,7.75,7.81,7.41,6.85,7.74,6.31,8.31,6.36,5.35,7.04,6.5,3.81,5.11,4.7,5.29,5.1,7.37,6.38,7.49,6.16,10.48,9.75,10.06,10.39,10.27,9.77,9.26,8.68,11.05,9.41,8.96,9.19,13.84,15.05,9.69,9.46,8.84,9.6,11.03,9.04,8.89,9.18,4.71,5.9,5.85,6.66,6.22,5.06,5.82
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
