"","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.807,15.773,15.73,25.171,29.048,34.349,40.7,44.779,39.955,38.593,47.473,52.707,51.941,46.51,49.729,46.82,42.229,36.276,32.602,28.317,14.217,23.214,45.929
"B Annualized Returns",6.305,8.527,9.462,11.978,12.366,9.851,10.781,13.105,13.197,12.65,14.89,19.884,18.884,16.583,18.907,16.076,13.931,14.883,12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",3.502,7.246,6.268,13.193,16.682,24.498,29.919,31.674,26.758,25.943,32.583,32.823,33.057,29.927,30.822,30.744,28.298,21.393,20.06,17.471,2.554,5.712,27.429
"P Volatility",29.97,31.14,31.9,31.27,32.54,31.08,32.16,33.72,29.37,27.17,26.88,25.78,25.39,25.3,25,25.98,27.3,26.14,26.78,27.18,25.67,24.34,26.67
"B Volatility",21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",8.5,8.79,9.23,8.84,9.74,8.24,9.32,10.84,6.76,4.59,4.45,3.67,3.32,2.98,2.73,3.74,4.7,3.22,3.85,4,2.61,1.01,3.41
"P Tracking Error",13.65,13.7,13.44,12.91,15.08,15.54,16.39,17.59,15.57,13.19,13.49,14.17,13.71,12.6,12.61,15.01,14.72,12.66,12.81,13.07,12.73,13.05,14.59
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.26,0.53,0.47,1.02,1.11,1.58,1.83,1.8,1.72,1.97,2.42,2.32,2.41,2.38,2.44,2.05,1.92,1.69,1.57,1.34,0.2,0.44,1.88
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.24,0.41,0.57,0.72,0.92,1.66,1.86,1.96,1.91,1.81,2.22,2.06,2.04,2.19,2.06,2.14,2.01,1.62,1.52,1.26,0.24,0.55,1.82
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.27,1.28,1.31,1.31,1.3,1.19,1.23,1.29,1.11,1.05,1.04,0.97,0.97,0.98,0.97,0.95,1.02,1,1.03,1.03,0.97,0.89,0.96
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",82.56,84.31,86.87,87.4,82.39,76.32,76.06,75.95,71.73,75.9,74.17,68.94,70.02,74.47,73.87,65.78,70.07,75.81,76.46,76.23,74.74,71.57,69.27
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-43.6475,-41.5836,-41.8826,-41.1197,-40.9342,-38.5691,-38.4051,-39.8578,-34.9141,-34.2196,-33.5812,-32.4074,-32.272,-33.3868,-32.2069,-31.5568,-32.8489,-34.2539,-34.8534,-34.4261,-35.0082,-30.4013,-31.9976
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-5.342,-3.27809999999999,-3.57709999999999,-2.8142,-2.62869999999999,-0.263599999999997,-0.0995999999999952,-1.5523,3.3914,4.0859,4.7243,5.8981,6.0335,4.9187,6.0986,6.7487,5.4566,4.0516,3.4521,3.8794,3.2973,7.9042,6.3079
