"","1 Y 2018-05-15 to 2019-05-16","1 Y 2018-06-15 to 2019-06-16","1 Y 2018-07-16 to 2019-07-16","1 Y 2018-08-16 to 2019-08-16","1 Y 2018-09-17 to 2019-09-16","1 Y 2018-10-15 to 2019-10-16","1 Y 2018-11-15 to 2019-11-16","1 Y 2018-12-17 to 2019-12-16","1 Y 2019-01-15 to 2020-01-16","1 Y 2019-02-15 to 2020-02-16","1 Y 2019-03-15 to 2020-03-16","1 Y 2019-04-15 to 2020-04-16","1 Y 2019-05-15 to 2020-05-16","1 Y 2019-06-17 to 2020-06-16","1 Y 2019-07-15 to 2020-07-16","1 Y 2019-08-16 to 2020-08-16","1 Y 2019-09-16 to 2020-09-16","1 Y 2019-10-15 to 2020-10-16","1 Y 2019-11-15 to 2020-11-16","1 Y 2019-12-16 to 2020-12-16","1 Y 2020-01-15 to 2021-01-16","1 Y 2020-02-17 to 2021-02-16","1 Y 2020-03-16 to 2021-03-16","1 Y 2020-04-15 to 2021-04-16","1 Y 2020-05-15 to 2021-05-16","1 Y 2020-06-15 to 2021-06-16","1 Y 2020-07-15 to 2021-07-16","1 Y 2020-08-17 to 2021-08-16","1 Y 2020-09-15 to 2021-09-16","1 Y 2020-10-15 to 2021-10-16","1 Y 2020-11-17 to 2021-11-16","1 Y 2020-12-15 to 2021-12-16","1 Y 2021-01-15 to 2022-01-16","1 Y 2021-02-15 to 2022-02-16","1 Y 2021-03-15 to 2022-03-16","1 Y 2021-04-15 to 2022-04-16","1 Y 2021-05-17 to 2022-05-16","1 Y 2021-06-15 to 2022-06-16","1 Y 2021-07-15 to 2022-07-16","1 Y 2021-08-16 to 2022-08-16","1 Y 2021-09-15 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",3.723,7.507,5.976,-9.162,-3.155,12.819,12.645,13.667,16.464,21.684,-9.533,-16.304,-7.745,-4.76,0.609,15.527,22.846,15.791,15.301,27.344,29.143,36.748,102.695,114.89,143.465,128.574,111.024,88.582,94.11,110.657,92.493,58.031,53.787,29.872,20.718,29.643,5.056,-3.576,5.935,19.742,2.627
"B Annualized Returns",1.37,8.351,5.105,-5.45,-4.847,7.041,9.844,7.743,11.404,14.205,-17.106,-23.585,-17.557,-15.54,-9.3,2.646,4.61,1.597,6.864,13.216,18.662,27.504,62.659,62.758,70.632,62.645,51.683,46.935,53.005,58.189,42.975,28.197,29.043,13.813,11.841,22.109,6.499,-1.087,0.495,7.389,3.402
"AR DIFF(P-B)",2.353,-0.844000000000001,0.871,-3.712,1.692,5.778,2.801,5.924,5.06,7.479,7.573,7.281,9.812,10.78,9.909,12.881,18.236,14.194,8.437,14.128,10.481,9.244,40.036,52.132,72.833,65.929,59.341,41.647,41.105,52.468,49.518,29.834,24.744,16.059,8.877,7.534,-1.443,-2.489,5.44,12.353,-0.775
"P Volatility",15.05,15.27,14.4,14.89,12.74,14.68,16.04,16.32,16.58,16.55,17.21,30.87,37.97,38.5,39.73,39.45,39.47,38.64,38.67,43.25,43.43,43.64,26.78,23.1,22.84,21.52,21,22.91,22.09,21.47,20.92,19.87,20.44,15.25,15.98,16.03,13.9,16.01,18.43,20.35,19.02
"B Volatility",14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",0.32,0.74,1.59,0.880000000000001,0.5,2.86,4.39,4.6,4.99,4.97,6.13,1.51,5.5,6.03,6.16999999999999,5.06,5.3,4.65,4.59,7.25,6.83,7.44,10.26,6.18,6.48,5.88,5.61,7.25,6.46,5.83,7.49,5.77,6.6,3.96,2.45,0.760000000000002,-0.889999999999999,-0.0199999999999996,1.31,3.18,1.87
"P Tracking Error",8.83,8.15,6.22,5.26,6.01,5.24,8.81,8.03,7.87,9.19,10.39,10.05,11.96,11.58,12.05,11.59,12.92,12.48,12.09,13.89,13.63,13.05,15.29,14.69,16.32,14.8,12.99,13.02,11.77,10.74,14.09,14.57,15.5,11.7,8.17,6.39,4.39,5.39,6.44,7.14,5.77
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
