"","3 Y 2016-11-16 to 2019-11-17","3 Y 2016-12-16 to 2019-12-17","3 Y 2017-01-16 to 2020-01-17","3 Y 2017-02-16 to 2020-02-17","3 Y 2017-03-16 to 2020-03-17","3 Y 2017-04-17 to 2020-04-17","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",15.875,17.792,16.995,17.44,6.334,3.32,1.798,5.886,2.525,5.836,8.119,8.973,6.825,12.744,10.608,16.745,14.34,13.116,22.117,23.365,23.81,22.093,25.927,27.988,23.648,19.705,23.722,27.042,23.555,39.337,20.674,34.245,25.871,31.224,33.661
"B Annualized Returns",12.86,13.285,12.808,10.666,-0.559,-1.199,-2.08,0.14,1.721,3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",3.015,4.507,4.187,6.774,6.893,4.519,3.878,5.746,0.804,2.186,4.602,5.639,0.579,4.326,0.929,3.837,1.315,2.604,11.103,10.246,10.47,9.115,10.55,8.417,5.093,3.372,5.284,9.334,9.607,23.974,8.094,24.238,14.458,13.377,15.374
"P Volatility",13.42,13.71,12.83,12.54,13.23,20.08,22.33,22.77,22.5,23.08,22.95,23.06,22.51,24.36,24.51,23.01,22.13,24.45,25.73,24.92,24.42,24.68,23.86,24.65,22.16,24.01,22.33,24.03,23.21,25.16,22.24,29.41,24.36,25.12,26.45
"B Volatility",12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",0.58,1,0.5,0.309999999999999,0.82,0.129999999999999,1.32,1.77,1.21,1.4,1.27,1.64,1.04,2.01,1.84,0.580000000000002,-0.670000000000002,1.61,2.89,2.04,1.81,2.1,1.43,2.54,0.0899999999999999,1.69,0.0599999999999987,1.79,0.609999999999999,2.24,-0.690000000000001,6.23,1.3,1.79,3.19
"P Tracking Error",6.03,6.92,5.77,6.01,6.09,5.38,7.3,7.65,7.68,7.03,8.18,6.92,6.55,6.67,5.83,6.19,7.21,6.94,8.86,9.22,8.76,8.97,7.52,9.21,8.66,7.76,7.46,7.79,8.25,12.56,8.71,17.89,9.53,9.57,9.84
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.5,0.65,0.73,1.13,1.13,0.84,0.53,0.75,0.1,0.31,0.56,0.81,0.09,0.65,0.16,0.62,0.18,0.38,1.25,1.11,1.2,1.02,1.4,0.91,0.59,0.43,0.71,1.2,1.16,1.91,0.93,1.35,1.52,1.4,1.56
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.3,0.36,0.3,0.59,0.49,0.18,0.4,0.57,0.07,0.15,0.41,0.46,0.13,0.3,0.18,0.3,0.14,0.17,0.77,0.78,0.81,0.74,0.81,0.46,0.43,0.28,0.58,0.65,0.75,1.36,0.69,1.83,1.01,0.86,1.04
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.94,0.93,0.93,0.91,0.95,0.97,1,1.02,0.99,1.01,0.99,1.03,1,1.05,1.05,0.99,0.92,1.03,1.06,1.01,1.01,1.02,1.01,1.03,0.93,1.02,0.95,1.02,0.96,0.95,0.9,1.01,0.97,1,1.06
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",79.56,74.14,79.59,77.2,78.39,92.7,89,88.42,87.99,90.47,86.92,90.79,91.28,92.48,94.41,92.56,89.75,91.77,88.08,85.9,86.75,86.41,89.76,85.71,84.8,89.26,88.8,89.22,87.14,74.51,85.34,61.89,84.3,85.04,86
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
