"","1 Y 2016-08-17 to 2017-08-18","1 Y 2016-09-19 to 2017-09-18","1 Y 2016-10-17 to 2017-10-18","1 Y 2016-11-17 to 2017-11-18","1 Y 2016-12-19 to 2017-12-18","1 Y 2017-01-17 to 2018-01-18","1 Y 2017-02-17 to 2018-02-18","1 Y 2017-03-17 to 2018-03-18","1 Y 2017-04-17 to 2018-04-18","1 Y 2017-05-17 to 2018-05-18","1 Y 2017-06-19 to 2018-06-18","1 Y 2017-07-17 to 2018-07-18","1 Y 2017-08-17 to 2018-08-18","1 Y 2017-09-18 to 2018-09-18","1 Y 2017-10-17 to 2018-10-18","1 Y 2017-11-17 to 2018-11-18","1 Y 2017-12-18 to 2018-12-18","1 Y 2018-01-17 to 2019-01-18","1 Y 2018-02-19 to 2019-02-18","1 Y 2018-03-19 to 2019-03-18","1 Y 2018-04-17 to 2019-04-18","1 Y 2018-05-17 to 2019-05-18","1 Y 2018-06-18 to 2019-06-18","1 Y 2018-07-17 to 2019-07-18","1 Y 2018-08-17 to 2019-08-18","1 Y 2018-09-17 to 2019-09-18","1 Y 2018-10-17 to 2019-10-18","1 Y 2018-11-19 to 2019-11-18","1 Y 2018-12-17 to 2019-12-18","1 Y 2019-01-17 to 2020-01-18","1 Y 2019-02-18 to 2020-02-18","1 Y 2019-03-18 to 2020-03-18","1 Y 2019-04-18 to 2020-04-18","1 Y 2019-05-17 to 2020-05-18","1 Y 2019-06-17 to 2020-06-18","1 Y 2019-07-17 to 2020-07-18","1 Y 2019-08-19 to 2020-08-18","1 Y 2019-09-17 to 2020-09-18","1 Y 2019-10-17 to 2020-10-18","1 Y 2019-11-18 to 2020-11-18","1 Y 2019-12-17 to 2020-12-18","1 Y 2020-01-17 to 2021-01-18","1 Y 2020-02-17 to 2021-02-18","1 Y 2020-03-17 to 2021-03-18","1 Y 2020-04-17 to 2021-04-18","1 Y 2020-05-18 to 2021-05-18","1 Y 2020-06-17 to 2021-06-18","1 Y 2020-07-17 to 2021-07-18","1 Y 2020-08-17 to 2021-08-18","1 Y 2020-09-17 to 2021-09-18","1 Y 2020-10-19 to 2021-10-18","1 Y 2020-11-17 to 2021-11-18","1 Y 2020-12-17 to 2021-12-18","1 Y 2021-01-18 to 2022-01-18","1 Y 2021-02-17 to 2022-02-18","1 Y 2021-03-17 to 2022-03-18","1 Y 2021-04-19 to 2022-04-18","1 Y 2021-05-17 to 2022-05-18","1 Y 2021-06-17 to 2022-06-18","1 Y 2021-07-19 to 2022-07-18","1 Y 2021-08-17 to 2022-08-18","1 Y 2021-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",5.4,19.796,20.61,51.124,59.184,45.447,10.99,0.57,17.317,6.871,24.156,4.456,7.62,9.753,0.643,-3.694,-2.764,-2.936,-13.303,-3.472,3.823,1.723,8.253,4.603,-14.144,-0.593,22.31,21.753,3.847,6.788,36.668,-7.16,-9.282,-6.348,-17.048,-17.794,1.084,5.484,-3.286,16.351,20.748,11.598,20.694,150.119,222.1,212.87,91.356,55.838,35.057,48.847,68.7,49.249,17.343,6.624,10.615,12.147,16.674,7.274,-0.839,32.186,44.286,3.326
"B Annualized Returns",16.071,16.626,20.928,28.487,28.93,30.242,19.339,13.83,15.536,11.278,11.584,9.431,13.391,10.368,1.847,1.194,2.925,-0.899,1.609,10.528,8.412,3.132,5.996,5.135,-7.074,-6.223,11.608,8.533,9.396,11.417,12.616,-21.942,-22.484,-22.41,-15.095,-8.516,2.116,6.162,0.378,8.026,12.991,19.975,27.295,63.83,58.047,69.782,59.634,47.076,48.097,54.042,56.254,41.32,26.913,29.075,14.207,15.699,24.224,9.627,-1.982,1.466,8.914,4.431
"AR DIFF(P-B)",-10.671,3.17,-0.318000000000001,22.637,30.254,15.205,-8.349,-13.26,1.781,-4.407,12.572,-4.975,-5.771,-0.615,-1.204,-4.888,-5.689,-2.037,-14.912,-14,-4.589,-1.409,2.257,-0.532,-7.07,5.63,10.702,13.22,-5.549,-4.629,24.052,14.782,13.202,16.062,-1.953,-9.278,-1.032,-0.678,-3.664,8.325,7.757,-8.377,-6.601,86.289,164.053,143.088,31.722,8.762,-13.04,-5.195,12.446,7.929,-9.57,-22.451,-3.592,-3.552,-7.55,-2.353,1.143,30.72,35.372,-1.105
"P Volatility",9.44,12.08,13.46,14.54,15.47,10.61,11.67,11.37,12.3,12.82,15.36,13.79,17.09,14.92,22.36,14.67,16.99,13.65,17.74,12.72,20.44,16.47,15.53,17.06,17.22,14.44,19.54,22.76,27.38,18,23.61,21.28,28.09,33.77,48.53,49.25,46.1,49.63,51.17,37.9,39.56,38.57,38.41,37.6,42.09,34.6,26.41,18.73,18.19,18.71,18.4,16.08,11.84,8.92,12.47,11.53,16.12,13.79,15.94,23.65,24.3,15.05
"B Volatility",12.41,12.04,12.49,11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",-2.97,0.0400000000000009,0.970000000000001,3.11,4.6,0.74,1.79,-0.690000000000001,-0.42,-0.33,2.38,1.92,3.5,1.59,7.69,-1,0.91,-1.81,3.2,-1.45,5.74,1.74,1,4.25,3.21,2.2,7.72,11.11,15.66,6.41,12.03,10.2,-1.27,1.3,16.06,15.69,11.71,15.46,17.18,3.82,3.56,1.97,2.20999999999999,21.08,25.17,18.24,10.77,3.34,2.53,3.08,2.76,2.65,-2.26,-4.92,1.18,-2,0.850000000000001,-1,-0.0900000000000016,6.53,7.13,-2.1
"P Tracking Error",8.37,4.01,5.52,5.48,9,6.63,10.09,11.03,12.53,10.93,10.41,9.28,12.07,9.94,11.51,6.79,8.92,5.53,7.9,6.42,11.33,7.15,6.44,8.81,10.05,8.23,11.77,15.15,21.6,11.68,17.68,13.83,9.71,13.13,21.55,20.82,18.92,21.9,22.5,14.65,13.96,9.9,10.62,26.08,33.42,24.43,15.61,10.06,8.91,7.7,8.47,10.17,12,12.45,8.29,8.18,9.37,8.83,11.91,13.65,12.74,5.87
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-1.27,0.79,-0.06,4.13,3.36,2.29,-0.83,-1.2,0.14,-0.4,1.21,-0.54,-0.48,-0.06,-0.1,-0.72,-0.64,-0.37,-1.89,-2.18,-0.41,-0.2,0.35,-0.06,-0.7,0.68,0.91,0.87,-0.26,-0.4,1.36,1.07,1.36,1.22,-0.09,-0.45,-0.05,-0.03,-0.16,0.57,0.56,-0.85,-0.62,3.31,4.91,5.86,2.03,0.87,-1.46,-0.67,1.47,0.78,-0.8,-1.8,-0.43,-0.43,-0.81,-0.27,0.1,2.25,2.78,-0.19
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
