"","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.246,13.801,13.398,19.227,23.335,24.89,30.659,32.513,28.672,28.5,34.392,39.544,38.144,33.179,36.179,35.209,30.5,26.529,25.811,23.236,15.228,23.273,34.607
"B Annualized Returns",6.305,8.527,9.462,11.978,12.366,9.851,10.781,13.105,13.197,12.65,14.89,19.884,18.884,16.583,18.907,16.076,13.931,14.883,12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",3.941,5.274,3.936,7.249,10.969,15.039,19.878,19.408,15.475,15.85,19.502,19.66,19.26,16.596,17.272,19.133,16.569,11.646,13.269,12.39,3.565,5.771,16.107
"P Volatility",25.18,26.02,27.11,26.7,26.73,26.53,27.38,28.3,27.07,26.02,25.68,24.79,24.24,25.09,24.14,24.46,26.96,26.38,27.34,27.74,27.15,25.94,27.41
"B Volatility",21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",3.71,3.67,4.44,4.27,3.93,3.69,4.54,5.42,4.46,3.44,3.25,2.68,2.17,2.77,1.87,2.22,4.36,3.46,4.41,4.56,4.09,2.61,4.15
"P Tracking Error",9.98,9.95,9.62,9.84,10.76,11.7,11.48,12.23,11.63,10.31,10.62,9.91,10.03,9.74,9.52,10.42,11.42,10.29,10.42,10.74,10.57,9.47,10.68
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
