"","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-21.976,-12.096,-9.65,3.127,14.512,5.352,9.454,18.428,17.5,36.042,112.181,102.237,123.143,104.713,104.713,75.759,88.552,153.666,107.884,64.252,42.62,29.193,11.515,28.941,6.685,0.559,8.14,18.406,8.978
"B Annualized Returns",-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",-4.419,2.939,-0.952,0.481,10.703,0.933000000000001,2.531,5.287,-1.162,9.441,46.431,41.882,59.72,42.499,53.596,28.824,35.537,99.407,66.237,35.119,16.941,18.653,-1.662,6.832,0.186,1.121,7.231,11.017,4.257
"P Volatility",44.32,44.39,43.84,46.68,46.2,47.08,45.25,47.77,46.94,43.02,33.99,26.42,30.15,30.02,29.92,28.73,27.28,27.43,22.72,22.58,22.82,17.37,22.66,21.44,22.11,22.55,23.26,23.31,17.23
"B Volatility",32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",11.85,11.92,10.28,12.29,12.03,13.09,11.17,11.77,10.34,6.82,17.47,9.5,13.79,14.38,14.53,13.07,11.65,11.79,9.29,8.48,8.98,6.08,9.13,6.17,7.32,6.52,6.14,6.14,0.0800000000000018
"P Tracking Error",19.67,19.77,19.37,22.2,23.07,22.48,24.7,26.16,24.09,21.95,23.56,19.6,22.21,22.16,19.6,18.4,19.66,19.3,19.51,18.46,18.8,15.51,18.84,17.85,18.18,19.67,19.02,15.61,10.22
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.22,0.15,-0.05,0.02,0.46,0.04,0.1,0.2,-0.05,0.43,1.97,2.14,2.69,1.92,2.73,1.57,1.81,5.15,3.4,1.9,0.9,1.2,-0.09,0.38,0.01,0.06,0.38,0.71,0.42
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.35,1.01,0.86,0.13,1.58,0.89,0.65,0.25,0.01,1.32,-0.67,2.06,1.03,0.5,1.55,0.19,1.06,2.34,3.27,3.06,1.43,1.38,0.54,1.01,0.21,0.48,0.76,1.5,0.01
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.25,1.25,1.19,1.21,1.19,1.24,1.12,1.12,1.11,1.02,1.6,1.05,1.28,1.34,1.58,1.49,1.23,1.28,0.88,0.93,0.94,0.74,0.93,0.8,0.86,0.74,0.81,1.01,0.83
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",81.79,81.66,80.58,77.6,74.39,78.02,67.76,67.53,71.49,71.12,56.06,38.95,42.22,42.84,62.2,62.44,44.24,47.76,18.68,26,24.77,14.56,23.37,25.16,25.87,19.39,27.98,50.17,64.18
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-41.5242,-41.5018,-40.8432,-42.6773,-40.8642,-44.3643,-40.5721,-40.7901,-41.5402,-33.8628,-13.6972,-11.4114,-12.7602,-12.7517,-13.3935,-13.392,-11.952,-9.5313,-9.6955,-9.845,-12.7372,-13.3712,-17.4137,-16.6117,-18.2395,-17.9495,-18.0838,-15.2541,-16.6991
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.816,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-3.2187,-3.1963,-2.5377,-4.3718,-2.55869999999999,-6.0588,-2.2666,-2.4846,-3.2347,3.299,3.6753,-4.0643,-5.8584,-5.8499,-6.4917,-6.4902,-5.0502,-3.1938,-3.358,-1.5511,-2.495,-3.129,-3.0803,-2.2783,-3.9061,-3.1335,-0.890899999999998,1.9388,0.4938
