"","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",21.922,24.695,20.938,26.084,31.065,43.371,38.39,32.784,29.362,35.075,63.27,70.011,62.349,48.747,50.818,44.477,36.828
"B Annualized Returns",15.547,17.05,17.462,22.369,26.067,27.337,23.497,20.884,22.038,18.719,35.681,41.06,31.954,26.962,23.487,26.092,26.585
"AR DIFF(P-B)",6.375,7.645,3.476,3.715,4.998,16.034,14.893,11.9,7.324,16.356,27.589,28.951,30.395,21.785,27.331,18.385,10.243
"P Volatility",33.78,33.21,32.11,34.59,33.39,35.24,33.26,34.51,33.85,31.48,28.24,24.86,26.78,26.53,29.31,28.15,27.41
"B Volatility",26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",7.22,6.57,6.13,8.7,7.22,9.09,7.1,8.01,7.39,5.34,11.42,8.85,10.85,10.31,12.72,10.96,10.33
"P Tracking Error",16.36,15.63,15.27,17.6,19.1,19.5,19.84,21.22,20.21,19.58,19.56,19.44,20.35,20.05,19.8,19.13,18.22
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.39,0.49,0.23,0.21,0.26,0.82,0.75,0.56,0.36,0.84,1.41,1.49,1.49,1.09,1.38,0.96,0.56
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.35,0.39,0.52,0.38,0.52,0.45,0.88,0.93,0.87,1.54,1.46,1.72,1.67,1.39,1.41,0.93,0.67
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.12,1.1,1.09,1.16,1.05,1.13,1.02,1.03,1.03,0.94,1.23,0.97,1.1,1.07,1.35,1.22,1.22
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",76.36,77.53,76.89,74.41,65.87,68.91,62.77,60.43,62.68,59.69,51.78,35.99,39.87,40.37,56.27,53.52,55.64
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-41.5242,-41.5018,-40.8432,-42.6773,-40.8642,-44.3643,-40.5721,-40.7901,-41.8102,-33.8628,-13.6972,-18.4662,-19.7228,-19.3753,-24.7218,-24.4398,-25.8117
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.8161,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-3.2187,-3.1963,-2.5377,-4.3718,-2.55869999999999,-6.0588,-2.2666,-2.4846,-3.5047,3.299,3.6753,-4.1328,-5.3894,-4.5592,-7.5289,-7.2469,-8.6188
