"","2 Y 2017-11-14 to 2019-11-15","2 Y 2017-12-14 to 2019-12-15","2 Y 2018-01-15 to 2020-01-15","2 Y 2018-02-14 to 2020-02-15","2 Y 2018-03-14 to 2020-03-15","2 Y 2018-04-16 to 2020-04-15","2 Y 2018-05-14 to 2020-05-15","2 Y 2018-06-14 to 2020-06-15","2 Y 2018-07-16 to 2020-07-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",7.887,8.505,7.963,14.25,-2.51,-0.605,0.216,0.834,9.737,13.596,20.163,26.292,29.967,32.84,37.287,46.212,43.431,39.064,44.687,46.69,33.408,39.075,63.064,52.829,50.894,47.941,60.953,52.994,58.117,66.892,63.133,46.455,51.042,75.73,65.829
"B Annualized Returns",5.997,5.96,5.178,6.121,-5.225,-10.084,-8.582,-5.124,-2.049,-0.913,-0.486,5.722,8.545,10.758,14.975,18.469,15.038,10.471,15.547,17.05,17.462,22.369,26.067,27.337,23.497,20.884,22.038,18.719,35.681,41.06,31.954,26.962,23.487,26.092,26.585
"AR DIFF(P-B)",1.89,2.545,2.785,8.129,2.715,9.479,8.798,5.958,11.786,14.509,20.649,20.57,21.422,22.082,22.312,27.743,28.393,28.593,29.14,29.64,15.946,16.706,36.997,25.492,27.397,27.057,38.915,34.275,22.436,25.832,31.179,19.493,27.555,49.638,39.244
"P Volatility",20.08,19.96,19.83,18.51,19.55,29.05,31.5,31.68,28.43,27.59,26.29,24.84,25.01,26.38,26.42,26.94,29.19,29.15,29.82,29.41,26.68,24.38,27.19,27.86,32.09,32.67,34.16,32.39,22.45,22.44,27.19,27.12,27.06,29.89,27.77
"B Volatility",13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",6.58,6.49,6.63,5.88,6.79,6.26,7.08,7.28,3.77,2.45,1.58,0.43,0.670000000000002,0.84,0.450000000000003,0.960000000000001,2.79,2.58,3.26,2.77,0.699999999999999,-1.51,1.02,1.71,5.93,6.17,7.7,6.25,5.63,6.43,11.26,10.9,10.47,12.7,10.69
"P Tracking Error",11.71,11.71,11,10.38,11.71,11.75,11.8,11.49,9.86,9.83,10.22,10.72,11.39,9.18,9.14,10.63,10.12,11.41,11.52,11.35,10.03,11.81,11.69,11.99,16.5,16.68,18.84,18.48,16.34,17.78,23.29,20.73,20.52,22.6,20.56
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.16,0.22,0.25,0.78,0.23,0.81,0.75,0.52,1.2,1.48,2.02,1.92,1.88,2.41,2.44,2.61,2.81,2.51,2.53,2.61,1.59,1.41,3.16,2.13,1.66,1.62,2.07,1.85,1.37,1.45,1.34,0.94,1.34,2.2,1.91
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.12,0,0.27,0.51,0.04,0.81,0.99,0.68,1.12,1.1,1.73,1.73,1.64,1.64,1.57,1.72,1.71,1.95,1.93,1.92,1.15,1.33,2.36,1.65,1.64,1.93,2.15,2.43,1.92,1.59,2.45,1.32,1.58,2.73,2.41
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.23,1.22,1.28,1.24,1.25,1.18,1.21,1.23,1.08,1.03,0.98,0.92,0.92,0.97,0.96,0.95,1.04,1.01,1.04,1.02,0.95,0.84,0.94,0.96,1.05,1.06,1.08,1.02,0.92,0.87,0.89,1.08,1.06,1.15,1.1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",66.87,66.3,71.4,69.8,65.29,84.96,88.21,89.57,87.96,86.77,84.22,81.12,78.92,87.4,87.66,83.88,87.52,83.94,84.48,84.43,85.43,78.45,80.99,80.72,72.52,72.94,68.54,65.91,44.86,35.2,23.6,39,39.93,40.88,42.93
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.526,-19.4493,-19.5118,-16.8522,-27.2805,-38.5691,-38.4051,-39.8578,-34.9141,-34.2196,-33.5812,-32.4074,-32.272,-33.3868,-32.2069,-31.5568,-32.8489,-34.2539,-34.8534,-34.4261,-33.2283,-30.4013,-31.9976,-33.346,-35.2019,-36.1828,-36.3141,-34.6331,-12.6652,-11.5706,-16.0003,-14.0125,-19.417,-17.6834,-16.8098
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.8161,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-4.5471,-5.4704,-5.5329,-2.8733,-4.9887,-0.263599999999997,-0.0995999999999952,-1.5523,3.3914,4.0859,4.7243,5.8981,6.0335,4.9187,6.0986,6.7487,5.4566,4.0516,3.4521,3.8794,5.0772,7.9042,6.3079,4.95950000000001,3.1036,2.1227,1.9914,2.5287,4.7073,2.7628,-1.6669,0.803600000000001,-2.2241,-0.490499999999997,0.383100000000002
