"","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.677,11.733,10.992,12.661,17.067,13.753,18.828,17.414,15.178,16.522,17.961,23.385,21.047,16.746,19.263,21.34,16.183,14.975,17.958,17.581,16.22,23.333,20.638
"B Annualized Returns",6.305,8.527,9.462,11.978,12.366,9.851,10.781,13.105,13.197,12.65,14.89,19.884,18.884,16.583,18.907,16.076,13.931,14.883,12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",4.372,3.206,1.53,0.683,4.701,3.902,8.047,4.309,1.981,3.872,3.071,3.501,2.163,0.163,0.356000000000002,5.264,2.252,0.0920000000000005,5.416,6.735,4.557,5.831,2.138
"P Volatility",24.13,24.35,24.84,23.53,22.68,23.15,24.2,24.08,26.89,26.55,25.89,26.02,25.26,27.32,25.29,25.06,29.41,29.7,31.2,31.73,33.13,33.75,33.94
"B Volatility",21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",2.66,2,2.17,1.1,-0.120000000000001,0.309999999999999,1.36,1.2,4.28,3.97,3.46,3.91,3.19,5,3.02,2.82,6.81,6.78,8.27,8.55,10.07,10.42,10.68
"P Tracking Error",15.16,14.97,13.39,12.53,12.46,12.72,11.92,12.05,12.26,11.23,11.31,10.59,11.38,12.46,11.1,10.37,13.55,14.23,15.03,15.81,17.33,18.53,18.41
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
