"","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.659,12.421,-5.127,2.67,-5.24,-4.423,-4.453,8.151,5.186,3.722,7.013,3.247,-4.675,2.452,19.021,16.752,11.295,12.881,25.149,-16.952,-12.899,-19.244,-14.585,-6.629,9.642,14.581,25.09,36.273,44.022,31.892,54.062,99.219,97.402,123.457,90.539,73.088,85.676,71.193,90.757,80.106,51.04,54.738,28.557,31.75,35.023,17.328,-0.235,17.735,23.616,9.213
"B Annualized Returns",13.389,9.536,1.945,2.112,1.971,-0.19,1.609,10.528,8.623,2.675,8.351,5.828,-5.45,-4.603,6.533,8.533,8.425,11.497,14.205,-20.196,-22.484,-18.273,-14.759,-8.516,2.646,7.195,1.597,6.864,13.166,18.582,27.429,62.399,61.546,70.632,60.176,50.294,47.791,52.789,56.254,42.108,27.171,29.043,13.632,14.049,24.224,6.852,-2.498,1.466,8.47,2.819
"AR DIFF(P-B)",3.27,2.885,-7.072,0.558,-7.211,-4.233,-6.062,-2.377,-3.437,1.047,-1.338,-2.581,0.775,7.055,12.488,8.219,2.87,1.384,10.944,3.244,9.585,-0.971,0.173999999999999,1.887,6.996,7.386,23.493,29.409,30.856,13.31,26.633,36.82,35.856,52.825,30.363,22.794,37.885,18.404,34.503,37.998,23.869,25.695,14.925,17.701,10.799,10.476,2.263,16.269,15.146,6.394
"P Volatility",14.18,16.14,17.44,18.84,16.7,17.81,16.63,16.96,15.85,14.22,15.51,13.47,14.93,11.64,12.92,15.67,14.77,14.92,15.12,16.93,32.43,39.87,41.96,43.19,45.51,44.18,45.07,43.55,46.94,45.16,44.95,27.12,21.53,23.11,21.75,20.02,22.52,18.51,18.76,20.93,20.79,18.42,13.91,16.35,16.36,13.8,17.42,18.63,20.81,18.58
"B Volatility",13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",0.59,2.81,2.77,3.17,0.620000000000001,2.35,2.09,2.79,1.15,-0.51,0.98,0.66,0.92,-0.6,1.1,4.02,3.05,3.33,3.54,5.85,3.07,7.4,9.49,9.63,11.12,10.01,11.08,9.47,10.94,8.56,8.75,10.6,4.61,6.75,6.11,4.63,6.86,2.88,3.12,7.5,6.69,4.58,2.62,2.82,1.09,-0.989999999999998,1.39,1.51,3.64,1.43
"P Tracking Error",10.35,10.59,10.11,12.31,11.28,10.67,8.97,10.71,7.6,5.45,5.61,3.8,3.7,5.71,5.71,6.65,8.25,7.38,8.49,8.48,9.1,13.14,14.28,13.62,15.68,16.85,19.57,18.12,18.42,17.61,15.78,15.85,13.67,14.64,12.62,10.03,14.57,9.15,8.79,14.38,14.67,13.7,11.75,7.33,6.1,6.74,7.73,6.86,8.62,7.33
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
