"","3 Y 2019-02-06 to 2022-02-07","3 Y 2019-03-06 to 2022-03-07","3 Y 2019-04-08 to 2022-04-07","3 Y 2019-05-06 to 2022-05-07","3 Y 2019-06-06 to 2022-06-07","3 Y 2019-07-08 to 2022-07-07","3 Y 2019-08-06 to 2022-08-07","3 Y 2019-09-06 to 2022-09-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",54.336,43.969,50.746,49.92,37.55,37.973,45.42,40.711
"B Annualized Returns",16.692,14.257,15.56,13.554,12.021,11.79,17.117,17.683
"AR DIFF(P-B)",37.644,29.712,35.186,36.366,25.529,26.183,28.303,23.028
"P Volatility",30.95,29.7,29.64,27.85,32.3,32.34,30.92,28.74
"B Volatility",22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",8.71,7.1,6.72,4.92,9.12,9.28,7.59,5.48
"P Tracking Error",18.63,15.64,17.08,16.89,19.08,18.8,17.72,13.14
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",2.02,1.9,2.06,2.15,1.34,1.39,1.6,1.75
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.41,2.12,2.3,2.5,1.85,1.9,1.91,1.65
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.12,1.12,1.06,0.97,1.13,1.15,1.09,1.1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",63.39,72.34,66,62.17,64.98,66.38,66.64,79.19
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-37.9378,-38.6124,-36.6226,-34.7558,-37.4551,-38.9885,-37.6146,-38.1628
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",0.367699999999999,-0.306899999999999,1.6829,3.5497,0.8504,-0.683,0.690899999999999,0.142700000000005
