"","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",21.359,23.137,24.92,32.125,36.436,32.488,28.155,26.624,26.466,24.728,40.425,47.482,37.753,31.502,27.585,27.501,30.622
"B Annualized Returns",15.547,17.05,17.462,22.369,26.067,27.337,23.497,20.884,22.038,18.719,35.681,41.06,31.954,26.962,23.487,26.092,26.585
"AR DIFF(P-B)",5.812,6.087,7.458,9.756,10.369,5.151,4.658,5.74,4.428,6.009,4.744,6.422,5.799,4.54,4.098,1.409,4.037
"P Volatility",26.3,26.88,26.26,26.61,28.23,28.42,29,27.85,28.1,27.73,16.69,14.1,14.55,15.76,15.27,16.81,16.6
"B Volatility",26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",-0.259999999999998,0.239999999999998,0.280000000000001,0.719999999999999,2.06,2.27,2.84,1.35,1.64,1.59,-0.129999999999999,-1.91,-1.38,-0.459999999999999,-1.32,-0.380000000000003,-0.479999999999997
"P Tracking Error",8.89,8.89,9.32,8.94,9.04,10.07,9.49,8.53,8.74,8.28,8.54,7.22,7.56,7.67,7.41,7.25,7.29
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.65,0.68,0.8,1.09,1.15,0.51,0.49,0.67,0.51,0.73,0.56,0.89,0.77,0.59,0.55,0.19,0.55
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.36,0.46,0.64,0.67,0.58,0.34,0.25,0.49,0.44,0.52,1.06,1.03,0.83,0.62,0.45,0.41,0.49
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.93,0.95,0.95,0.97,1.02,1.02,1.05,1,1.01,1.01,0.86,0.79,0.8,0.86,0.82,0.89,0.88
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",88.5,88.77,87.09,88.27,89.3,86.89,88.99,90.17,89.87,90.68,74.52,78.73,76.51,77.37,79.16,81.84,81.37
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-35.5604,-35.2707,-35.5827,-36.0283,-37.3422,-37.0526,-38.1282,-37.9372,-38.3497,-37.8085,-16.4089,-12.0627,-14.7643,-16.8814,-19.0102,-19.4583,-18.4431
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.8161,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",2.7451,3.0348,2.7228,2.2772,0.963300000000004,1.2529,0.177300000000002,0.368300000000005,-0.0441999999999965,-0.646700000000003,0.9636,2.2707,-0.430900000000001,-2.0653,-1.8173,-2.2654,-1.2502
