"","1 Y 2017-05-16 to 2020-05-17","1 Y 2017-06-16 to 2020-06-17","1 Y 2017-07-17 to 2020-07-17","1 Y 2017-08-16 to 2020-08-17","1 Y 2017-09-18 to 2020-09-17","1 Y 2017-10-16 to 2020-10-17","1 Y 2017-11-16 to 2020-11-17","1 Y 2017-12-18 to 2020-12-17","1 Y 2018-01-16 to 2021-01-17","1 Y 2018-02-16 to 2021-02-17","1 Y 2018-03-16 to 2021-03-17","1 Y 2018-04-16 to 2021-04-17","1 Y 2018-05-16 to 2021-05-17","1 Y 2018-06-18 to 2021-06-17","1 Y 2018-07-16 to 2021-07-17","1 Y 2018-08-16 to 2021-08-17","1 Y 2018-09-17 to 2021-09-17","1 Y 2018-10-16 to 2021-10-17","1 Y 2018-11-16 to 2021-11-17","1 Y 2018-12-17 to 2021-12-17","1 Y 2019-01-16 to 2022-01-17","1 Y 2019-02-18 to 2022-02-17","1 Y 2019-03-18 to 2022-03-17","1 Y 2019-04-16 to 2022-04-17","2 Y 2017-05-16 to 2020-05-17","2 Y 2017-06-16 to 2020-06-17","2 Y 2017-07-17 to 2020-07-17","2 Y 2017-08-16 to 2020-08-17","2 Y 2017-09-18 to 2020-09-17","2 Y 2017-10-16 to 2020-10-17","2 Y 2017-11-16 to 2020-11-17","2 Y 2017-12-18 to 2020-12-17","2 Y 2018-01-16 to 2021-01-17","2 Y 2018-02-16 to 2021-02-17","2 Y 2018-03-16 to 2021-03-17","2 Y 2018-04-16 to 2021-04-17","2 Y 2018-05-16 to 2021-05-17","2 Y 2018-06-18 to 2021-06-17","2 Y 2018-07-16 to 2021-07-17","2 Y 2018-08-16 to 2021-08-17","2 Y 2018-09-17 to 2021-09-17","2 Y 2018-10-16 to 2021-10-17","2 Y 2018-11-16 to 2021-11-17","2 Y 2018-12-17 to 2021-12-17","2 Y 2019-01-16 to 2022-01-17","2 Y 2019-02-18 to 2022-02-17","2 Y 2019-03-18 to 2022-03-17","2 Y 2019-04-16 to 2022-04-17","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-9.068","-7.5","0.598","17.797","23.03","18.233","23.434","34.398","33.866","46.38","97.277","80.959","82.67","83.743","74.706","79.095","79.751","92.153","71.819","46.927","44.934","24.564","25.379","39.917","-2.81","-1.199","3.552","7.236","8.357","15.346","18.405","23.468","25.169","33.014","29.893","26.04","30.137","30.586","33.411","44.04","45.194","45.68","41.43","36.528","38.573","30.493","50.019","64.478","2.183","4.101","5.091","10.727","9.781","10.142","12.365","14.562","14.384","19.563","21.613","18.469","18.975","21.119","23.502","25.555","26.371","35.351","31.609","27.682","30.219","26.744","24.463","30.841"
"B Annualized Returns","-17.557","-14.759","-8.516","3.788","7.195","1.597","6.923","13.166","18.662","27.429","62.399","62.758","61.374","60.176","51.683","47.791","52.789","54.558","42.108","27.171","25.868","13.632","14.049","24.217","-8.582","-4.961","-1.928","-0.805","0.262","4.036","8.545","11.265","14.975","19.804","13.898","11.464","15.876","16.848","17.293","22.849","27.977","27.337","23.877","19.964","22.038","20.333","36.093","41.06","-2.08","0.14","1.721","3.65","3.517","3.334","6.246","8.418","9.679","12.908","13.025","10.512","11.014","13.119","13.34","12.978","15.377","19.571","18.555","16.333","18.438","17.708","13.948","15.363"
"AR DIFF(P-B)","8.489","7.259","9.114","14.009","15.835","16.636","16.511","21.232","15.204","18.951","34.878","18.201","21.296","23.567","23.023","31.304","26.962","37.595","29.711","19.756","19.066","10.932","11.33","15.7","5.772","3.762","5.48","8.041","8.095","11.31","9.86","12.203","10.194","13.21","15.995","14.576","14.261","13.738","16.118","21.191","17.217","18.343","17.553","16.564","16.535","10.16","13.926","23.418","4.263","3.961","3.37","7.077","6.264","6.808","6.119","6.144","4.705","6.655","8.588","7.957","7.961","8","10.162","12.577","10.994","15.78","13.054","11.349","11.781","9.036","10.515","15.478"
"P Volatility","37.94","38.33","38.69","38.38","41.66","39.06","37.05","40.36","40.47","39.22","22","16.06","13.92","13.88","13.83","18.03","14.75","18.1","13.01","12.26","11.75","9.67","13.75","16.77","27.77","27.87","28.18","28.14","29.51","28.06","26.64","28.85","29.06","28.85","30.26","28.46","27.59","28.58","27.27","27.72","27.43","27.94","26.53","26.59","28.41","26.74","19.7","17.21","23.95","24.02","24.36","24.52","26.04","24.71","23.69","25.19","25.28","25.12","26.27","24.6","23.71","24.54","24.04","24.57","23.67","23.92","22.86","22.91","24.36","23.68","25.49","26.84"
"B Volatility","32.47","32.47","33.56","34.39","34.17","33.99","34.08","36","36.6","36.2","16.52","16.92","16.36","15.64","15.39","15.66","15.63","15.64","13.43","14.1","13.84","11.29","13.53","15.27","24.42","24.4","24.66","25.14","24.71","24.41","24.34","25.54","25.97","25.98","26.4","26.57","26.56","26.64","25.98","25.89","26.17","26.15","26.16","26.5","26.46","26.14","16.82","16.01","21.01","21","21.29","21.68","21.68","21.42","21.47","22.35","22.67","22.43","22.8","22.84","22.84","22.88","22.61","22.58","22.43","22.11","22.07","22.32","22.27","22.24","22.6","22.92"
"V DIFF(P-B)","5.47","5.86","5.13","3.99","7.48999999999999","5.07","2.97","4.36","3.87","3.02","5.48","-0.860000000000003","-2.44","-1.76","-1.56","2.37","-0.880000000000001","2.46","-0.42","-1.84","-2.09","-1.62","0.220000000000001","1.5","3.35","3.47","3.52","3","4.8","3.65","2.3","3.31","3.09","2.87","3.86","1.89","1.03","1.94","1.29","1.83","1.26","1.79","0.370000000000001","0.0899999999999999","1.95","0.599999999999998","2.88","1.2","2.94","3.02","3.07","2.84","4.36","3.29","2.22","2.84","2.61","2.69","3.47","1.76","0.870000000000001","1.66","1.43","1.99","1.24","1.81","0.789999999999999","0.59","2.09","1.44","2.89","3.92"
"P Tracking Error","9.86","10.26","10.02","10.2","12.46","11.38","11.39","11.48","10.19","9.76","10.57","10.74","10.51","9.36","9.7","11.9","9.91","11.74","9.68","10","9.93","7.45","8.41","7.26","8.43","8.8","8.41","8.99","10.26","9.34","9.32","9.27","8.37","8.38","9.32","9.68","9.31","8.87","9.38","10.23","9.56","10.42","9.3","9.87","9.75","8.31","10.94","8.69","8.37","8.67","8.49","9.16","10.12","9.69","9.79","9.7","8.02","8.27","9.37","8.84","8.2","7.75","8.13","9.1","8.38","9.03","8.65","8.97","8.99","8.16","10.07","9.67"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
