"","2 Y 2017-05-16 to 2019-05-17","2 Y 2017-06-16 to 2019-06-17","2 Y 2017-07-17 to 2019-07-17","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",5.76,9.246,8.823,5.45,3.158,9.834,15.089,12.426,19.014,20.562,2.835,0.724,1.232,1.715,11.319,15.423,17.128,23.32,29.017,31.043,34.902,30.337,32.96,41.552,51.789,51.373,81.48,45.661,54.389,58.637,60.376,59.498,68.23,58.087,54.345,46.192,54.846,15.809,21.577,45.465,61.398
"B Annualized Returns",7.156,9.772,7.18,3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",-1.396,-0.526,1.643,1.869,0.548,5.62,9.182,6.787,13.522,13.591,8.591,9.359,9.613,6.676,13.247,16.336,16.866,19.284,21.298,19.778,19.922,10.533,19.062,29.421,36.33,34.525,64.187,22.812,26.412,31.941,36.499,39.534,46.151,37.754,18.252,5.688,20.155,-9.161,-1.321,18.879,36.026
"P Volatility",21.75,19.98,19.24,21.61,19.85,19.59,21.01,20.99,19.19,19.19,20.72,25.16,24.85,27.73,25.09,24.93,24.38,23.69,23.13,21.93,26.59,23.79,28.34,30.7,33.61,33.83,37.65,28.05,28.56,35.6,38.17,39.14,38.71,35.71,22.14,16.64,19.36,19.4,19.06,21.05,27.76
"B Volatility",13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",8.42,6.69,6.49,7.95,6.22,6.27,7.51,7.52,5.99,6.56,7.96,2.37,0.43,3.33,0.43,-0.210000000000001,-0.330000000000002,-0.719999999999999,-1.21,-3.61,0.620000000000001,-2.19,1.94,4.13,7.05,7.19,11.67,2.16,2.39,9.45,12.01,12.64,12.25,9.57,5.32,0.629999999999999,3.43,3.18,2.47,3.86,10.68
"P Tracking Error",13.84,12.85,12.05,12.55,10.88,10.42,12.83,12.9,10.28,11.39,13.61,10.33,9.38,8.28,7.72,10.54,10.63,9.65,11.36,11.35,9.11,10.36,9.77,11.38,13.31,13.56,23.42,11.02,13.12,21.8,23.23,24.86,24.27,21.26,16.04,14.96,17.55,14.1,14.41,14.97,20.7
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.1,-0.04,0.14,0.15,0.05,0.54,0.72,0.53,1.32,1.19,0.63,0.91,1.02,0.81,1.72,1.55,1.59,2,1.87,1.74,2.19,1.02,1.95,2.59,2.73,2.55,2.74,2.07,2.01,1.47,1.57,1.59,1.9,1.78,1.14,0.38,1.15,-0.65,-0.09,1.26,1.74
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.21,-0.08,0.01,-0.18,0.1,0.29,0.69,0.39,1.03,0.88,0.79,0.57,0.85,0.65,1.01,1.15,1.35,1.45,1.65,1.59,1.38,1,1.26,1.89,2.19,2.36,4.08,1.38,1.67,1.99,1.97,2.4,2.59,2.63,1.57,1.23,2.49,-0.04,0.23,1.38,2.33
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.29,1.16,1.19,1.33,1.24,1.28,1.26,1.26,1.25,1.25,1.25,1.01,0.94,1.09,0.97,0.9,0.89,0.89,0.84,0.77,0.96,0.84,1.01,1.08,1.18,1.18,1.14,1,0.97,1.08,1.17,1.15,1.15,1.1,0.91,0.6,0.63,0.84,0.78,0.87,1.09
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",60.93,57.94,60.59,69.19,71.42,74.02,63.87,63.27,73.09,65.89,57.27,82.36,85.38,91.28,90.18,82.24,81.27,83.89,77.59,79.45,87.85,83.32,87.56,86.05,85.56,85.18,60.51,83.84,77.98,61.06,62.63,58.83,59.9,63.48,45.47,30.58,23.54,46.61,43.85,48.21,42.08
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-22.7282,-20.7527,-19.9375,-20.5849,-17.4338,-17.6794,-20.5592,-21.1003,-18.7057,-18.7869,-29.1172,-34.1793,-32.1367,-36.6511,-32.3226,-31.2839,-31.0296,-31.2149,-29.9649,-28.6168,-32.3763,-29.9966,-33.4608,-36.4064,-38.4362,-38.5762,-36.2692,-34.8361,-33.0007,-36.5604,-39.2011,-38.7934,-38.8134,-37.948,-13.818,-14.9163,-14.8383,-25.5715,-27.1074,-18.6683,-16.5396
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-8.7493,-6.7738,-5.9586,-6.606,-3.4549,-3.7005,-6.5803,-7.1214,-4.7268,-4.808,-3.7831,4.1262,6.1688,1.6544,5.9829,7.0216,7.2759,7.0906,8.3406,9.6887,5.9292,8.3089,4.8447,1.8991,-0.130699999999997,-0.270699999999998,2.0363,3.4694,5.3048,1.7451,-0.895599999999995,-0.487899999999996,-0.507899999999999,-0.786200000000001,3.5545,-0.5829,-0.504900000000001,-8.8814,-9.9145,-1.4754,0.653300000000002
