"","2 Y 2017-05-16 to 2019-05-17","2 Y 2017-06-16 to 2019-06-17","2 Y 2017-07-17 to 2019-07-17","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.646,13.255,7.08,10.6,3.833,2.371,-0.735,-1.181,-8.854,-4.147,-12.812,-7.2,-9.157,-5.999,0.854,-5.698,-5.249,4.744,1.175,8.708,11.428,24.55,16.765,15.953,20.231,22.72,15.405,32.09,35.412,49.067,38.795,31,24.684,28.858,71.796,77.847,73.812,48.551,47.601,40.836,30.27
"B Annualized Returns",7.156,9.772,7.18,3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",4.49,3.483,-0.0999999999999996,7.019,1.223,-1.843,-6.642,-6.82,-14.346,-11.118,-7.056,1.435,-0.776,-1.038,2.782,-4.785,-5.511,0.708,-6.544,-2.557,-3.552,4.746,2.867,3.822,4.772,5.872,-1.888,9.241,7.435,22.371,14.918,11.036,2.605,8.525,35.703,37.343,39.121,23.581,24.703,14.25,4.898
"P Volatility",13.11,14.28,13.36,14.2,14.87,13.18,13.33,13.15,12.28,12.46,13.58,21.66,28.1,27.66,29.21,29.13,29.73,28.39,29.51,32.63,34.9,35.52,35.92,36.71,39.98,41.14,35.5,39.97,40.44,39.26,37.4,32.44,36.35,30.49,28.15,27.45,29.36,26.94,28.35,27.77,25.81
"B Volatility",13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",-0.220000000000001,0.99,0.609999999999999,0.539999999999999,1.24,-0.140000000000001,-0.17,-0.32,-0.92,-0.17,0.82,-1.13,3.68,3.26,4.55,3.99,5.02,3.98,5.17,7.09,8.93,9.54,9.52,10.14,13.42,14.5,9.52,14.08,14.27,13.11,11.24,5.94,9.89,4.35,11.33,11.44,13.43,10.72,11.76,10.58,8.73
"P Tracking Error",10.42,11.74,11.43,11.31,12.03,12.54,12.56,13.01,9.12,8.54,9.16,6.58,9.12,9.06,11.61,10.59,10.9,10.58,12.08,14.7,15.58,16.66,16.88,16.9,19.24,21.04,18,20.26,21.71,20.77,20.6,17.17,19.23,13.8,18.57,19.3,20.64,18.48,19.54,16.68,13.32
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
