"","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-4.518,0.362,8.747,19.699,31.741,20.481,27.686,38.862,43.841,47.382,107.367,105.465,116.415,133.878,113.283,95.107,117.18,73.7,63.968,60.458,58.406,26.774,26.494,22.721,-2.359,-10.209,0.542,4.82,-2.018
"B Annualized Returns",-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",13.039,15.397,17.445,17.053,27.932,16.062,20.763,25.721,25.179,20.781,41.617,45.11,52.992,71.664,62.166,48.172,64.165,19.441,22.321,31.325,32.727,16.234,13.317,0.611999999999998,-8.858,-9.647,-0.367,-2.569,-6.739
"P Volatility",40.81,40.39,39.63,39.58,36.8,34.67,33.41,38.22,38.25,38.65,23.68,21.72,19.29,19.44,21.57,21.37,24.15,20.24,20.86,23.83,21.86,21.13,21.75,20.63,21.82,23.8,24.43,24.54,25.21
"B Volatility",32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",8.34,7.92,6.07,5.19,2.63,0.68,-0.670000000000002,2.22,1.65,2.45,7.16,4.8,2.93,3.8,6.18,5.71,8.52,4.6,7.43,9.73,8.02,9.84,8.22,5.36,7.03,7.77,7.31,7.37,8.06
"P Tracking Error",10.76,11.76,10.44,10.39,10.85,10.02,9.93,11.21,10.59,11.85,11.89,18.45,19.36,18.14,17.35,17.23,18.34,18.49,17.28,20.45,19.05,19.52,17.74,15.71,17.68,17.07,18.18,18.52,16.73
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.21,1.31,1.67,1.64,2.57,1.6,2.09,2.29,2.38,1.75,3.5,2.44,2.74,3.95,3.58,2.8,3.5,1.05,1.29,1.53,1.72,0.83,0.75,0.04,-0.5,-0.57,-0.02,-0.14,-0.4
